t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
87,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
194,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
316,S,1,23,34,0.0,0.0,1,0,1,1,0,0.00
324,S,1,0,1,0.0,0.0,2,0,2,2,0,0.00
344,S,1,4,6,0.0,0.0,1,0,1,1,0,0.00
364,S,1,3,7,0.0,0.0,1,0,1,1,0,0.00
384,S,1,4,7,0.0,0.0,2,0,2,2,0,0.00
505,S,1,49,80,0.0,0.0,2,0,2,2,0,0.00
603,S,1,48,76,-0.9,-1.6,2,0,2,2,0,0.00
709,S,1,56,84,-0.9,-1.6,3,0,3,3,0,0.00
729,S,1,6,8,-0.9,-1.6,4,0,4,4,0,0.00
749,S,1,5,9,-0.9,-1.6,4,0,4,4,0,0.00
769,S,1,6,8,-0.9,-1.6,4,0,4,4,0,0.00
789,S,1,6,7,-0.9,-1.6,5,0,5,5,0,0.00
920,S,1,67,92,-5.3,-8.8,5,2,7,3,0,0.00
940,S,1,5,8,-5.3,-8.8,6,2,8,4,0,0.00
960,S,1,5,7,-5.3,-8.8,6,2,8,4,0,0.00
980,S,1,5,8,-5.3,-8.8,7,2,9,5,0,0.00
1000,S,1,6,8,-5.3,-8.8,7,2,9,5,0,0.00
1196,S,1,61,88,-8.8,-9.8,7,2,9,5,0,0.00
1196,S,1,52,71,-8.8,-9.8,7,2,9,5,0,0.00
1309,S,1,75,94,-8.8,-9.8,7,2,9,5,0,0.00
1329,S,1,7,9,-8.8,-9.8,7,2,9,5,0,0.00
1349,S,1,7,8,-8.8,-9.8,7,2,9,5,0,0.00
1369,S,1,7,8,-8.8,-9.8,7,2,9,5,0,0.00
1389,S,1,7,9,-8.8,-9.8,8,2,10,6,0,0.00
1412,S,1,17,20,-13.8,-15.1,8,4,12,4,0,0.00
1518,S,1,90,95,-13.8,-15.1,7,4,11,3,0,0.00
1538,S,1,10,9,-13.8,-15.1,7,4,11,3,0,0.00
1558,S,1,10,9,-13.8,-15.1,7,4,11,3,0,0.00
1578,S,1,10,9,-13.8,-15.1,7,4,11,3,0,0.00
1598,S,1,10,9,-13.8,-15.1,7,4,11,3,0,0.00
1770,S,1,165,153,-14.3,-10.7,5,4,9,1,0,0.00
1790,S,1,10,10,-14.3,-10.7,6,4,10,2,0,0.00
1810,S,1,11,9,-14.3,-10.7,7,4,11,3,0,0.00
1952,S,1,114,98,-16.6,-10.1,6,4,10,2,0,0.00
1953,S,1,36,30,-16.6,-10.1,6,4,10,2,0,0.00
1973,S,1,10,9,-16.6,-10.1,7,4,11,3,0,0.00
1993,S,1,11,8,-16.6,-10.1,7,4,11,3,0,0.00
2118,S,1,113,90,-16.6,-10.1,6,4,10,2,0,0.00
2137,S,1,10,8,-16.6,-10.1,7,4,11,3,0,0.00
2239,S,1,93,76,-14.6,-3.2,6,3,9,3,0,0.00
2345,S,1,99,84,-14.6,-3.2,6,3,9,3,0,0.00
2365,S,1,10,7,-14.6,-3.2,7,3,10,4,0,0.00
2385,S,1,9,7,-14.6,-3.2,7,3,10,4,0,0.00
2405,S,1,9,8,-14.6,-3.2,7,3,10,4,0,0.00
2425,S,1,10,7,-14.6,-3.2,7,3,10,4,0,0.00
2618,S,1,178,143,-11.2,3.9,5,2,7,3,0,0.00
2638,S,1,9,8,-11.2,3.9,6,2,8,4,0,0.00
2761,S,1,99,85,-9.3,5.5,6,2,8,4,0,0.00
2765,S,1,15,12,-9.3,5.5,6,1,7,5,0,0.00
2785,S,1,8,8,-9.3,5.5,7,1,8,6,0,0.00
2805,S,1,9,8,-9.3,5.5,7,1,8,6,0,0.00
2825,S,1,9,7,-9.3,5.5,7,1,8,6,0,0.00
2945,S,1,90,77,-9.3,5.5,7,1,8,6,0,0.00
3048,S,1,73,62,-6.1,9.0,7,0,7,7,0,0.00
3154,S,1,84,72,-6.1,9.0,6,0,6,6,0,0.00
3174,S,1,7,7,-6.1,9.0,7,0,7,7,0,0.00
3194,S,1,8,6,-6.1,9.0,8,0,8,8,0,0.00
3214,S,1,8,6,-6.1,9.0,8,0,8,8,0,0.00
3234,S,1,8,6,-6.1,9.0,8,0,8,8,0,0.00
3365,S,1,91,77,-4.2,9.2,7,0,7,7,0,0.00
3385,S,1,8,6,-4.2,9.2,8,0,8,8,0,0.00
3405,S,1,7,6,-4.2,9.2,8,0,8,8,0,0.00
3425,S,1,7,6,-4.2,9.2,8,0,8,8,0,0.00
3445,S,1,7,6,-4.2,9.2,8,0,8,8,0,0.00
3641,S,1,73,61,-2.4,8.1,7,0,7,7,0,0.00
