HB:t=1,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=124,m=S,run=1,el=35,er=35,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=127,m=S,run=1,el=8,er=8,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=147,m=S,run=1,el=5,er=5,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=167,m=S,run=1,el=5,er=6,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=207,m=S,run=1,el=22,er=20,yaw=-0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=378,m=S,run=1,el=73,er=67,yaw=0.3,yr=0.9,pc=4,hd=0,OL=4,OR=4
HB:t=378,m=S,run=1,el=46,er=42,yaw=0.3,yr=0.9,pc=6,hd=0,OL=6,OR=6
HB:t=398,m=S,run=1,el=7,er=7,yaw=0.3,yr=0.9,pc=6,hd=0,OL=6,OR=6
HB:t=529,m=S,run=1,el=82,er=78,yaw=0.7,yr=1.6,pc=7,hd=0,OL=7,OR=7
HB:t=532,m=S,run=1,el=12,er=12,yaw=0.7,yr=1.6,pc=8,hd=0,OL=8,OR=8
HB:t=552,m=S,run=1,el=8,er=7,yaw=0.7,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=572,m=S,run=1,el=9,er=8,yaw=0.7,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=618,m=S,run=1,el=39,er=37,yaw=0.8,yr=1.9,pc=11,hd=0,OL=11,OR=11
HB:t=754,m=S,run=1,el=114,er=108,yaw=1.2,yr=2.6,pc=10,hd=0,OL=10,OR=10
HB:t=754,m=S,run=1,el=35,er=33,yaw=1.2,yr=2.6,pc=10,hd=0,OL=10,OR=10
HB:t=774,m=S,run=1,el=12,er=11,yaw=1.2,yr=2.6,pc=10,hd=0,OL=10,OR=10
HB:t=794,m=S,run=1,el=12,er=11,yaw=1.2,yr=2.6,pc=10,hd=0,OL=10,OR=10
HB:t=838,m=S,run=1,el=40,er=38,yaw=1.5,yr=3.9,pc=10,hd=0,OL=10,OR=10
HB:t=974,m=S,run=1,el=122,er=116,yaw=1.8,yr=3.5,pc=9,hd=0,OL=9,OR=9
HB:t=974,m=S,run=1,el=34,er=31,yaw=1.8,yr=3.5,pc=10,hd=0,OL=10,OR=10
HB:t=994,m=S,run=1,el=11,er=11,yaw=1.8,yr=3.5,pc=10,hd=0,OL=10,OR=10
HB:t=1014,m=S,run=1,el=11,er=10,yaw=1.8,yr=3.5,pc=10,hd=-1,OL=9,OR=11
HB:t=1058,m=S,run=1,el=39,er=38,yaw=2.1,yr=4.3,pc=10,hd=-1,OL=9,OR=11
HB:t=1194,m=S,run=1,el=120,er=119,yaw=2.6,yr=4.2,pc=9,hd=-1,OL=8,OR=10
HB:t=1194,m=S,run=1,el=33,er=34,yaw=2.6,yr=4.2,pc=9,hd=-1,OL=8,OR=10
HB:t=1214,m=S,run=1,el=10,er=11,yaw=2.6,yr=4.2,pc=10,hd=-1,OL=9,OR=11
HB:t=1234,m=S,run=1,el=11,er=11,yaw=2.6,yr=4.2,pc=10,hd=-1,OL=9,OR=11
HB:t=1278,m=S,run=1,el=40,er=39,yaw=2.9,yr=5.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1449,m=S,run=1,el=115,er=118,yaw=2.9,yr=3.4,pc=9,hd=-1,OL=8,OR=10
HB:t=1449,m=S,run=1,el=65,er=67,yaw=2.9,yr=3.4,pc=9,hd=-1,OL=8,OR=10
HB:t=1469,m=S,run=1,el=10,er=10,yaw=2.9,yr=3.4,pc=10,hd=-1,OL=9,OR=11
HB:t=1600,m=S,run=1,el=115,er=115,yaw=2.8,yr=2.0,pc=9,hd=-1,OL=8,OR=10
HB:t=1603,m=S,run=1,el=3,er=3,yaw=2.8,yr=2.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1623,m=S,run=1,el=11,er=11,yaw=2.8,yr=2.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1643,m=S,run=1,el=10,er=11,yaw=2.8,yr=2.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1693,m=S,run=1,el=55,er=56,yaw=2.8,yr=1.2,pc=10,hd=-1,OL=9,OR=11
HB:t=1864,m=S,run=1,el=113,er=120,yaw=2.6,yr=0.1,pc=9,hd=-1,OL=8,OR=10
HB:t=1864,m=S,run=1,el=65,er=73,yaw=2.6,yr=0.1,pc=9,hd=-1,OL=8,OR=10
HB:t=1884,m=S,run=1,el=10,er=12,yaw=2.6,yr=0.1,pc=10,hd=-1,OL=9,OR=11
HB:t=2054,m=S,run=1,el=110,er=119,yaw=1.8,yr=-2.1,pc=9,hd=-1,OL=8,OR=10
HB:t=2054,m=S,run=1,el=55,er=60,yaw=1.8,yr=-2.1,pc=9,hd=-1,OL=8,OR=10
HB:t=2074,m=S,run=1,el=10,er=11,yaw=1.8,yr=-2.1,pc=10,hd=-1,OL=9,OR=11
HB:t=2215,m=S,run=1,el=113,er=116,yaw=1.1,yr=-2.9,pc=9,hd=0,OL=9,OR=9
HB:t=2219,m=S,run=1,el=18,er=18,yaw=1.1,yr=-2.9,pc=10,hd=0,OL=10,OR=10
HB:t=2239,m=S,run=1,el=10,er=12,yaw=1.1,yr=-2.9,pc=10,hd=0,OL=10,OR=10
HB:t=2259,m=S,run=1,el=11,er=11,yaw=1.1,yr=-2.9,pc=10,hd=0,OL=10,OR=10
HB:t=2313,m=S,run=1,el=53,er=57,yaw=1.0,yr=-3.2,pc=10,hd=0,OL=10,OR=10
HB:t=2445,m=S,run=1,el=114,er=116,yaw=0.4,yr=-3.9,pc=9,hd=0,OL=9,OR=9
HB:t=2445,m=S,run=1,el=26,er=27,yaw=0.4,yr=-3.9,pc=10,hd=0,OL=10,OR=10
HB:t=2465,m=S,run=1,el=11,er=10,yaw=0.4,yr=-3.9,pc=10,hd=0,OL=10,OR=10
HB:t=2485,m=S,run=1,el=11,er=10,yaw=0.4,yr=-3.9,pc=10,hd=0,OL=10,OR=10
HB:t=2533,m=S,run=1,el=43,er=42,yaw=0.2,yr=-4.0,pc=10,hd=0,OL=10,OR=10
HB:t=2705,m=S,run=1,el=114,er=114,yaw=-0.2,yr=-3.8,pc=9,hd=0,OL=9,OR=9
HB:t=2705,m=S,run=1,el=68,er=69,yaw=-0.2,yr=-3.8,pc=9,hd=0,OL=9,OR=9
HB:t=2725,m=S,run=1,el=11,er=11,yaw=-0.2,yr=-3.8,pc=10,hd=0,OL=10,OR=10
HB:t=2898,m=S,run=1,el=109,er=113,yaw=-0.4,yr=-2.9,pc=9,hd=0,OL=9,OR=9
HB:t=2899,m=S,run=1,el=62,er=63,yaw=-0.4,yr=-2.9,pc=9,hd=0,OL=9,OR=9
HB:t=2918,m=S,run=1,el=10,er=10,yaw=-0.4,yr=-2.9,pc=10,hd=0,OL=10,OR=10
HB:t=3055,m=S,run=1,el=112,er=112,yaw=-0.7,yr=-2.9,pc=9,hd=0,OL=9,OR=9
HB:t=3059,m=S,run=1,el=18,er=18,yaw=-0.7,yr=-2.9,pc=10,hd=0,OL=10,OR=10
HB:t=3079,m=S,run=1,el=11,er=11,yaw=-0.7,yr=-2.9,pc=10,hd=0,OL=10,OR=10
HB:t=3099,m=S,run=1,el=11,er=11,yaw=-0.7,yr=-2.9,pc=10,hd=0,OL=10,OR=10
HB:t=3173,m=S,run=1,el=77,er=79,yaw=-0.9,yr=-3.0,pc=10,hd=0,OL=10,OR=10
HB:t=3291,m=S,run=1,el=118,er=118,yaw=-0.9,yr=-1.9,pc=9,hd=0,OL=9,OR=9
HB:t=3300,m=S,run=1,el=1,er=1,yaw=-0.9,yr=-1.9,pc=10,hd=0,OL=10,OR=10
HB:t=3320,m=S,run=1,el=11,er=11,yaw=-0.9,yr=-1.9,pc=10,hd=0,OL=10,OR=10
HB:t=3340,m=S,run=1,el=11,er=10,yaw=-0.9,yr=-1.9,pc=10,hd=0,OL=10,OR=10
HB:t=3375,m=S,run=1,el=46,er=46,yaw=-0.9,yr=-1.1,pc=10,hd=0,OL=10,OR=10
HB:t=3511,m=S,run=1,el=115,er=112,yaw=-0.9,yr=-0.8,pc=9,hd=0,OL=9,OR=9
HB:t=3511,m=S,run=1,el=31,er=31,yaw=-0.9,yr=-0.8,pc=10,hd=0,OL=10,OR=10
HB:t=3531,m=S,run=1,el=10,er=11,yaw=-0.9,yr=-0.8,pc=10,hd=0,OL=10,OR=10
HB:t=3551,m=S,run=1,el=10,er=11,yaw=-0.9,yr=-0.8,pc=11,hd=0,OL=11,OR=11
HB:t=3625,m=S,run=1,el=78,er=78,yaw=-0.8,yr=-0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3742,m=S,run=1,el=117,er=115,yaw=-0.7,yr=0.3,pc=9,hd=0,OL=9,OR=9
HB:t=3751,m=S,run=1,el=12,er=12,yaw=-0.7,yr=0.3,pc=9,hd=0,OL=9,OR=9
HB:t=3771,m=S,run=1,el=10,er=11,yaw=-0.7,yr=0.3,pc=10,hd=0,OL=10,OR=10
HB:t=3791,m=S,run=1,el=11,er=10,yaw=-0.7,yr=0.3,pc=10,hd=0,OL=10,OR=10
HB:t=3826,m=S,run=1,el=44,er=45,yaw=-0.7,yr=0.3,pc=10,hd=0,OL=10,OR=10
HB:t=3996,m=S,run=1,el=113,er=114,yaw=-0.8,yr=-0.0,pc=9,hd=0,OL=9,OR=9
HB:t=3997,m=S,run=1,el=67,er=68,yaw=-0.8,yr=-0.0,pc=9,hd=0,OL=9,OR=9
HB:t=4017,m=S,run=1,el=10,er=9,yaw=-0.8,yr=-0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4147,m=S,run=1,el=116,er=116,yaw=-0.9,yr=-0.4,pc=9,hd=0,OL=9,OR=9
HB:t=4151,m=S,run=1,el=18,er=17,yaw=-0.9,yr=-0.4,pc=9,hd=0,OL=9,OR=9
HB:t=4171,m=S,run=1,el=11,er=11,yaw=-0.9,yr=-0.4,pc=10,hd=0,OL=10,OR=10
HB:t=4191,m=S,run=1,el=11,er=11,yaw=-0.9,yr=-0.4,pc=10,hd=0,OL=10,OR=10
HB:t=4236,m=S,run=1,el=47,er=46,yaw=-0.9,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4407,m=S,run=1,el=117,er=116,yaw=-0.7,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=4407,m=S,run=1,el=70,er=69,yaw=-0.7,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=4427,m=S,run=1,el=10,er=11,yaw=-0.7,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=4557,m=S,run=1,el=114,er=115,yaw=-0.7,yr=0.4,pc=9,hd=0,OL=9,OR=9
HB:t=4561,m=S,run=1,el=18,er=16,yaw=-0.7,yr=0.4,pc=9,hd=0,OL=9,OR=9
HB:t=4581,m=S,run=1,el=11,er=10,yaw=-0.7,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=4601,m=S,run=1,el=11,er=10,yaw=-0.7,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=4650,m=S,run=1,el=53,er=51,yaw=-0.7,yr=0.5,pc=10,hd=0,OL=10,OR=10
HB:t=4783,m=S,run=1,el=118,er=116,yaw=-0.6,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=4783,m=S,run=1,el=27,er=28,yaw=-0.6,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=4803,m=S,run=1,el=11,er=11,yaw=-0.6,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=4823,m=S,run=1,el=11,er=11,yaw=-0.6,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=4896,m=S,run=1,el=67,er=69,yaw=-0.5,yr=1.1,pc=10,hd=0,OL=10,OR=10
HB:t=5019,m=S,run=1,el=116,er=119,yaw=-0.5,yr=0.5,pc=9,hd=0,OL=9,OR=9
HB:t=5023,m=S,run=1,el=4,er=4,yaw=-0.5,yr=0.5,pc=10,hd=0,OL=10,OR=10
HB:t=5043,m=S,run=1,el=11,er=12,yaw=-0.5,yr=0.5,pc=10,hd=0,OL=10,OR=10
HB:t=5063,m=S,run=1,el=11,er=10,yaw=-0.5,yr=0.5,pc=10,hd=0,OL=10,OR=10
HB:t=5103,m=S,run=1,el=46,er=45,yaw=-0.6,yr=-0.0,pc=10,hd=0,OL=10,OR=10
HB:t=5235,m=S,run=1,el=122,er=119,yaw=-0.7,yr=-0.2,pc=9,hd=0,OL=9,OR=9
HB:t=5235,m=S,run=1,el=29,er=28,yaw=-0.7,yr=-0.2,pc=9,hd=0,OL=9,OR=9
HB:t=5255,m=S,run=1,el=11,er=11,yaw=-0.7,yr=-0.2,pc=10,hd=0,OL=10,OR=10
HB:t=5275,m=S,run=1,el=11,er=11,yaw=-0.7,yr=-0.2,pc=10,hd=0,OL=10,OR=10
HB:t=5349,m=S,run=1,el=73,er=73,yaw=-0.4,yr=1.9,pc=10,hd=0,OL=10,OR=10
