HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=215,m=S,run=1,el=33,er=31,yaw=-0.9,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=215,m=S,run=1,el=40,er=65,yaw=-0.9,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=334,m=S,run=1,el=49,er=80,yaw=-1.8,yr=-3.0,pc=3,hd=0,OL=3,OR=3
HB:t=342,m=S,run=1,el=6,er=9,yaw=-1.8,yr=-3.0,pc=3,hd=0,OL=3,OR=3
HB:t=362,m=S,run=1,el=4,er=8,yaw=-1.8,yr=-3.0,pc=4,hd=0,OL=4,OR=4
HB:t=382,m=S,run=1,el=5,er=8,yaw=-1.8,yr=-3.0,pc=5,hd=0,OL=5,OR=5
HB:t=419,m=S,run=1,el=18,er=29,yaw=-2.1,yr=-4.2,pc=6,hd=1,OL=7,OR=5
HB:t=585,m=S,run=1,el=55,er=89,yaw=-5.8,yr=-15.1,pc=7,hd=1,OL=8,OR=6
HB:t=585,m=S,run=1,el=32,er=51,yaw=-5.8,yr=-15.1,pc=8,hd=2,OL=10,OR=6
HB:t=605,m=S,run=1,el=6,er=9,yaw=-5.8,yr=-15.1,pc=9,hd=3,OL=12,OR=6
HB:t=741,m=S,run=1,el=91,er=98,yaw=-8.0,yr=-15.3,pc=10,hd=4,OL=14,OR=6
HB:t=744,m=S,run=1,el=1,er=1,yaw=-8.0,yr=-15.3,pc=11,hd=4,OL=15,OR=7
HB:t=764,m=S,run=1,el=11,er=9,yaw=-8.0,yr=-15.3,pc=11,hd=4,OL=15,OR=7
HB:t=784,m=S,run=1,el=12,er=9,yaw=-8.0,yr=-15.3,pc=11,hd=4,OL=15,OR=7
HB:t=864,m=S,run=1,el=104,er=77,yaw=-9.8,yr=-22.3,pc=10,hd=5,OL=15,OR=5
HB:t=981,m=S,run=1,el=157,er=106,yaw=-8.5,yr=-10.2,pc=9,hd=6,OL=15,OR=3
HB:t=990,m=S,run=1,el=1,er=1,yaw=-8.5,yr=-10.2,pc=10,hd=4,OL=14,OR=6
HB:t=1010,m=S,run=1,el=15,er=11,yaw=-8.5,yr=-10.2,pc=10,hd=4,OL=14,OR=6
HB:t=1030,m=S,run=1,el=15,er=10,yaw=-8.5,yr=-10.2,pc=10,hd=4,OL=14,OR=6
HB:t=1065,m=S,run=1,el=63,er=43,yaw=-8.1,yr=-4.0,pc=10,hd=4,OL=14,OR=6
HB:t=1235,m=S,run=1,el=161,er=106,yaw=-2.7,yr=15.4,pc=9,hd=4,OL=13,OR=5
HB:t=1236,m=S,run=1,el=97,er=63,yaw=-2.7,yr=15.4,pc=9,hd=1,OL=10,OR=8
HB:t=1256,m=S,run=1,el=14,er=10,yaw=-2.7,yr=15.4,pc=9,hd=1,OL=10,OR=8
HB:t=1386,m=S,run=1,el=153,er=104,yaw=1.7,yr=21.3,pc=9,hd=0,OL=9,OR=9
HB:t=1390,m=S,run=1,el=21,er=14,yaw=1.7,yr=21.3,pc=9,hd=0,OL=9,OR=9
HB:t=1410,m=S,run=1,el=13,er=9,yaw=1.7,yr=21.3,pc=10,hd=0,OL=10,OR=10
HB:t=1430,m=S,run=1,el=13,er=9,yaw=1.7,yr=21.3,pc=10,hd=0,OL=10,OR=10
HB:t=1505,m=S,run=1,el=92,er=65,yaw=7.1,yr=51.8,pc=10,hd=-3,OL=7,OR=13
HB:t=1622,m=S,run=1,el=120,er=114,yaw=9.5,yr=41.4,pc=9,hd=-5,OL=4,OR=14
HB:t=1631,m=S,run=1,el=13,er=14,yaw=9.5,yr=41.4,pc=9,hd=-4,OL=5,OR=13
HB:t=1651,m=S,run=1,el=11,er=12,yaw=9.5,yr=41.4,pc=10,hd=-4,OL=6,OR=14
HB:t=1671,m=S,run=1,el=11,er=13,yaw=9.5,yr=41.4,pc=10,hd=-5,OL=5,OR=15
HB:t=1706,m=S,run=1,el=48,er=57,yaw=9.9,yr=29.9,pc=10,hd=-4,OL=6,OR=14
HB:t=1877,m=S,run=1,el=113,er=148,yaw=10.0,yr=20.0,pc=9,hd=-6,OL=3,OR=15
HB:t=1877,m=S,run=1,el=65,er=95,yaw=10.0,yr=20.0,pc=9,hd=-4,OL=5,OR=13
HB:t=1897,m=S,run=1,el=10,er=14,yaw=10.0,yr=20.0,pc=9,hd=-5,OL=4,OR=14
HB:t=2028,m=S,run=1,el=104,er=165,yaw=6.9,yr=4.8,pc=8,hd=-6,OL=2,OR=14
HB:t=2031,m=S,run=1,el=16,er=26,yaw=6.9,yr=4.8,pc=9,hd=-3,OL=6,OR=12
HB:t=2051,m=S,run=1,el=9,er=15,yaw=6.9,yr=4.8,pc=9,hd=-3,OL=6,OR=12
HB:t=2071,m=S,run=1,el=9,er=15,yaw=6.9,yr=4.8,pc=10,hd=-3,OL=7,OR=13
HB:t=2147,m=S,run=1,el=70,er=113,yaw=0.9,yr=-38.5,pc=9,hd=0,OL=9,OR=9
HB:t=2265,m=S,run=1,el=105,er=138,yaw=-2.6,yr=-36.6,pc=8,hd=1,OL=9,OR=7
HB:t=2273,m=S,run=1,el=7,er=9,yaw=-2.6,yr=-36.6,pc=9,hd=1,OL=10,OR=8
HB:t=2293,m=S,run=1,el=9,er=10,yaw=-2.6,yr=-36.6,pc=10,hd=1,OL=11,OR=9
HB:t=2313,m=S,run=1,el=9,er=11,yaw=-2.6,yr=-36.6,pc=10,hd=2,OL=12,OR=8
HB:t=2349,m=S,run=1,el=38,er=40,yaw=-3.3,yr=-28.8,pc=10,hd=1,OL=11,OR=9
HB:t=2520,m=S,run=1,el=111,er=118,yaw=-7.0,yr=-30.8,pc=9,hd=3,OL=12,OR=6
HB:t=2521,m=S,run=1,el=71,er=67,yaw=-7.0,yr=-30.8,pc=9,hd=3,OL=12,OR=6
HB:t=2541,m=S,run=1,el=12,er=10,yaw=-7.0,yr=-30.8,pc=10,hd=3,OL=13,OR=7
HB:t=2671,m=S,run=1,el=142,er=111,yaw=-7.1,yr=-20.3,pc=9,hd=5,OL=14,OR=4
HB:t=2674,m=S,run=1,el=2,er=1,yaw=-7.1,yr=-20.3,pc=10,hd=3,OL=13,OR=7
HB:t=2694,m=S,run=1,el=14,er=10,yaw=-7.1,yr=-20.3,pc=10,hd=3,OL=13,OR=7
HB:t=2714,m=S,run=1,el=14,er=10,yaw=-7.1,yr=-20.3,pc=10,hd=4,OL=14,OR=6
HB:t=2760,m=S,run=1,el=68,er=47,yaw=-6.9,yr=-11.6,pc=10,hd=3,OL=13,OR=7
HB:t=2896,m=S,run=1,el=151,er=104,yaw=-5.0,yr=-1.5,pc=9,hd=4,OL=13,OR=5
HB:t=2897,m=S,run=1,el=44,er=29,yaw=-5.0,yr=-1.5,pc=9,hd=2,OL=11,OR=7
HB:t=2917,m=S,run=1,el=14,er=10,yaw=-5.0,yr=-1.5,pc=9,hd=2,OL=11,OR=7
HB:t=2937,m=S,run=1,el=14,er=10,yaw=-5.0,yr=-1.5,pc=10,hd=2,OL=12,OR=8
HB:t=2985,m=S,run=1,el=59,er=41,yaw=-2.6,yr=16.1,pc=10,hd=1,OL=11,OR=9
HB:t=3156,m=S,run=1,el=144,er=101,yaw=3.4,yr=30.2,pc=9,hd=0,OL=9,OR=9
HB:t=3156,m=S,run=1,el=83,er=59,yaw=3.4,yr=30.2,pc=9,hd=-1,OL=8,OR=10
HB:t=3176,m=S,run=1,el=12,er=9,yaw=3.4,yr=30.2,pc=10,hd=-1,OL=9,OR=11
HB:t=3306,m=S,run=1,el=130,er=105,yaw=7.0,yr=29.0,pc=9,hd=-3,OL=6,OR=12
HB:t=3310,m=S,run=1,el=18,er=16,yaw=7.0,yr=29.0,pc=9,hd=-3,OL=6,OR=12
HB:t=3330,m=S,run=1,el=12,er=11,yaw=7.0,yr=29.0,pc=10,hd=-3,OL=7,OR=13
HB:t=3350,m=S,run=1,el=10,er=11,yaw=7.0,yr=29.0,pc=10,hd=-3,OL=7,OR=13
HB:t=3425,m=S,run=1,el=79,er=85,yaw=10.0,yr=40.2,pc=10,hd=-4,OL=6,OR=14
HB:t=3543,m=S,run=1,el=112,er=142,yaw=10.1,yr=26.3,pc=9,hd=-7,OL=2,OR=16
HB:t=3551,m=S,run=1,el=12,er=17,yaw=10.1,yr=26.3,pc=9,hd=-4,OL=5,OR=13
HB:t=3571,m=S,run=1,el=11,er=14,yaw=10.1,yr=26.3,pc=9,hd=-5,OL=4,OR=14
HB:t=3591,m=S,run=1,el=10,er=15,yaw=10.1,yr=26.3,pc=10,hd=-5,OL=5,OR=15
HB:t=3653,m=S,run=1,el=60,er=92,yaw=7.9,yr=1.8,pc=9,hd=-3,OL=6,OR=12
HB:t=3775,m=S,run=1,el=100,er=156,yaw=5.6,yr=-6.5,pc=8,hd=-4,OL=4,OR=12
HB:t=3779,m=S,run=1,el=15,er=22,yaw=5.6,yr=-6.5,pc=9,hd=-2,OL=7,OR=11
HB:t=3799,m=S,run=1,el=9,er=14,yaw=5.6,yr=-6.5,pc=10,hd=-2,OL=8,OR=12
HB:t=3819,m=S,run=1,el=9,er=13,yaw=5.6,yr=-6.5,pc=10,hd=-2,OL=8,OR=12
HB:t=3859,m=S,run=1,el=33,er=50,yaw=4.2,yr=-14.0,pc=10,hd=-2,OL=8,OR=12
HB:t=4026,m=S,run=1,el=94,er=144,yaw=-1.8,yr=-28.7,pc=9,hd=-1,OL=8,OR=10
HB:t=4026,m=S,run=1,el=54,er=79,yaw=-1.8,yr=-28.7,pc=9,hd=0,OL=9,OR=9
