HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=123,m=S,run=1,el=34,er=38,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=126,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=204,m=S,run=1,el=47,er=37,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=371,m=S,run=1,el=85,er=64,yaw=1.2,yr=3.9,pc=4,hd=0,OL=4,OR=4
HB:t=371,m=S,run=1,el=51,er=39,yaw=1.2,yr=3.9,pc=5,hd=0,OL=5,OR=5
HB:t=406,m=S,run=1,el=8,er=7,yaw=2.5,yr=26.0,pc=6,hd=0,OL=6,OR=6
HB:t=529,m=S,run=1,el=99,er=78,yaw=3.0,yr=18.3,pc=7,hd=-2,OL=5,OR=9
HB:t=533,m=S,run=1,el=16,er=13,yaw=3.0,yr=18.3,pc=7,hd=-1,OL=6,OR=8
HB:t=583,m=S,run=1,el=35,er=31,yaw=3.5,yr=20.4,pc=9,hd=-1,OL=8,OR=10
HB:t=623,m=S,run=1,el=9,er=9,yaw=4.9,yr=38.6,pc=10,hd=-1,OL=9,OR=11
HB:t=623,m=S,run=1,el=28,er=25,yaw=4.9,yr=38.6,pc=11,hd=-2,OL=9,OR=13
HB:t=746,m=S,run=1,el=108,er=113,yaw=5.5,yr=27.0,pc=10,hd=-4,OL=6,OR=14
HB:t=750,m=S,run=1,el=18,er=20,yaw=5.5,yr=27.0,pc=10,hd=-2,OL=8,OR=12
HB:t=800,m=S,run=1,el=39,er=46,yaw=5.7,yr=21.8,pc=10,hd=-2,OL=8,OR=12
HB:t=835,m=S,run=1,el=11,er=12,yaw=5.4,yr=9.1,pc=11,hd=-3,OL=8,OR=14
HB:t=958,m=S,run=1,el=113,er=137,yaw=5.1,yr=4.8,pc=9,hd=-3,OL=6,OR=12
HB:t=962,m=S,run=1,el=17,er=22,yaw=5.1,yr=4.8,pc=9,hd=-2,OL=7,OR=11
HB:t=1032,m=S,run=1,el=62,er=78,yaw=3.2,yr=-30.2,pc=10,hd=-1,OL=9,OR=11
HB:t=1152,m=S,run=1,el=124,er=145,yaw=2.3,yr=-22.6,pc=9,hd=0,OL=9,OR=9
HB:t=1161,m=S,run=1,el=2,er=2,yaw=2.3,yr=-22.6,pc=10,hd=-1,OL=9,OR=11
HB:t=1227,m=S,run=1,el=72,er=87,yaw=0.1,yr=-53.4,pc=10,hd=0,OL=10,OR=10
HB:t=1352,m=S,run=1,el=120,er=137,yaw=-0.8,yr=-37.5,pc=9,hd=2,OL=11,OR=7
HB:t=1360,m=S,run=1,el=2,er=2,yaw=-0.8,yr=-37.5,pc=10,hd=0,OL=10,OR=10
HB:t=1427,m=S,run=1,el=69,er=79,yaw=-2.4,yr=-51.4,pc=10,hd=1,OL=11,OR=9
HB:t=1552,m=S,run=1,el=121,er=125,yaw=-2.9,yr=-34.9,pc=9,hd=4,OL=13,OR=5
HB:t=1560,m=S,run=1,el=1,er=1,yaw=-2.9,yr=-34.9,pc=11,hd=1,OL=12,OR=10
HB:t=1627,m=S,run=1,el=75,er=77,yaw=-3.5,yr=-34.2,pc=10,hd=1,OL=11,OR=9
HB:t=1752,m=S,run=1,el=125,er=122,yaw=-3.5,yr=-22.1,pc=9,hd=3,OL=12,OR=6
HB:t=1760,m=S,run=1,el=1,er=1,yaw=-3.5,yr=-22.1,pc=11,hd=1,OL=12,OR=10
HB:t=1806,m=S,run=1,el=50,er=47,yaw=-3.4,yr=-13.4,pc=10,hd=1,OL=11,OR=9
HB:t=1847,m=S,run=1,el=11,er=11,yaw=-3.2,yr=-4.9,pc=10,hd=1,OL=11,OR=9
HB:t=1847,m=S,run=1,el=28,er=25,yaw=-3.2,yr=-4.9,pc=10,hd=1,OL=11,OR=9
HB:t=1970,m=S,run=1,el=131,er=115,yaw=-2.9,yr=-2.1,pc=9,hd=1,OL=10,OR=8
HB:t=1973,m=S,run=1,el=21,er=17,yaw=-2.9,yr=-2.1,pc=9,hd=1,OL=10,OR=8
HB:t=2044,m=S,run=1,el=70,er=54,yaw=-1.6,yr=20.3,pc=10,hd=0,OL=10,OR=10
HB:t=2165,m=S,run=1,el=122,er=109,yaw=-1.3,yr=14.3,pc=9,hd=0,OL=9,OR=9
HB:t=2173,m=S,run=1,el=15,er=13,yaw=-1.3,yr=14.3,pc=9,hd=0,OL=9,OR=9
HB:t=2219,m=S,run=1,el=41,er=37,yaw=-1.1,yr=13.1,pc=10,hd=0,OL=10,OR=10
HB:t=2254,m=S,run=1,el=12,er=10,yaw=-0.2,yr=23.5,pc=10,hd=0,OL=10,OR=10
HB:t=2377,m=S,run=1,el=121,er=110,yaw=0.0,yr=16.2,pc=9,hd=-1,OL=8,OR=10
HB:t=2381,m=S,run=1,el=18,er=17,yaw=0.0,yr=16.2,pc=10,hd=0,OL=10,OR=10
HB:t=2431,m=S,run=1,el=42,er=39,yaw=0.4,yr=15.8,pc=10,hd=0,OL=10,OR=10
HB:t=2487,m=S,run=1,el=11,er=10,yaw=1.4,yr=28.0,pc=11,hd=0,OL=11,OR=11
HB:t=2487,m=S,run=1,el=51,er=47,yaw=1.4,yr=28.0,pc=10,hd=0,OL=10,OR=10
HB:t=2606,m=S,run=1,el=122,er=114,yaw=1.5,yr=18.7,pc=9,hd=-2,OL=7,OR=11
HB:t=2614,m=S,run=1,el=8,er=8,yaw=1.5,yr=18.7,pc=10,hd=0,OL=10,OR=10
HB:t=2660,m=S,run=1,el=40,er=39,yaw=1.6,yr=13.9,pc=10,hd=0,OL=10,OR=10
HB:t=2695,m=S,run=1,el=11,er=10,yaw=2.2,yr=18.8,pc=10,hd=0,OL=10,OR=10
HB:t=2818,m=S,run=1,el=116,er=113,yaw=2.3,yr=12.7,pc=9,hd=-2,OL=7,OR=11
HB:t=2822,m=S,run=1,el=18,er=17,yaw=2.3,yr=12.7,pc=10,hd=-1,OL=9,OR=11
HB:t=2872,m=S,run=1,el=39,er=39,yaw=2.5,yr=11.9,pc=10,hd=-1,OL=9,OR=11
HB:t=2913,m=S,run=1,el=10,er=11,yaw=2.8,yr=13.1,pc=11,hd=-1,OL=10,OR=12
HB:t=2913,m=S,run=1,el=31,er=31,yaw=2.8,yr=13.1,pc=11,hd=-1,OL=10,OR=12
HB:t=3035,m=S,run=1,el=121,er=121,yaw=2.8,yr=8.4,pc=9,hd=-2,OL=7,OR=11
HB:t=3040,m=S,run=1,el=18,er=20,yaw=2.8,yr=8.4,pc=10,hd=-1,OL=9,OR=11
HB:t=3089,m=S,run=1,el=41,er=43,yaw=2.8,yr=5.1,pc=10,hd=-1,OL=9,OR=11
HB:t=3129,m=S,run=1,el=11,er=12,yaw=2.7,yr=0.7,pc=10,hd=-1,OL=9,OR=11
HB:t=3129,m=S,run=1,el=29,er=30,yaw=2.7,yr=0.7,pc=10,hd=-1,OL=9,OR=11
HB:t=3252,m=S,run=1,el=116,er=124,yaw=2.4,yr=-0.3,pc=9,hd=-1,OL=8,OR=10
HB:t=3256,m=S,run=1,el=1,er=2,yaw=2.4,yr=-0.3,pc=10,hd=-1,OL=9,OR=11
HB:t=3306,m=S,run=1,el=46,er=47,yaw=2.2,yr=-3.5,pc=10,hd=-1,OL=9,OR=11
HB:t=3346,m=S,run=1,el=11,er=12,yaw=1.7,yr=-10.9,pc=10,hd=-1,OL=9,OR=11
HB:t=3347,m=S,run=1,el=24,er=25,yaw=1.7,yr=-10.9,pc=10,hd=0,OL=10,OR=10
HB:t=3470,m=S,run=1,el=112,er=115,yaw=1.6,yr=-7.7,pc=9,hd=0,OL=9,OR=9
HB:t=3473,m=S,run=1,el=17,er=17,yaw=1.6,yr=-7.7,pc=10,hd=0,OL=10,OR=10
HB:t=3524,m=S,run=1,el=40,er=42,yaw=1.4,yr=-7.6,pc=10,hd=0,OL=10,OR=10
HB:t=3565,m=S,run=1,el=10,er=11,yaw=1.2,yr=-7.8,pc=10,hd=0,OL=10,OR=10
HB:t=3565,m=S,run=1,el=21,er=21,yaw=1.2,yr=-7.8,pc=10,hd=0,OL=10,OR=10
HB:t=3688,m=S,run=1,el=108,er=111,yaw=1.1,yr=-5.5,pc=9,hd=0,OL=9,OR=9
HB:t=3692,m=S,run=1,el=18,er=17,yaw=1.1,yr=-5.5,pc=10,hd=0,OL=10,OR=10
HB:t=3742,m=S,run=1,el=39,er=39,yaw=1.0,yr=-4.9,pc=10,hd=0,OL=10,OR=10
HB:t=3782,m=S,run=1,el=11,er=11,yaw=0.9,yr=-6.4,pc=11,hd=0,OL=11,OR=11
HB:t=3782,m=S,run=1,el=31,er=30,yaw=0.9,yr=-6.4,pc=11,hd=0,OL=11,OR=11
HB:t=3905,m=S,run=1,el=123,er=122,yaw=0.8,yr=-4.4,pc=9,hd=0,OL=9,OR=9
HB:t=3909,m=S,run=1,el=19,er=19,yaw=0.8,yr=-4.4,pc=9,hd=0,OL=9,OR=9
HB:t=3959,m=S,run=1,el=40,er=39,yaw=0.8,yr=-3.1,pc=10,hd=0,OL=10,OR=10
HB:t=3994,m=S,run=1,el=11,er=11,yaw=0.8,yr=-1.4,pc=10,hd=0,OL=10,OR=10
HB:t=4117,m=S,run=1,el=118,er=116,yaw=0.8,yr=-0.8,pc=9,hd=0,OL=9,OR=9
HB:t=4121,m=S,run=1,el=18,er=18,yaw=0.8,yr=-0.8,pc=9,hd=0,OL=9,OR=9
