t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
180,S,1,30,32,0.0,0.0,2,0,2,2,0,0.00
180,S,1,40,36,0.0,0.0,3,0,3,3,0,0.00
221,S,1,6,5,0.2,1.7,3,0,3,3,0,0.00
343,S,1,94,84,0.5,1.8,3,0,3,3,0,0.00
347,S,1,13,12,0.5,1.8,4,0,4,4,0,0.00
397,S,1,30,29,0.7,2.9,5,0,5,5,0,0.00
566,S,1,87,80,1.5,3.5,7,0,7,7,0,0.00
566,S,1,50,45,1.5,3.5,8,0,8,8,0,0.00
597,S,1,8,7,2.2,7.5,9,0,9,9,0,0.00
722,S,1,103,97,2.3,6.6,10,-1,9,11,0,0.00
726,S,1,17,16,2.3,6.6,11,-1,10,12,0,0.00
797,S,1,67,63,2.9,10.5,10,-1,9,11,0,0.00
917,S,1,131,124,3.3,9.4,10,-2,8,12,0,0.00
926,S,1,1,1,3.3,9.4,11,-1,10,12,0,0.00
971,S,1,55,54,3.3,8.7,10,-1,9,11,0,0.00
1011,S,1,12,13,3.9,11.2,10,-1,9,11,0,0.00
1011,S,1,29,28,3.9,11.2,10,-2,8,12,0,0.00
1169,S,1,119,130,4.0,9.8,9,-2,7,11,0,0.00
1169,S,1,56,62,4.0,9.8,9,-2,7,11,0,0.00
1205,S,1,10,12,3.5,5.1,10,-2,8,12,0,0.00
1209,S,1,2,2,3.5,5.1,11,-1,10,12,0,0.00
1329,S,1,126,136,3.2,4.0,9,-2,7,11,0,0.00
1337,S,1,14,15,3.2,4.0,9,-1,8,10,0,0.00
1409,S,1,68,77,1.9,-5.4,10,-1,9,11,0,0.00
1529,S,1,115,131,1.4,-5.4,9,0,9,9,0,0.00
1537,S,1,13,14,1.4,-5.4,9,0,9,9,0,0.00
1583,S,1,38,41,1.2,-5.9,10,0,10,10,0,0.00
1618,S,1,11,12,0.1,-12.6,10,0,10,10,0,0.00
1741,S,1,115,121,-0.1,-11.1,9,0,9,9,0,0.00
1745,S,1,18,18,-0.1,-11.1,10,0,10,10,0,0.00
1815,S,1,63,64,-0.6,-13.0,10,0,10,10,0,0.00
1935,S,1,121,126,-0.8,-11.4,9,0,9,9,0,0.00
1944,S,1,2,2,-0.8,-11.4,10,0,10,10,0,0.00
1989,S,1,48,49,-0.8,-10.3,10,0,10,10,0,0.00
2030,S,1,12,12,-1.3,-12.0,10,0,10,10,0,0.00
2030,S,1,25,27,-1.3,-12.0,10,0,10,10,0,0.00
2153,S,1,121,128,-1.5,-10.7,9,1,10,8,0,0.00
2156,S,1,19,19,-1.5,-10.7,9,0,9,9,0,0.00
2227,S,1,67,69,-2.0,-12.6,10,0,10,10,0,0.00
2348,S,1,124,128,-2.1,-11.0,9,1,10,8,0,0.00
2356,S,1,14,15,-2.1,-11.0,10,0,10,10,0,0.00
2402,S,1,40,40,-2.2,-9.8,10,1,11,9,0,0.00
2438,S,1,11,11,-2.5,-10.8,10,1,11,9,0,0.00
2595,S,1,121,115,-2.5,-9.3,9,1,10,8,0,0.00
2595,S,1,57,50,-2.5,-9.3,9,1,10,8,0,0.00
2631,S,1,11,9,-2.0,-4.6,10,1,11,9,0,0.00
2635,S,1,27,23,-2.0,-4.6,10,0,10,10,0,0.00
