t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
123,S,1,26,34,0.0,0.0,2,0,2,2,0,0.00
126,S,1,1,1,0.0,0.0,2,0,2,2,0,0.00
225,S,1,45,44,-0.1,-0.8,3,0,3,3,0,0.00
343,S,1,68,68,-0.1,-0.7,4,0,4,4,0,0.00
352,S,1,2,1,-0.1,-0.7,5,0,5,5,0,0.00
397,S,1,30,31,-0.1,-0.5,6,0,6,6,0,0.00
437,S,1,8,8,-0.1,-0.4,6,0,6,6,0,0.00
437,S,1,17,17,-0.1,-0.4,7,0,7,7,0,0.00
560,S,1,86,85,-0.2,-0.5,7,0,7,7,0,0.00
564,S,1,13,13,-0.2,-0.5,8,0,8,8,0,0.00
614,S,1,34,33,-0.2,-0.4,10,0,10,10,0,0.00
654,S,1,9,9,-0.1,-0.1,11,0,11,11,0,0.00
654,S,1,29,28,-0.1,-0.1,11,0,11,11,0,0.00
777,S,1,118,117,-0.1,-0.0,10,0,10,10,0,0.00
781,S,1,19,20,-0.1,-0.0,10,0,10,10,0,0.00
831,S,1,41,39,-0.0,0.2,10,0,10,10,0,0.00
871,S,1,11,12,0.0,0.8,11,0,11,11,0,0.00
872,S,1,30,31,0.0,0.8,10,0,10,10,0,0.00
994,S,1,121,123,0.1,0.8,9,0,9,9,0,0.00
998,S,1,1,1,0.1,0.8,11,0,11,11,0,0.00
1048,S,1,46,45,0.1,0.5,11,0,11,11,0,0.00
1089,S,1,11,11,0.0,-0.3,11,0,11,11,0,0.00
1089,S,1,27,27,0.0,-0.3,11,0,11,11,0,0.00
1212,S,1,125,123,0.1,-0.1,9,0,9,9,0,0.00
1216,S,1,4,4,0.1,-0.1,10,0,10,10,0,0.00
1266,S,1,44,44,0.1,0.1,10,0,10,10,0,0.00
1302,S,1,11,10,0.3,1.0,11,0,11,11,0,0.00
1425,S,1,121,119,0.3,0.9,9,0,9,9,0,0.00
1428,S,1,0,1,0.3,0.9,11,0,11,11,0,0.00
1479,S,1,50,49,0.4,1.5,11,0,11,11,0,0.00
1518,S,1,11,12,0.5,2.0,11,0,11,11,0,0.00
1519,S,1,29,28,0.5,2.0,10,0,10,10,0,0.00
1642,S,1,127,126,0.5,1.7,9,0,9,9,0,0.00
1645,S,1,19,19,0.5,1.7,9,0,9,9,0,0.00
1696,S,1,45,44,0.5,1.4,10,0,10,10,0,0.00
1736,S,1,11,11,0.5,1.5,10,0,10,10,0,0.00
1736,S,1,23,23,0.5,1.5,10,0,10,10,0,0.00
1859,S,1,116,116,0.6,1.4,9,0,9,9,0,0.00
1863,S,1,18,18,0.6,1.4,10,0,10,10,0,0.00
1913,S,1,40,40,0.6,1.3,10,0,10,10,0,0.00
1953,S,1,11,11,0.6,1.4,11,0,11,11,0,0.00
1953,S,1,31,31,0.6,1.4,11,0,11,11,0,0.00
2111,S,1,126,127,0.6,1.1,9,0,9,9,0,0.00
2112,S,1,58,60,0.6,1.1,10,0,10,10,0,0.00
2147,S,1,22,24,0.5,0.3,10,0,10,10,0,0.00
2275,S,1,116,117,0.4,0.2,9,0,9,9,0,0.00
2279,S,1,0,0,0.4,0.2,11,0,11,11,0,0.00
2329,S,1,47,48,0.4,-0.2,11,0,11,11,0,0.00
2368,S,1,12,12,0.2,-1.2,11,0,11,11,0,0.00
2369,S,1,26,27,0.2,-1.2,11,0,11,11,0,0.00
2492,S,1,128,129,0.1,-1.1,9,0,9,9,0,0.00
2495,S,1,20,20,0.1,-1.1,9,0,9,9,0,0.00
2546,S,1,48,49,0.0,-1.6,10,0,10,10,0,0.00
2582,S,1,12,12,-0.2,-3.0,10,0,10,10,0,0.00
2705,S,1,121,124,-0.3,-2.7,9,0,9,9,0,0.00
2708,S,1,1,1,-0.3,-2.7,11,0,11,11,0,0.00
2759,S,1,49,49,-0.3,-2.6,11,0,11,11,0,0.00
2799,S,1,12,12,-0.4,-2.8,11,0,11,11,0,0.00
2799,S,1,27,28,-0.4,-2.8,10,0,10,10,0,0.00
2922,S,1,123,124,-0.5,-2.5,9,0,9,9,0,0.00
2925,S,1,18,19,-0.5,-2.5,9,0,9,9,0,0.00
2997,S,1,67,69,-0.7,-3.4,10,0,10,10,0,0.00
3116,S,1,119,121,-0.7,-3.0,9,0,9,9,0,0.00
3125,S,1,13,14,-0.7,-3.0,9,0,9,9,0,0.00
3170,S,1,36,36,-0.8,-2.8,10,0,10,10,0,0.00
3211,S,1,11,11,-0.9,-3.2,10,0,10,10,0,0.00
3211,S,1,27,27,-0.9,-3.2,10,0,10,10,0,0.00
3334,S,1,115,116,-0.9,-2.8,9,0,9,9,0,0.00
3337,S,1,2,1,-0.9,-2.8,11,0,11,11,0,0.00
3388,S,1,48,49,-0.9,-2.6,11,0,11,11,0,0.00
3427,S,1,12,12,-1.1,-3.3,10,0,10,10,0,0.00
3427,S,1,27,27,-1.1,-3.3,10,0,10,10,0,0.00
3550,S,1,129,133,-1.2,-2.9,9,0,9,9,0,0.00
3554,S,1,20,20,-1.2,-2.9,9,0,9,9,0,0.00
3604,S,1,46,46,-1.3,-3.2,10,0,10,10,0,0.00
3639,S,1,12,12,-1.5,-4.1,11,0,11,11,0,0.00
3762,S,1,131,132,-1.5,-3.6,9,1,10,8,0,0.00
3766,S,1,4,4,-1.5,-3.6,10,0,10,10,0,0.00
3816,S,1,48,50,-1.5,-3.3,10,0,10,10,0,0.00
3856,S,1,12,12,-1.6,-3.4,10,0,10,10,0,0.00
3856,S,1,25,26,-1.6,-3.4,10,0,10,10,0,0.00
3979,S,1,126,129,-1.6,-2.9,9,1,10,8,0,0.00
3983,S,1,19,18,-1.6,-2.9,9,0,9,9,0,0.00
4033,S,1,43,43,-1.7,-3.0,10,0,10,10,0,0.00
4073,S,1,11,11,-1.8,-3.7,11,1,12,10,0,0.00
4073,S,1,31,30,-1.8,-3.7,11,1,12,10,0,0.00
4196,S,1,131,126,-1.9,-3.2,9,1,10,8,0,0.00
4200,S,1,21,19,-1.9,-3.2,9,1,10,8,0,0.00
4250,S,1,42,38,-1.9,-2.7,10,1,11,9,0,0.00
4291,S,1,13,12,-1.6,-0.4,10,1,11,9,0,0.00
4291,S,1,32,28,-1.6,-0.4,10,1,11,9,0,0.00
4414,S,1,136,124,-1.4,-0.0,9,1,10,8,0,0.00
4417,S,1,1,2,-1.4,-0.0,10,0,10,10,0,0.00
4489,S,1,77,80,-0.7,4.8,10,0,10,10,0,0.00
4609,S,1,129,120,-0.3,4.5,9,0,9,9,0,0.00
4617,S,1,8,7,-0.3,4.5,9,0,9,9,0,0.00
4663,S,1,44,41,-0.2,4.6,10,0,10,10,0,0.00
4698,S,1,12,11,0.4,8.5,11,0,11,11,0,0.00
4821,S,1,134,125,0.6,7.6,9,0,9,9,0,0.00
4825,S,1,20,20,0.6,7.6,9,0,9,9,0,0.00
4895,S,1,73,69,1.5,12.5,10,0,10,10,0,0.00
5049,S,1,135,125,1.9,11.2,9,-1,8,10,0,0.00
5049,S,1,54,53,1.9,11.2,9,0,9,9,0,0.00
5085,S,1,12,11,2.5,14.0,10,0,10,10,0,0.00
5089,S,1,1,0,2.5,14.0,11,-1,10,12,0,0.00
5215,S,1,134,125,2.6,12.2,9,-1,8,10,0,0.00
5223,S,1,0,1,2.6,12.2,11,-1,10,12,0,0.00
5273,S,1,58,58,2.7,11.1,10,-1,9,11,0,0.00
5313,S,1,13,12,3.2,12.6,11,-1,10,12,0,0.00
