t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
179,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
179,S,1,11,24,0.0,0.0,2,0,2,2,0,0.00
214,S,1,3,5,0.1,0.5,2,0,2,2,0,0.00
337,S,1,52,66,0.0,0.4,3,0,3,3,0,0.00
341,S,1,9,12,0.0,0.4,4,0,4,4,0,0.00
412,S,1,35,43,-1.3,-9.1,5,0,5,5,0,0.00
531,S,1,73,92,-1.9,-8.6,6,1,7,5,0,0.00
540,S,1,4,4,-1.9,-8.6,7,1,8,6,0,0.00
606,S,1,43,52,-3.5,-18.3,8,1,9,7,0,0.00
731,S,1,92,101,-4.1,-16.5,10,2,12,8,0,0.00
739,S,1,4,4,-4.1,-16.5,11,2,13,9,0,0.00
785,S,1,39,38,-4.3,-15.6,11,2,13,9,0,0.00
825,S,1,11,10,-4.9,-17.6,12,2,14,10,0,0.00
826,S,1,33,32,-4.9,-17.6,11,2,13,9,0,0.00
949,S,1,134,118,-4.9,-15.1,10,3,13,7,0,0.00
952,S,1,22,19,-4.9,-15.1,10,2,12,8,0,0.00
1003,S,1,49,40,-4.8,-12.1,10,2,12,8,0,0.00
1044,S,1,14,11,-4.1,-5.8,10,2,12,8,0,0.00
1044,S,1,36,29,-4.1,-5.8,10,2,12,8,0,0.00
1167,S,1,134,107,-3.4,-4.0,9,2,11,7,0,0.00
1170,S,1,20,17,-3.4,-4.0,10,2,12,8,0,0.00
1221,S,1,42,33,-2.8,0.5,10,1,11,9,0,0.00
1261,S,1,13,11,-0.8,14.4,10,1,11,9,0,0.00
1261,S,1,30,24,-0.8,14.4,10,0,10,10,0,0.00
1384,S,1,133,106,0.3,13.8,9,0,9,9,0,0.00
1388,S,1,2,2,0.3,13.8,11,0,11,11,0,0.00
1438,S,1,54,43,1.0,17.0,11,0,11,11,0,0.00
1473,S,1,13,11,2.8,27.2,11,0,11,11,0,0.00
1596,S,1,138,114,3.4,24.1,9,-2,7,11,0,0.00
1600,S,1,0,0,3.4,24.1,11,-1,10,12,0,0.00
1650,S,1,55,48,4.0,24.9,11,-1,10,12,0,0.00
1690,S,1,13,12,5.8,34.0,10,-1,9,11,0,0.00
1690,S,1,30,26,5.8,34.0,10,-2,8,12,0,0.00
1813,S,1,121,124,6.4,30.0,9,-4,5,13,0,0.00
1817,S,1,4,4,6.4,30.0,10,-3,7,13,0,0.00
1867,S,1,44,51,6.7,27.8,10,-3,7,13,0,0.00
1907,S,1,11,14,6.9,25.1,10,-3,7,13,0,0.00
1907,S,1,22,26,6.9,25.1,10,-3,7,13,0,0.00
2030,S,1,108,141,6.2,20.7,9,-4,5,13,0,0.00
2034,S,1,17,22,6.2,20.7,10,-3,7,13,0,0.00
2084,S,1,37,50,5.6,13.6,10,-2,8,12,0,0.00
2125,S,1,11,13,3.4,-3.7,11,-2,9,13,0,0.00
2125,S,1,30,37,3.4,-3.7,11,-1,10,12,0,0.00
2248,S,1,116,145,2.3,-4.6,9,-1,8,10,0,0.00
2252,S,1,18,23,2.3,-4.6,9,-1,8,10,0,0.00
2322,S,1,58,75,-0.5,-23.4,10,0,10,10,0,0.00
2443,S,1,115,140,-1.5,-21.5,9,1,10,8,0,0.00
2451,S,1,4,4,-1.5,-21.5,10,0,10,10,0,0.00
