HB:t=179,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=179,m=S,run=1,el=11,er=24,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=214,m=S,run=1,el=3,er=5,yaw=0.1,yr=0.5,pc=2,hd=0,OL=2,OR=2
HB:t=337,m=S,run=1,el=52,er=66,yaw=0.0,yr=0.4,pc=3,hd=0,OL=3,OR=3
HB:t=341,m=S,run=1,el=9,er=12,yaw=0.0,yr=0.4,pc=4,hd=0,OL=4,OR=4
HB:t=412,m=S,run=1,el=35,er=43,yaw=-1.3,yr=-9.1,pc=5,hd=0,OL=5,OR=5
HB:t=531,m=S,run=1,el=73,er=92,yaw=-1.9,yr=-8.6,pc=6,hd=1,OL=7,OR=5
HB:t=540,m=S,run=1,el=4,er=4,yaw=-1.9,yr=-8.6,pc=7,hd=1,OL=8,OR=6
HB:t=606,m=S,run=1,el=43,er=52,yaw=-3.5,yr=-18.3,pc=8,hd=1,OL=9,OR=7
HB:t=731,m=S,run=1,el=92,er=101,yaw=-4.1,yr=-16.5,pc=10,hd=2,OL=12,OR=8
HB:t=739,m=S,run=1,el=4,er=4,yaw=-4.1,yr=-16.5,pc=11,hd=2,OL=13,OR=9
HB:t=785,m=S,run=1,el=39,er=38,yaw=-4.3,yr=-15.6,pc=11,hd=2,OL=13,OR=9
HB:t=825,m=S,run=1,el=11,er=10,yaw=-4.9,yr=-17.6,pc=12,hd=2,OL=14,OR=10
HB:t=826,m=S,run=1,el=33,er=32,yaw=-4.9,yr=-17.6,pc=11,hd=2,OL=13,OR=9
HB:t=949,m=S,run=1,el=134,er=118,yaw=-4.9,yr=-15.1,pc=10,hd=3,OL=13,OR=7
HB:t=952,m=S,run=1,el=22,er=19,yaw=-4.9,yr=-15.1,pc=10,hd=2,OL=12,OR=8
HB:t=1003,m=S,run=1,el=49,er=40,yaw=-4.8,yr=-12.1,pc=10,hd=2,OL=12,OR=8
HB:t=1044,m=S,run=1,el=14,er=11,yaw=-4.1,yr=-5.8,pc=10,hd=2,OL=12,OR=8
HB:t=1044,m=S,run=1,el=36,er=29,yaw=-4.1,yr=-5.8,pc=10,hd=2,OL=12,OR=8
HB:t=1167,m=S,run=1,el=134,er=107,yaw=-3.4,yr=-4.0,pc=9,hd=2,OL=11,OR=7
HB:t=1170,m=S,run=1,el=20,er=17,yaw=-3.4,yr=-4.0,pc=10,hd=2,OL=12,OR=8
HB:t=1221,m=S,run=1,el=42,er=33,yaw=-2.8,yr=0.5,pc=10,hd=1,OL=11,OR=9
HB:t=1261,m=S,run=1,el=13,er=11,yaw=-0.8,yr=14.4,pc=10,hd=1,OL=11,OR=9
HB:t=1261,m=S,run=1,el=30,er=24,yaw=-0.8,yr=14.4,pc=10,hd=0,OL=10,OR=10
HB:t=1384,m=S,run=1,el=133,er=106,yaw=0.3,yr=13.8,pc=9,hd=0,OL=9,OR=9
HB:t=1388,m=S,run=1,el=2,er=2,yaw=0.3,yr=13.8,pc=11,hd=0,OL=11,OR=11
HB:t=1438,m=S,run=1,el=54,er=43,yaw=1.0,yr=17.0,pc=11,hd=0,OL=11,OR=11
HB:t=1473,m=S,run=1,el=13,er=11,yaw=2.8,yr=27.2,pc=11,hd=0,OL=11,OR=11
HB:t=1596,m=S,run=1,el=138,er=114,yaw=3.4,yr=24.1,pc=9,hd=-2,OL=7,OR=11
HB:t=1600,m=S,run=1,el=0,er=0,yaw=3.4,yr=24.1,pc=11,hd=-1,OL=10,OR=12
HB:t=1650,m=S,run=1,el=55,er=48,yaw=4.0,yr=24.9,pc=11,hd=-1,OL=10,OR=12
HB:t=1690,m=S,run=1,el=13,er=12,yaw=5.8,yr=34.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1690,m=S,run=1,el=30,er=26,yaw=5.8,yr=34.0,pc=10,hd=-2,OL=8,OR=12
HB:t=1813,m=S,run=1,el=121,er=124,yaw=6.4,yr=30.0,pc=9,hd=-4,OL=5,OR=13
HB:t=1817,m=S,run=1,el=4,er=4,yaw=6.4,yr=30.0,pc=10,hd=-3,OL=7,OR=13
HB:t=1867,m=S,run=1,el=44,er=51,yaw=6.7,yr=27.8,pc=10,hd=-3,OL=7,OR=13
HB:t=1907,m=S,run=1,el=11,er=14,yaw=6.9,yr=25.1,pc=10,hd=-3,OL=7,OR=13
HB:t=1907,m=S,run=1,el=22,er=26,yaw=6.9,yr=25.1,pc=10,hd=-3,OL=7,OR=13
HB:t=2030,m=S,run=1,el=108,er=141,yaw=6.2,yr=20.7,pc=9,hd=-4,OL=5,OR=13
HB:t=2034,m=S,run=1,el=17,er=22,yaw=6.2,yr=20.7,pc=10,hd=-3,OL=7,OR=13
HB:t=2084,m=S,run=1,el=37,er=50,yaw=5.6,yr=13.6,pc=10,hd=-2,OL=8,OR=12
HB:t=2125,m=S,run=1,el=11,er=13,yaw=3.4,yr=-3.7,pc=11,hd=-2,OL=9,OR=13
HB:t=2125,m=S,run=1,el=30,er=37,yaw=3.4,yr=-3.7,pc=11,hd=-1,OL=10,OR=12
HB:t=2248,m=S,run=1,el=116,er=145,yaw=2.3,yr=-4.6,pc=9,hd=-1,OL=8,OR=10
HB:t=2252,m=S,run=1,el=18,er=23,yaw=2.3,yr=-4.6,pc=9,hd=-1,OL=8,OR=10
HB:t=2322,m=S,run=1,el=58,er=75,yaw=-0.5,yr=-23.4,pc=10,hd=0,OL=10,OR=10
HB:t=2443,m=S,run=1,el=115,er=140,yaw=-1.5,yr=-21.5,pc=9,hd=1,OL=10,OR=8
HB:t=2451,m=S,run=1,el=4,er=4,yaw=-1.5,yr=-21.5,pc=10,hd=0,OL=10,OR=10
HB:t=2497,m=S,run=1,el=42,er=50,yaw=-1.9,yr=-21.0,pc=10,hd=0,OL=10,OR=10
HB:t=2532,m=S,run=1,el=10,er=13,yaw=-3.7,yr=-30.7,pc=11,hd=0,OL=11,OR=11
HB:t=2654,m=S,run=1,el=122,er=133,yaw=-4.2,yr=-27.0,pc=9,hd=3,OL=12,OR=6
HB:t=2658,m=S,run=1,el=3,er=2,yaw=-4.2,yr=-27.0,pc=10,hd=2,OL=12,OR=8
HB:t=2708,m=S,run=1,el=49,er=46,yaw=-4.6,yr=-26.3,pc=10,hd=2,OL=12,OR=8
HB:t=2748,m=S,run=1,el=12,er=12,yaw=-5.5,yr=-29.1,pc=10,hd=2,OL=12,OR=8
HB:t=2749,m=S,run=1,el=27,er=25,yaw=-5.5,yr=-29.1,pc=10,hd=2,OL=12,OR=8
HB:t=2871,m=S,run=1,el=127,er=114,yaw=-5.8,yr=-25.4,pc=9,hd=4,OL=13,OR=5
HB:t=2875,m=S,run=1,el=20,er=17,yaw=-5.8,yr=-25.4,pc=10,hd=3,OL=13,OR=7
