HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=127,m=S,run=1,el=20,er=33,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=127,m=S,run=1,el=7,er=7,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=208,m=S,run=1,el=4,er=5,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=209,m=S,run=1,el=31,er=33,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=380,m=S,run=1,el=67,er=67,yaw=-0.2,yr=-0.3,pc=4,hd=0,OL=4,OR=4
HB:t=381,m=S,run=1,el=45,er=46,yaw=-0.2,yr=-0.3,pc=5,hd=0,OL=5,OR=5
HB:t=416,m=S,run=1,el=17,er=17,yaw=-0.3,yr=-1.0,pc=7,hd=0,OL=7,OR=7
HB:t=539,m=S,run=1,el=81,er=84,yaw=-0.4,yr=-1.0,pc=7,hd=0,OL=7,OR=7
HB:t=542,m=S,run=1,el=13,er=13,yaw=-0.4,yr=-1.0,pc=8,hd=0,OL=8,OR=8
HB:t=593,m=S,run=1,el=31,er=31,yaw=-0.5,yr=-1.2,pc=10,hd=0,OL=10,OR=10
HB:t=632,m=S,run=1,el=9,er=9,yaw=-0.6,yr=-2.3,pc=11,hd=0,OL=11,OR=11
HB:t=632,m=S,run=1,el=25,er=25,yaw=-0.6,yr=-2.3,pc=11,hd=0,OL=11,OR=11
HB:t=755,m=S,run=1,el=104,er=108,yaw=-0.7,yr=-2.0,pc=10,hd=0,OL=10,OR=10
HB:t=759,m=S,run=1,el=17,er=18,yaw=-0.7,yr=-2.0,pc=11,hd=0,OL=11,OR=11
HB:t=809,m=S,run=1,el=38,er=38,yaw=-0.7,yr=-2.0,pc=11,hd=0,OL=11,OR=11
HB:t=844,m=S,run=1,el=11,er=10,yaw=-0.9,yr=-2.8,pc=11,hd=0,OL=11,OR=11
HB:t=967,m=S,run=1,el=123,er=125,yaw=-0.9,yr=-2.5,pc=9,hd=1,OL=10,OR=8
HB:t=971,m=S,run=1,el=20,er=19,yaw=-0.9,yr=-2.5,pc=10,hd=1,OL=11,OR=9
HB:t=1021,m=S,run=1,el=45,er=42,yaw=-1.0,yr=-2.5,pc=10,hd=1,OL=11,OR=9
HB:t=1061,m=S,run=1,el=13,er=12,yaw=-1.2,yr=-3.6,pc=10,hd=1,OL=11,OR=9
HB:t=1061,m=S,run=1,el=33,er=32,yaw=-1.2,yr=-3.6,pc=10,hd=1,OL=11,OR=9
HB:t=1184,m=S,run=1,el=124,er=121,yaw=-1.2,yr=-3.1,pc=9,hd=1,OL=10,OR=8
HB:t=1188,m=S,run=1,el=18,er=17,yaw=-1.2,yr=-3.1,pc=10,hd=1,OL=11,OR=9
HB:t=1238,m=S,run=1,el=39,er=39,yaw=-1.1,yr=-1.9,pc=10,hd=1,OL=11,OR=9
HB:t=1278,m=S,run=1,el=11,er=11,yaw=-0.9,yr=-0.0,pc=10,hd=1,OL=11,OR=9
HB:t=1278,m=S,run=1,el=28,er=27,yaw=-0.9,yr=-0.0,pc=10,hd=1,OL=11,OR=9
HB:t=1401,m=S,run=1,el=121,er=116,yaw=-0.7,yr=0.2,pc=9,hd=1,OL=10,OR=8
HB:t=1405,m=S,run=1,el=2,er=2,yaw=-0.7,yr=0.2,pc=11,hd=0,OL=11,OR=11
HB:t=1456,m=S,run=1,el=48,er=48,yaw=-0.6,yr=1.1,pc=11,hd=0,OL=11,OR=11
HB:t=1496,m=S,run=1,el=12,er=11,yaw=-0.3,yr=3.1,pc=10,hd=0,OL=10,OR=10
HB:t=1496,m=S,run=1,el=27,er=28,yaw=-0.3,yr=3.1,pc=10,hd=0,OL=10,OR=10
HB:t=1620,m=S,run=1,el=122,er=121,yaw=-0.2,yr=2.8,pc=9,hd=0,OL=9,OR=9
HB:t=1623,m=S,run=1,el=18,er=18,yaw=-0.2,yr=2.8,pc=10,hd=0,OL=10,OR=10
HB:t=1674,m=S,run=1,el=43,er=42,yaw=-0.1,yr=2.5,pc=11,hd=0,OL=11,OR=11
HB:t=1715,m=S,run=1,el=11,er=10,yaw=-0.0,yr=3.0,pc=11,hd=0,OL=11,OR=11
HB:t=1715,m=S,run=1,el=24,er=23,yaw=-0.0,yr=3.0,pc=11,hd=0,OL=11,OR=11
HB:t=1838,m=S,run=1,el=122,er=118,yaw=0.0,yr=2.7,pc=9,hd=0,OL=9,OR=9
HB:t=1842,m=S,run=1,el=19,er=18,yaw=0.0,yr=2.7,pc=10,hd=0,OL=10,OR=10
HB:t=1892,m=S,run=1,el=43,er=43,yaw=0.1,yr=2.6,pc=10,hd=0,OL=10,OR=10
HB:t=1931,m=S,run=1,el=12,er=11,yaw=0.2,yr=3.5,pc=11,hd=0,OL=11,OR=11
HB:t=1931,m=S,run=1,el=32,er=33,yaw=0.2,yr=3.5,pc=11,hd=0,OL=11,OR=11
HB:t=2054,m=S,run=1,el=131,er=130,yaw=0.3,yr=3.0,pc=9,hd=0,OL=9,OR=9
HB:t=2058,m=S,run=1,el=20,er=20,yaw=0.3,yr=3.0,pc=9,hd=0,OL=9,OR=9
HB:t=2108,m=S,run=1,el=42,er=41,yaw=0.3,yr=2.6,pc=10,hd=0,OL=10,OR=10
HB:t=2143,m=S,run=1,el=12,er=11,yaw=0.4,yr=2.7,pc=10,hd=0,OL=10,OR=10
HB:t=2266,m=S,run=1,el=123,er=121,yaw=0.4,yr=2.3,pc=9,hd=0,OL=9,OR=9
HB:t=2270,m=S,run=1,el=18,er=18,yaw=0.4,yr=2.3,pc=9,hd=0,OL=9,OR=9
HB:t=2320,m=S,run=1,el=40,er=40,yaw=0.4,yr=2.3,pc=10,hd=0,OL=10,OR=10
HB:t=2360,m=S,run=1,el=11,er=11,yaw=0.5,yr=2.7,pc=10,hd=0,OL=10,OR=10
HB:t=2360,m=S,run=1,el=30,er=31,yaw=0.5,yr=2.7,pc=10,hd=0,OL=10,OR=10
HB:t=2483,m=S,run=1,el=122,er=120,yaw=0.6,yr=2.4,pc=9,hd=0,OL=9,OR=9
HB:t=2487,m=S,run=1,el=1,er=0,yaw=0.6,yr=2.4,pc=11,hd=0,OL=11,OR=11
HB:t=2537,m=S,run=1,el=50,er=49,yaw=0.6,yr=2.1,pc=11,hd=0,OL=11,OR=11
HB:t=2577,m=S,run=1,el=12,er=12,yaw=0.7,yr=2.4,pc=11,hd=0,OL=11,OR=11
HB:t=2577,m=S,run=1,el=28,er=27,yaw=0.7,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=2700,m=S,run=1,el=122,er=120,yaw=0.7,yr=2.1,pc=9,hd=0,OL=9,OR=9
HB:t=2704,m=S,run=1,el=3,er=3,yaw=0.7,yr=2.1,pc=10,hd=0,OL=10,OR=10
HB:t=2754,m=S,run=1,el=44,er=44,yaw=0.7,yr=2.0,pc=10,hd=0,OL=10,OR=10
HB:t=2795,m=S,run=1,el=12,er=11,yaw=0.9,yr=2.7,pc=11,hd=0,OL=11,OR=11
HB:t=2795,m=S,run=1,el=24,er=24,yaw=0.9,yr=2.7,pc=10,hd=0,OL=10,OR=10
HB:t=2918,m=S,run=1,el=126,er=124,yaw=1.0,yr=2.5,pc=9,hd=-1,OL=8,OR=10
HB:t=2922,m=S,run=1,el=20,er=20,yaw=1.0,yr=2.5,pc=9,hd=0,OL=9,OR=9
HB:t=2972,m=S,run=1,el=45,er=44,yaw=1.0,yr=2.5,pc=10,hd=0,OL=10,OR=10
HB:t=3011,m=S,run=1,el=12,er=12,yaw=1.0,yr=2.3,pc=11,hd=0,OL=11,OR=11
HB:t=3011,m=S,run=1,el=33,er=33,yaw=1.0,yr=2.3,pc=10,hd=0,OL=10,OR=10
HB:t=3134,m=S,run=1,el=129,er=129,yaw=1.0,yr=1.9,pc=9,hd=-1,OL=8,OR=10
HB:t=3138,m=S,run=1,el=19,er=19,yaw=1.0,yr=1.9,pc=9,hd=0,OL=9,OR=9
HB:t=3189,m=S,run=1,el=40,er=40,yaw=1.0,yr=1.8,pc=10,hd=-1,OL=9,OR=11
HB:t=3223,m=S,run=1,el=12,er=11,yaw=1.1,yr=2.2,pc=10,hd=-1,OL=9,OR=11
HB:t=3346,m=S,run=1,el=121,er=126,yaw=1.1,yr=1.8,pc=9,hd=-1,OL=8,OR=10
HB:t=3350,m=S,run=1,el=19,er=19,yaw=1.1,yr=1.8,pc=9,hd=-1,OL=8,OR=10
HB:t=3400,m=S,run=1,el=41,er=42,yaw=1.0,yr=1.1,pc=10,hd=-1,OL=9,OR=11
HB:t=3440,m=S,run=1,el=11,er=11,yaw=0.7,yr=-1.3,pc=10,hd=-1,OL=9,OR=11
HB:t=3440,m=S,run=1,el=30,er=32,yaw=0.7,yr=-1.3,pc=10,hd=0,OL=10,OR=10
HB:t=3563,m=S,run=1,el=116,er=121,yaw=0.5,yr=-1.4,pc=9,hd=0,OL=9,OR=9
HB:t=3567,m=S,run=1,el=0,er=1,yaw=0.5,yr=-1.4,pc=11,hd=0,OL=11,OR=11
HB:t=3617,m=S,run=1,el=48,er=49,yaw=0.3,yr=-2.2,pc=11,hd=0,OL=11,OR=11
HB:t=3657,m=S,run=1,el=11,er=12,yaw=0.1,yr=-3.2,pc=11,hd=0,OL=11,OR=11
HB:t=3657,m=S,run=1,el=28,er=27,yaw=0.1,yr=-3.2,pc=10,hd=0,OL=10,OR=10
HB:t=3780,m=S,run=1,el=125,er=123,yaw=0.1,yr=-2.9,pc=9,hd=0,OL=9,OR=9
HB:t=3784,m=S,run=1,el=4,er=3,yaw=0.1,yr=-2.9,pc=10,hd=0,OL=10,OR=10
HB:t=3835,m=S,run=1,el=48,er=46,yaw=0.0,yr=-2.7,pc=10,hd=0,OL=10,OR=10
HB:t=3875,m=S,run=1,el=12,er=11,yaw=-0.0,yr=-2.7,pc=10,hd=0,OL=10,OR=10
HB:t=3875,m=S,run=1,el=25,er=25,yaw=-0.0,yr=-2.7,pc=10,hd=0,OL=10,OR=10
HB:t=3999,m=S,run=1,el=123,er=125,yaw=-0.0,yr=-2.3,pc=9,hd=0,OL=9,OR=9
HB:t=4002,m=S,run=1,el=19,er=20,yaw=-0.0,yr=-2.3,pc=9,hd=0,OL=9,OR=9
HB:t=4053,m=S,run=1,el=46,er=45,yaw=-0.0,yr=-2.0,pc=10,hd=0,OL=10,OR=10
HB:t=4094,m=S,run=1,el=12,er=11,yaw=0.1,yr=-1.2,pc=11,hd=0,OL=11,OR=11
HB:t=4094,m=S,run=1,el=36,er=36,yaw=0.1,yr=-1.2,pc=11,hd=0,OL=11,OR=11
HB:t=4217,m=S,run=1,el=133,er=130,yaw=0.1,yr=-1.0,pc=9,hd=0,OL=9,OR=9
HB:t=4220,m=S,run=1,el=20,er=21,yaw=0.1,yr=-1.0,pc=9,hd=0,OL=9,OR=9
HB:t=4271,m=S,run=1,el=46,er=46,yaw=0.1,yr=-0.9,pc=10,hd=0,OL=10,OR=10
HB:t=4310,m=S,run=1,el=12,er=12,yaw=0.2,yr=-0.0,pc=11,hd=0,OL=11,OR=11
HB:t=4310,m=S,run=1,el=32,er=33,yaw=0.2,yr=-0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4433,m=S,run=1,el=126,er=125,yaw=0.2,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=4437,m=S,run=1,el=1,er=1,yaw=0.2,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=4487,m=S,run=1,el=52,er=50,yaw=0.2,yr=0.2,pc=11,hd=0,OL=11,OR=11
HB:t=4522,m=S,run=1,el=12,er=12,yaw=0.3,yr=0.9,pc=10,hd=0,OL=10,OR=10
HB:t=4645,m=S,run=1,el=124,er=120,yaw=0.4,yr=0.9,pc=9,hd=0,OL=9,OR=9
HB:t=4649,m=S,run=1,el=19,er=18,yaw=0.4,yr=0.9,pc=9,hd=0,OL=9,OR=9
HB:t=4699,m=S,run=1,el=40,er=40,yaw=0.5,yr=1.2,pc=10,hd=0,OL=10,OR=10
HB:t=4739,m=S,run=1,el=11,er=11,yaw=0.7,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=4739,m=S,run=1,el=29,er=27,yaw=0.7,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=4862,m=S,run=1,el=120,er=120,yaw=0.7,yr=2.2,pc=9,hd=-1,OL=8,OR=10
HB:t=4866,m=S,run=1,el=1,er=1,yaw=0.7,yr=2.2,pc=11,hd=0,OL=11,OR=11
HB:t=4916,m=S,run=1,el=51,er=49,yaw=0.8,yr=2.0,pc=11,hd=0,OL=11,OR=11
HB:t=4956,m=S,run=1,el=13,er=11,yaw=0.8,yr=2.2,pc=10,hd=-1,OL=9,OR=11
HB:t=4956,m=S,run=1,el=25,er=27,yaw=0.8,yr=2.2,pc=10,hd=-1,OL=9,OR=11
HB:t=5080,m=S,run=1,el=114,er=124,yaw=0.8,yr=1.9,pc=9,hd=-1,OL=8,OR=10
HB:t=5083,m=S,run=1,el=17,er=20,yaw=0.8,yr=1.9,pc=9,hd=-1,OL=8,OR=10
HB:t=5134,m=S,run=1,el=45,er=48,yaw=0.6,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=5174,m=S,run=1,el=11,er=12,yaw=-0.1,yr=-4.7,pc=10,hd=0,OL=10,OR=10
HB:t=5174,m=S,run=1,el=23,er=24,yaw=-0.1,yr=-4.7,pc=10,hd=0,OL=10,OR=10
HB:t=5298,m=S,run=1,el=117,er=121,yaw=-0.3,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=5301,m=S,run=1,el=18,er=18,yaw=-0.3,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=5352,m=S,run=1,el=40,er=42,yaw=-0.3,yr=-4.3,pc=10,hd=0,OL=10,OR=10
HB:t=5393,m=S,run=1,el=11,er=11,yaw=-0.7,yr=-5.8,pc=11,hd=0,OL=11,OR=11
HB:t=5393,m=S,run=1,el=32,er=33,yaw=-0.7,yr=-5.8,pc=11,hd=0,OL=11,OR=11
HB:t=5516,m=S,run=1,el=121,er=127,yaw=-0.9,yr=-5.3,pc=9,hd=1,OL=10,OR=8
HB:t=5519,m=S,run=1,el=20,er=19,yaw=-0.9,yr=-5.3,pc=10,hd=0,OL=10,OR=10
HB:t=5570,m=S,run=1,el=40,er=42,yaw=-1.0,yr=-5.4,pc=10,hd=0,OL=10,OR=10
HB:t=5610,m=S,run=1,el=11,er=11,yaw=-1.3,yr=-6.9,pc=10,hd=0,OL=10,OR=10
HB:t=5610,m=S,run=1,el=31,er=30,yaw=-1.3,yr=-6.9,pc=10,hd=1,OL=11,OR=9
HB:t=5733,m=S,run=1,el=123,er=116,yaw=-1.4,yr=-6.1,pc=9,hd=1,OL=10,OR=8
HB:t=5737,m=S,run=1,el=19,er=17,yaw=-1.4,yr=-6.1,pc=9,hd=1,OL=10,OR=8
HB:t=5787,m=S,run=1,el=50,er=48,yaw=-1.4,yr=-5.4,pc=10,hd=1,OL=11,OR=9
HB:t=5822,m=S,run=1,el=12,er=12,yaw=-1.1,yr=-2.2,pc=10,hd=1,OL=11,OR=9
HB:t=5945,m=S,run=1,el=113,er=111,yaw=-1.0,yr=-1.7,pc=9,hd=1,OL=10,OR=8
HB:t=5949,m=S,run=1,el=19,er=16,yaw=-1.0,yr=-1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5999,m=S,run=1,el=40,er=39,yaw=-0.8,yr=-0.4,pc=10,hd=0,OL=10,OR=10
HB:t=6039,m=S,run=1,el=11,er=11,yaw=-0.6,yr=1.2,pc=10,hd=0,OL=10,OR=10
HB:t=6039,m=S,run=1,el=28,er=28,yaw=-0.6,yr=1.2,pc=10,hd=0,OL=10,OR=10
HB:t=6162,m=S,run=1,el=121,er=115,yaw=-0.2,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=6166,m=S,run=1,el=2,er=2,yaw=-0.2,yr=1.6,pc=10,hd=0,OL=10,OR=10
HB:t=6216,m=S,run=1,el=47,er=45,yaw=-0.1,yr=1.9,pc=10,hd=0,OL=10,OR=10
HB:t=6256,m=S,run=1,el=11,er=11,yaw=0.3,yr=4.7,pc=10,hd=0,OL=10,OR=10
HB:t=6256,m=S,run=1,el=25,er=24,yaw=0.3,yr=4.7,pc=10,hd=0,OL=10,OR=10
HB:t=6379,m=S,run=1,el=114,er=113,yaw=0.5,yr=4.2,pc=9,hd=0,OL=9,OR=9
HB:t=6383,m=S,run=1,el=17,er=17,yaw=0.5,yr=4.2,pc=10,hd=0,OL=10,OR=10
HB:t=6433,m=S,run=1,el=42,er=41,yaw=0.6,yr=4.3,pc=10,hd=0,OL=10,OR=10
HB:t=6474,m=S,run=1,el=11,er=10,yaw=0.7,yr=4.7,pc=11,hd=0,OL=11,OR=11
HB:t=6474,m=S,run=1,el=34,er=34,yaw=0.7,yr=4.7,pc=11,hd=0,OL=11,OR=11
HB:t=6597,m=S,run=1,el=128,er=122,yaw=0.8,yr=4.1,pc=9,hd=-1,OL=8,OR=10
HB:t=6600,m=S,run=1,el=19,er=19,yaw=0.8,yr=4.1,pc=10,hd=0,OL=10,OR=10
HB:t=6651,m=S,run=1,el=45,er=42,yaw=0.9,yr=3.9,pc=10,hd=0,OL=10,OR=10
HB:t=6691,m=S,run=1,el=12,er=11,yaw=1.1,yr=5.0,pc=10,hd=0,OL=10,OR=10
HB:t=6691,m=S,run=1,el=32,er=30,yaw=1.1,yr=5.0,pc=10,hd=-1,OL=9,OR=11
HB:t=6814,m=S,run=1,el=119,er=122,yaw=1.2,yr=4.5,pc=9,hd=-1,OL=8,OR=10
HB:t=6817,m=S,run=1,el=18,er=18,yaw=1.2,yr=4.5,pc=9,hd=-1,OL=8,OR=10
HB:t=6868,m=S,run=1,el=37,er=38,yaw=1.4,yr=4.7,pc=10,hd=-1,OL=9,OR=11
HB:t=6904,m=S,run=1,el=11,er=11,yaw=1.4,yr=4.0,pc=10,hd=-1,OL=9,OR=11
HB:t=7027,m=S,run=1,el=113,er=118,yaw=1.3,yr=3.3,pc=9,hd=-1,OL=8,OR=10
HB:t=7030,m=S,run=1,el=17,er=18,yaw=1.3,yr=3.3,pc=9,hd=-1,OL=8,OR=10
HB:t=7081,m=S,run=1,el=40,er=41,yaw=1.2,yr=2.1,pc=10,hd=-1,OL=9,OR=11
HB:t=7121,m=S,run=1,el=11,er=11,yaw=0.8,yr=-0.9,pc=10,hd=-1,OL=9,OR=11
HB:t=7121,m=S,run=1,el=29,er=30,yaw=0.8,yr=-0.9,pc=10,hd=-1,OL=9,OR=11
HB:t=7244,m=S,run=1,el=108,er=118,yaw=0.5,yr=-1.1,pc=9,hd=0,OL=9,OR=9
HB:t=7247,m=S,run=1,el=16,er=17,yaw=0.5,yr=-1.1,pc=10,hd=0,OL=10,OR=10
HB:t=7298,m=S,run=1,el=33,er=36,yaw=0.4,yr=-1.8,pc=10,hd=0,OL=10,OR=10
HB:t=7338,m=S,run=1,el=10,er=10,yaw=-0.1,yr=-5.2,pc=10,hd=0,OL=10,OR=10
HB:t=7338,m=S,run=1,el=24,er=27,yaw=-0.1,yr=-5.2,pc=10,hd=0,OL=10,OR=10
HB:t=7461,m=S,run=1,el=108,er=116,yaw=-0.3,yr=-4.8,pc=9,hd=0,OL=9,OR=9
HB:t=7465,m=S,run=1,el=3,er=2,yaw=-0.3,yr=-4.8,pc=10,hd=0,OL=10,OR=10
HB:t=7515,m=S,run=1,el=44,er=46,yaw=-0.5,yr=-5.4,pc=10,hd=0,OL=10,OR=10
HB:t=7555,m=S,run=1,el=11,er=11,yaw=-1.1,yr=-8.8,pc=10,hd=0,OL=10,OR=10
HB:t=7555,m=S,run=1,el=24,er=25,yaw=-1.1,yr=-8.8,pc=10,hd=0,OL=10,OR=10
HB:t=7678,m=S,run=1,el=116,er=121,yaw=-1.4,yr=-8.0,pc=9,hd=1,OL=10,OR=8
HB:t=7682,m=S,run=1,el=17,er=18,yaw=-1.4,yr=-8.0,pc=9,hd=1,OL=10,OR=8
HB:t=7732,m=S,run=1,el=41,er=42,yaw=-1.5,yr=-7.9,pc=10,hd=1,OL=11,OR=9
HB:t=7773,m=S,run=1,el=11,er=11,yaw=-1.9,yr=-9.2,pc=11,hd=1,OL=12,OR=10
HB:t=7773,m=S,run=1,el=32,er=33,yaw=-1.9,yr=-9.2,pc=11,hd=1,OL=12,OR=10
HB:t=7896,m=S,run=1,el=126,er=125,yaw=-1.9,yr=-7.9,pc=9,hd=1,OL=10,OR=8
HB:t=7899,m=S,run=1,el=20,er=19,yaw=-1.9,yr=-7.9,pc=9,hd=1,OL=10,OR=8
HB:t=7950,m=S,run=1,el=43,er=38,yaw=-1.9,yr=-7.0,pc=10,hd=1,OL=11,OR=9
HB:t=7989,m=S,run=1,el=11,er=11,yaw=-1.9,yr=-6.2,pc=10,hd=1,OL=11,OR=9
HB:t=7989,m=S,run=1,el=30,er=29,yaw=-1.9,yr=-6.2,pc=10,hd=1,OL=11,OR=9
