t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
141,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
141,S,1,10,10,0.0,0.0,2,0,2,2,0,0.00
199,S,1,3,4,0.0,0.0,3,0,3,3,0,0.00
199,S,1,16,15,0.0,0.0,4,0,4,4,0,0.00
327,S,1,61,54,0.0,0.0,4,0,4,4,0,0.00
327,S,1,15,13,0.0,0.0,5,0,5,5,0,0.00
386,S,1,7,6,0.1,0.8,5,0,5,5,0,0.00
386,S,1,31,29,0.1,0.8,6,0,6,6,0,0.00
527,S,1,86,80,0.6,1.2,7,0,7,7,0,0.00
527,S,1,17,16,0.6,1.2,8,0,8,8,0,0.00
586,S,1,8,7,0.8,2.5,8,0,8,8,0,0.00
586,S,1,34,33,0.8,2.5,10,0,10,10,0,0.00
727,S,1,109,98,1.3,2.8,10,-1,9,11,0,0.00
727,S,1,22,21,1.3,2.8,11,-1,10,12,0,0.00
785,S,1,11,10,1.6,4.0,11,-1,10,12,0,0.00
786,S,1,49,47,1.6,4.0,11,-1,10,12,0,0.00
966,S,1,135,132,2.4,4.4,9,-1,8,10,0,0.00
966,S,1,68,71,2.4,4.4,9,-1,8,10,0,0.00
1002,S,1,11,11,2.6,5.3,10,-1,9,11,0,0.00
1120,S,1,117,120,2.6,4.6,9,-2,7,11,0,0.00
1128,S,1,1,2,2.6,4.6,11,-1,10,12,0,0.00
1174,S,1,47,49,2.6,3.8,11,-1,10,12,0,0.00
1215,S,1,11,12,2.3,1.3,11,-2,9,13,0,0.00
1215,S,1,26,27,2.3,1.3,11,-1,10,12,0,0.00
1337,S,1,127,129,2.2,0.9,9,-1,8,10,0,0.00
1341,S,1,18,19,2.2,0.9,9,-1,8,10,0,0.00
1391,S,1,46,47,2.1,0.0,10,-1,9,11,0,0.00
1431,S,1,12,12,1.9,-1.4,11,-1,10,12,0,0.00
1432,S,1,35,36,1.9,-1.4,11,-1,10,12,0,0.00
1554,S,1,124,134,1.7,-1.4,9,-1,8,10,0,0.00
1558,S,1,18,20,1.7,-1.4,10,-1,9,11,0,0.00
1608,S,1,41,42,1.6,-2.0,10,-1,9,11,0,0.00
1648,S,1,12,12,1.2,-4.8,11,-1,10,12,0,0.00
1648,S,1,33,33,1.2,-4.8,10,-1,9,11,0,0.00
1772,S,1,122,128,0.9,-4.4,9,-1,8,10,0,0.00
1775,S,1,18,19,0.9,-4.4,9,-1,8,10,0,0.00
1826,S,1,38,39,0.7,-5.2,10,-1,9,11,0,0.00
1867,S,1,11,12,0.3,-7.6,10,-1,9,11,0,0.00
1867,S,1,27,30,0.3,-7.6,10,0,10,10,0,0.00
1990,S,1,118,123,0.1,-6.8,9,0,9,9,0,0.00
1993,S,1,2,1,0.1,-6.8,11,0,11,11,0,0.00
2044,S,1,46,48,-0.1,-7.1,11,0,11,11,0,0.00
2083,S,1,11,11,-0.5,-9.0,11,0,11,11,0,0.00
2083,S,1,24,26,-0.5,-9.0,11,0,11,11,0,0.00
2206,S,1,123,125,-0.7,-8.1,9,0,9,9,0,0.00
2210,S,1,18,20,-0.7,-8.1,10,0,10,10,0,0.00
2260,S,1,43,46,-0.9,-8.0,10,0,10,10,0,0.00
2295,S,1,11,11,-1.1,-8.2,11,0,11,11,0,0.00
2418,S,1,129,127,-1.2,-7.2,9,1,10,8,0,0.00
2422,S,1,4,4,-1.2,-7.2,10,0,10,10,0,0.00
2472,S,1,47,49,-1.2,-6.4,10,0,10,10,0,0.00
2512,S,1,12,12,-1.3,-6.0,10,0,10,10,0,0.00
2512,S,1,23,25,-1.3,-6.0,10,0,10,10,0,0.00
2635,S,1,122,123,-1.3,-5.2,9,1,10,8,0,0.00
2639,S,1,18,18,-1.3,-5.2,9,0,9,9,0,0.00
2689,S,1,42,43,-1.3,-4.8,10,0,10,10,0,0.00
2729,S,1,11,11,-1.4,-4.8,11,0,11,11,0,0.00
2729,S,1,32,32,-1.4,-4.8,11,1,12,10,0,0.00
2887,S,1,132,125,-1.4,-4.2,9,1,10,8,0,0.00
2888,S,1,62,56,-1.4,-4.2,9,1,10,8,0,0.00
2923,S,1,24,22,-1.2,-1.7,10,0,10,10,0,0.00
3051,S,1,120,130,-1.2,-1.5,9,1,10,8,0,0.00
3055,S,1,0,0,-1.2,-1.5,11,0,11,11,0,0.00
3105,S,1,48,48,-1.1,-0.9,11,0,11,11,0,0.00
3146,S,1,11,11,-1.2,-1.3,11,0,11,11,0,0.00
3146,S,1,29,28,-1.2,-1.3,11,0,11,11,0,0.00
3269,S,1,128,124,-1.1,-1.0,9,1,10,8,0,0.00
3272,S,1,3,3,-1.1,-1.0,10,0,10,10,0,0.00
3323,S,1,49,49,-1.1,-0.8,10,0,10,10,0,0.00
3364,S,1,11,12,-0.9,0.6,10,0,10,10,0,0.00
3364,S,1,26,26,-0.9,0.6,10,0,10,10,0,0.00
3487,S,1,120,121,-0.8,0.6,9,0,9,9,0,0.00
3491,S,1,18,18,-0.8,0.6,9,0,9,9,0,0.00
3541,S,1,44,44,-0.8,0.6,10,0,10,10,0,0.00
3577,S,1,12,11,-0.8,0.7,11,0,11,11,0,0.00
3700,S,1,127,125,-0.8,0.6,9,0,9,9,0,0.00
3703,S,1,2,2,-0.8,0.6,11,0,11,11,0,0.00
3754,S,1,49,49,-0.8,0.4,10,0,10,10,0,0.00
3793,S,1,11,12,-0.7,0.9,10,0,10,10,0,0.00
3793,S,1,25,26,-0.7,0.9,10,0,10,10,0,0.00
3916,S,1,117,122,-0.7,0.9,9,0,9,9,0,0.00
3920,S,1,16,17,-0.7,0.9,10,0,10,10,0,0.00
3970,S,1,42,42,-0.7,0.9,10,0,10,10,0,0.00
4010,S,1,11,10,-0.9,-0.9,11,0,11,11,0,0.00
4010,S,1,32,32,-0.9,-0.9,11,0,11,11,0,0.00
4133,S,1,124,124,-1.0,-0.9,9,0,9,9,0,0.00
4137,S,1,19,19,-1.0,-0.9,10,0,10,10,0,0.00
4187,S,1,41,41,-1.0,-1.1,10,1,11,9,0,0.00
4227,S,1,11,11,-1.1,-1.3,10,1,11,9,0,0.00
4227,S,1,30,28,-1.1,-1.3,10,1,11,9,0,0.00
4350,S,1,122,115,-0.9,-0.9,9,1,10,8,0,0.00
4354,S,1,1,1,-0.9,-0.9,11,1,12,10,0,0.00
4404,S,1,50,45,-0.8,0.5,11,0,11,11,0,0.00
4445,S,1,12,11,-0.2,4.1,10,0,10,10,0,0.00
4445,S,1,28,27,-0.2,4.1,10,0,10,10,0,0.00
4568,S,1,126,120,0.1,3.9,9,0,9,9,0,0.00
4571,S,1,19,18,0.1,3.9,9,0,9,9,0,0.00
4622,S,1,45,44,0.2,4.0,10,0,10,10,0,0.00
4679,S,1,11,11,0.7,7.2,10,0,10,10,0,0.00
4679,S,1,42,40,0.7,7.2,10,0,10,10,0,0.00
4797,S,1,120,115,0.8,6.3,9,-1,8,10,0,0.00
