HB:t=140,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=141,m=S,run=1,el=10,er=12,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=203,m=S,run=1,el=13,er=13,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=331,m=S,run=1,el=36,er=35,yaw=0.1,yr=0.1,pc=4,hd=0,OL=4,OR=4
HB:t=331,m=S,run=1,el=9,er=8,yaw=0.1,yr=0.1,pc=5,hd=0,OL=5,OR=5
HB:t=406,m=S,run=1,el=4,er=4,yaw=0.2,yr=1.2,pc=5,hd=0,OL=5,OR=5
HB:t=406,m=S,run=1,el=28,er=25,yaw=0.2,yr=1.2,pc=7,hd=0,OL=7,OR=7
HB:t=524,m=S,run=1,el=52,er=43,yaw=0.4,yr=1.2,pc=7,hd=0,OL=7,OR=7
HB:t=533,m=S,run=1,el=0,er=0,yaw=0.4,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=578,m=S,run=1,el=25,er=22,yaw=0.4,yr=1.4,pc=10,hd=0,OL=10,OR=10
HB:t=617,m=S,run=1,el=8,er=7,yaw=0.9,yr=4.6,pc=10,hd=0,OL=10,OR=10
HB:t=617,m=S,run=1,el=20,er=19,yaw=0.9,yr=4.6,pc=11,hd=0,OL=11,OR=11
HB:t=740,m=S,run=1,el=110,er=104,yaw=1.0,yr=4.1,pc=10,hd=-1,OL=9,OR=11
HB:t=744,m=S,run=1,el=19,er=19,yaw=1.0,yr=4.1,pc=11,hd=-1,OL=10,OR=12
HB:t=794,m=S,run=1,el=47,er=46,yaw=1.1,yr=3.7,pc=11,hd=-1,OL=10,OR=12
HB:t=829,m=S,run=1,el=11,er=12,yaw=1.5,yr=6.3,pc=11,hd=-1,OL=10,OR=12
HB:t=952,m=S,run=1,el=134,er=137,yaw=1.5,yr=5.5,pc=9,hd=-1,OL=8,OR=10
HB:t=956,m=S,run=1,el=3,er=3,yaw=1.5,yr=5.5,pc=10,hd=-1,OL=9,OR=11
HB:t=1006,m=S,run=1,el=49,er=51,yaw=1.6,yr=5.3,pc=10,hd=-1,OL=9,OR=11
HB:t=1046,m=S,run=1,el=12,er=12,yaw=1.5,yr=3.7,pc=10,hd=-1,OL=9,OR=11
HB:t=1046,m=S,run=1,el=26,er=27,yaw=1.5,yr=3.7,pc=10,hd=-1,OL=9,OR=11
HB:t=1169,m=S,run=1,el=126,er=128,yaw=1.4,yr=3.0,pc=9,hd=-1,OL=8,OR=10
HB:t=1173,m=S,run=1,el=18,er=18,yaw=1.4,yr=3.0,pc=9,hd=-1,OL=8,OR=10
HB:t=1223,m=S,run=1,el=43,er=44,yaw=1.3,yr=1.8,pc=10,hd=-1,OL=9,OR=11
HB:t=1263,m=S,run=1,el=11,er=12,yaw=1.1,yr=0.4,pc=11,hd=-1,OL=10,OR=12
HB:t=1263,m=S,run=1,el=32,er=34,yaw=1.1,yr=0.4,pc=11,hd=-1,OL=10,OR=12
HB:t=1386,m=S,run=1,el=123,er=128,yaw=1.0,yr=0.2,pc=9,hd=-1,OL=8,OR=10
HB:t=1390,m=S,run=1,el=20,er=20,yaw=1.0,yr=0.2,pc=10,hd=-1,OL=9,OR=11
HB:t=1440,m=S,run=1,el=40,er=43,yaw=0.9,yr=-0.4,pc=10,hd=-1,OL=9,OR=11
HB:t=1481,m=S,run=1,el=11,er=12,yaw=0.5,yr=-3.4,pc=10,hd=-1,OL=9,OR=11
HB:t=1481,m=S,run=1,el=30,er=32,yaw=0.5,yr=-3.4,pc=10,hd=0,OL=10,OR=10
HB:t=1604,m=S,run=1,el=126,er=127,yaw=0.2,yr=-3.3,pc=9,hd=0,OL=9,OR=9
HB:t=1607,m=S,run=1,el=0,er=1,yaw=0.2,yr=-3.3,pc=11,hd=0,OL=11,OR=11
HB:t=1658,m=S,run=1,el=52,er=54,yaw=-0.0,yr=-4.3,pc=11,hd=0,OL=11,OR=11
HB:t=1697,m=S,run=1,el=12,er=12,yaw=-0.2,yr=-5.1,pc=10,hd=0,OL=10,OR=10
HB:t=1697,m=S,run=1,el=29,er=29,yaw=-0.2,yr=-5.1,pc=10,hd=0,OL=10,OR=10
HB:t=1820,m=S,run=1,el=129,er=130,yaw=-0.3,yr=-4.5,pc=9,hd=0,OL=9,OR=9
HB:t=1824,m=S,run=1,el=19,er=20,yaw=-0.3,yr=-4.5,pc=9,hd=0,OL=9,OR=9
HB:t=1874,m=S,run=1,el=45,er=47,yaw=-0.3,yr=-4.1,pc=10,hd=0,OL=10,OR=10
HB:t=1909,m=S,run=1,el=11,er=12,yaw=-0.5,yr=-4.9,pc=11,hd=0,OL=11,OR=11
HB:t=2032,m=S,run=1,el=132,er=137,yaw=-0.6,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=2036,m=S,run=1,el=3,er=3,yaw=-0.6,yr=-4.3,pc=10,hd=0,OL=10,OR=10
HB:t=2086,m=S,run=1,el=51,er=52,yaw=-0.7,yr=-4.3,pc=10,hd=0,OL=10,OR=10
HB:t=2126,m=S,run=1,el=12,er=12,yaw=-0.9,yr=-5.0,pc=10,hd=0,OL=10,OR=10
HB:t=2126,m=S,run=1,el=27,er=26,yaw=-0.9,yr=-5.0,pc=10,hd=0,OL=10,OR=10
HB:t=2249,m=S,run=1,el=121,er=121,yaw=-0.9,yr=-4.3,pc=9,hd=1,OL=10,OR=8
HB:t=2253,m=S,run=1,el=18,er=18,yaw=-0.9,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=2303,m=S,run=1,el=42,er=43,yaw=-0.9,yr=-3.9,pc=10,hd=0,OL=10,OR=10
HB:t=2343,m=S,run=1,el=11,er=12,yaw=-1.0,yr=-4.2,pc=11,hd=0,OL=11,OR=11
HB:t=2343,m=S,run=1,el=32,er=34,yaw=-1.0,yr=-4.2,pc=11,hd=0,OL=11,OR=11
HB:t=2466,m=S,run=1,el=132,er=134,yaw=-1.1,yr=-3.7,pc=9,hd=1,OL=10,OR=8
HB:t=2470,m=S,run=1,el=21,er=21,yaw=-1.1,yr=-3.7,pc=9,hd=0,OL=9,OR=9
HB:t=2520,m=S,run=1,el=45,er=43,yaw=-1.2,yr=-3.9,pc=10,hd=1,OL=11,OR=9
HB:t=2560,m=S,run=1,el=13,er=12,yaw=-1.5,yr=-4.9,pc=10,hd=1,OL=11,OR=9
HB:t=2561,m=S,run=1,el=33,er=32,yaw=-1.5,yr=-4.9,pc=10,hd=1,OL=11,OR=9
HB:t=2684,m=S,run=1,el=132,er=123,yaw=-1.5,yr=-4.3,pc=9,hd=1,OL=10,OR=8
HB:t=2687,m=S,run=1,el=1,er=0,yaw=-1.5,yr=-4.3,pc=11,hd=1,OL=12,OR=10
HB:t=2738,m=S,run=1,el=53,er=51,yaw=-1.4,yr=-3.1,pc=10,hd=1,OL=11,OR=9
HB:t=2779,m=S,run=1,el=12,er=12,yaw=-1.0,yr=-0.1,pc=10,hd=1,OL=11,OR=9
HB:t=2779,m=S,run=1,el=30,er=29,yaw=-1.0,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=2902,m=S,run=1,el=127,er=132,yaw=-0.8,yr=0.2,pc=9,hd=1,OL=10,OR=8
HB:t=2905,m=S,run=1,el=2,er=2,yaw=-0.8,yr=0.2,pc=10,hd=0,OL=10,OR=10
HB:t=2956,m=S,run=1,el=49,er=47,yaw=-0.7,yr=1.0,pc=10,hd=0,OL=10,OR=10
HB:t=2996,m=S,run=1,el=11,er=11,yaw=-0.5,yr=2.2,pc=10,hd=0,OL=10,OR=10
HB:t=2996,m=S,run=1,el=26,er=25,yaw=-0.5,yr=2.2,pc=10,hd=0,OL=10,OR=10
HB:t=3119,m=S,run=1,el=122,er=118,yaw=-0.4,yr=2.1,pc=9,hd=0,OL=9,OR=9
HB:t=3123,m=S,run=1,el=18,er=17,yaw=-0.4,yr=2.1,pc=9,hd=0,OL=9,OR=9
HB:t=3173,m=S,run=1,el=44,er=42,yaw=-0.3,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=3208,m=S,run=1,el=11,er=11,yaw=0.0,yr=4.3,pc=11,hd=0,OL=11,OR=11
HB:t=3331,m=S,run=1,el=134,er=129,yaw=0.1,yr=3.8,pc=9,hd=0,OL=9,OR=9
HB:t=3335,m=S,run=1,el=4,er=4,yaw=0.1,yr=3.8,pc=10,hd=0,OL=10,OR=10
HB:t=3385,m=S,run=1,el=52,er=51,yaw=0.2,yr=3.6,pc=10,hd=0,OL=10,OR=10
HB:t=3425,m=S,run=1,el=12,er=13,yaw=0.3,yr=4.1,pc=10,hd=0,OL=10,OR=10
HB:t=3425,m=S,run=1,el=27,er=26,yaw=0.3,yr=4.1,pc=10,hd=0,OL=10,OR=10
HB:t=3548,m=S,run=1,el=132,er=129,yaw=0.4,yr=3.6,pc=8,hd=0,OL=8,OR=8
HB:t=3552,m=S,run=1,el=19,er=19,yaw=0.4,yr=3.6,pc=9,hd=0,OL=9,OR=9
