t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
206,S,1,29,22,0.6,0.0,2,0,2,2,0,0.00
206,S,1,58,39,0.6,0.0,3,0,3,3,0,0.00
325,S,1,79,52,1.4,1.0,4,0,4,4,0,0.00
333,S,1,4,3,1.4,1.0,4,-1,3,5,0,0.00
379,S,1,33,22,1.7,2.8,6,-1,5,7,0,0.00
415,S,1,8,6,3.5,15.2,6,-1,5,7,0,0.00
537,S,1,94,69,4.2,14.0,7,-3,4,10,0,0.00
541,S,1,3,2,4.2,14.0,8,-2,6,10,0,0.00
591,S,1,39,32,4.9,16.7,10,-3,7,13,0,0.00
631,S,1,9,8,6.6,26.2,10,-3,7,13,0,0.00
632,S,1,21,20,6.6,26.2,11,-4,7,15,0,0.00
789,S,1,107,124,7.5,23.8,10,-5,5,15,0,0.00
789,S,1,54,70,7.5,23.8,10,-4,6,14,0,0.00
825,S,1,11,15,6.8,15.5,11,-4,7,15,0,0.00
829,S,1,27,35,6.8,15.5,11,-4,7,15,0,0.00
954,S,1,119,161,6.2,12.6,9,-5,4,14,0,0.00
958,S,1,17,25,6.2,12.6,10,-4,6,14,0,0.00
1008,S,1,40,58,5.3,5.1,10,-3,7,13,0,0.00
1048,S,1,10,15,2.4,-16.4,11,-3,8,14,0,0.00
1049,S,1,30,44,2.4,-16.4,11,-2,9,13,0,0.00
1206,S,1,120,165,-0.6,-18.0,9,-1,8,10,0,0.00
1206,S,1,51,72,-0.6,-18.0,9,0,9,9,0,0.00
1241,S,1,10,14,-4.2,-40.5,10,0,10,10,0,0.00
1246,S,1,21,27,-4.2,-40.5,10,1,11,9,0,0.00
1405,S,1,111,143,-5.9,-36.9,9,4,13,5,0,0.00
1406,S,1,52,56,-5.9,-36.9,10,2,12,8,0,0.00
1441,S,1,22,21,-8.1,-47.2,11,4,15,7,0,0.00
1566,S,1,144,116,-8.3,-40.8,9,6,15,3,0,0.00
1574,S,1,6,4,-8.3,-40.8,10,4,14,6,0,0.00
1646,S,1,98,66,-6.2,-20.8,10,3,13,7,0,0.00
1767,S,1,166,107,-4.5,-15.7,9,4,13,5,0,0.00
1775,S,1,5,3,-4.5,-15.7,10,2,12,8,0,0.00
1837,S,1,83,54,-0.9,11.7,10,0,10,10,0,0.00
1966,S,1,155,112,1.3,12.7,9,0,9,9,0,0.00
1974,S,1,5,4,1.3,12.7,10,-1,9,11,0,0.00
2046,S,1,81,66,4.9,36.1,10,-3,7,13,0,0.00
2167,S,1,121,126,6.7,33.4,9,-5,4,14,0,0.00
2175,S,1,4,5,6.7,33.4,10,-4,6,14,0,0.00
2221,S,1,42,53,6.9,30.4,11,-4,7,15,0,0.00
2257,S,1,10,14,6.5,23.4,10,-4,6,14,0,0.00
2414,S,1,111,157,5.2,18.4,9,-5,4,14,0,0.00
2414,S,1,54,77,5.2,18.4,9,-3,6,12,0,0.00
2450,S,1,10,14,2.3,-4.5,10,-3,7,13,0,0.00
2454,S,1,0,0,2.3,-4.5,12,-2,10,14,0,0.00
2579,S,1,127,170,1.2,-5.2,9,-1,8,10,0,0.00
2583,S,1,1,2,1.2,-5.2,11,-1,10,12,0,0.00
2633,S,1,45,63,0.2,-12.0,11,-1,10,12,0,0.00
2674,S,1,11,14,-3.0,-32.3,11,-1,10,12,0,0.00
2674,S,1,24,35,-3.0,-32.3,11,1,12,10,0,0.00
2797,S,1,119,141,-4.5,-29.8,9,3,12,6,0,0.00
2801,S,1,4,4,-4.5,-29.8,10,2,12,8,0,0.00
2851,S,1,45,49,-5.5,-32.7,11,2,13,9,0,0.00
2891,S,1,12,12,-7.7,-43.1,11,3,14,8,0,0.00
2892,S,1,25,23,-7.7,-43.1,11,3,14,8,0,0.00
3014,S,1,140,116,-8.2,-37.7,9,6,15,3,0,0.00
3018,S,1,23,17,-8.2,-37.7,10,4,14,6,0,0.00
3069,S,1,53,40,-8.1,-32.1,10,4,14,6,0,0.00
3108,S,1,14,10,-6.4,-15.8,11,4,15,7,0,0.00
3108,S,1,39,29,-6.4,-15.8,11,3,14,8,0,0.00
3232,S,1,158,107,-5.2,-12.0,9,4,13,5,0,0.00
3235,S,1,25,16,-5.2,-12.0,10,3,13,7,0,0.00
3286,S,1,54,35,-4.3,-3.7,10,2,12,8,0,0.00
3326,S,1,15,9,-0.7,21.9,11,2,13,9,0,0.00
3327,S,1,39,27,-0.7,21.9,10,0,10,10,0,0.00
3450,S,1,145,103,1.3,21.4,9,-1,8,10,0,0.00
3453,S,1,0,0,1.3,21.4,11,-1,10,12,0,0.00
3504,S,1,55,43,2.7,27.7,11,-1,10,12,0,0.00
3545,S,1,13,11,5.6,44.5,11,-2,9,13,0,0.00
3545,S,1,30,24,5.6,44.5,11,-3,8,14,0,0.00
3668,S,1,119,127,6.6,39.6,10,-5,5,15,0,0.00
3672,S,1,3,3,6.6,39.6,11,-3,8,14,0,0.00
3743,S,1,69,86,7.0,36.3,10,-4,6,14,0,0.00
3862,S,1,115,157,6.0,30.0,9,-6,3,15,0,0.00
3871,S,1,8,12,6.0,30.0,10,-3,7,13,0,0.00
3916,S,1,36,53,5.6,22.9,10,-3,7,13,0,0.00
3952,S,1,10,15,2.7,-0.6,10,-3,7,13,0,0.00
4074,S,1,103,156,1.5,-2.1,9,-2,7,11,0,0.00
4078,S,1,15,22,1.5,-2.1,9,-1,8,10,0,0.00
4128,S,1,35,50,0.2,-10.7,10,-1,9,11,0,0.00
4168,S,1,9,13,-3.3,-33.8,11,0,11,11,0,0.00
4169,S,1,28,35,-3.3,-33.8,11,1,12,10,0,0.00
4326,S,1,116,135,-5.6,-32.2,9,3,12,6,0,0.00
4327,S,1,60,57,-5.6,-32.2,10,3,13,7,0,0.00
4362,S,1,25,21,-6.8,-35.9,11,3,14,8,0,0.00
4524,S,1,147,122,-7.0,-31.1,9,5,14,4,0,0.00
4525,S,1,71,53,-7.0,-31.1,9,3,12,6,0,0.00
4560,S,1,28,20,-5.2,-14.5,10,3,13,7,0,0.00
4685,S,1,168,116,-4.4,-11.5,9,3,12,6,0,0.00
4693,S,1,8,5,-4.4,-11.5,10,2,12,8,0,0.00
4765,S,1,96,64,-0.8,15.3,10,0,10,10,0,0.00
4885,S,1,144,113,1.7,16.4,9,0,9,9,0,0.00
4894,S,1,6,5,1.7,16.4,10,-1,9,11,0,0.00
4955,S,1,66,56,4.7,35.0,10,-2,8,12,0,0.00
5085,S,1,133,127,5.4,30.9,9,-5,4,14,0,0.00
5093,S,1,6,5,5.4,30.9,10,-3,7,13,0,0.00
5144,S,1,51,52,5.6,28.4,10,-3,7,13,0,0.00
5185,S,1,12,12,6.7,31.9,11,-3,8,14,0,0.00
5185,S,1,27,31,6.7,31.9,11,-4,7,15,0,0.00
5308,S,1,117,143,6.6,27.3,9,-5,4,14,0,0.00
5312,S,1,2,3,6.6,27.3,10,-4,6,14,0,0.00
5362,S,1,44,58,6.3,21.7,10,-4,6,14,0,0.00
5401,S,1,11,14,4.5,5.6,10,-4,6,14,0,0.00
5401,S,1,22,30,4.5,5.6,10,-3,7,13,0,0.00
5559,S,1,112,154,2.2,1.8,9,-3,6,12,0,0.00
5559,S,1,53,72,2.2,1.8,9,-2,7,11,0,0.00
5590,S,1,11,15,-0.9,-19.6,10,-2,8,12,0,0.00
5599,S,1,1,2,-0.9,-19.6,11,0,11,11,0,0.00
5723,S,1,115,142,-1.4,-17.5,9,1,10,8,0,0.00
5727,S,1,17,21,-1.4,-17.5,10,0,10,10,0,0.00
5803,S,1,63,78,-4.7,-38.2,10,2,12,8,0,0.00
5921,S,1,114,118,-5.6,-34.1,9,4,13,5,0,0.00
5929,S,1,13,13,-5.6,-34.1,10,2,12,8,0,0.00
5975,S,1,41,36,-5.9,-31.2,10,3,13,7,0,0.00
6011,S,1,13,10,-6.5,-31.2,11,3,14,8,0,0.00
6133,S,1,144,109,-6.2,-26.5,9,5,14,4,0,0.00
6137,S,1,23,16,-6.2,-26.5,9,3,12,6,0,0.00
6187,S,1,52,36,-5.7,-19.5,10,3,13,7,0,0.00
6227,S,1,14,10,-3.3,0.7,10,3,13,7,0,0.00
6227,S,1,39,26,-3.3,0.7,10,2,12,8,0,0.00
6351,S,1,148,107,-1.7,2.6,9,2,11,7,0,0.00
6354,S,1,23,16,-1.7,2.6,9,1,10,8,0,0.00
6405,S,1,47,36,-0.7,9.4,10,0,10,10,0,0.00
6445,S,1,13,10,2.2,28.9,10,0,10,10,0,0.00
6445,S,1,32,25,2.2,28.9,10,-1,9,11,0,0.00
6569,S,1,128,106,3.6,26.6,9,-3,6,12,0,0.00
6572,S,1,2,1,3.6,26.6,11,-2,9,13,0,0.00
6623,S,1,47,46,4.4,28.5,11,-2,9,13,0,0.00
6664,S,1,11,11,5.9,34.8,11,-3,8,14,0,0.00
6664,S,1,25,28,5.9,34.8,11,-3,8,14,0,0.00
6787,S,1,112,142,6.1,30.2,9,-5,4,14,0,0.00
6791,S,1,4,4,6.1,30.2,10,-3,7,13,0,0.00
6841,S,1,43,56,5.9,25.2,10,-3,7,13,0,0.00
6881,S,1,11,13,4.1,9.0,10,-4,6,14,0,0.00
6882,S,1,22,29,4.1,9.0,10,-2,8,12,0,0.00
7004,S,1,111,138,3.0,6.3,9,-3,6,12,0,0.00
7008,S,1,16,20,3.0,6.3,10,-2,8,12,0,0.00
7058,S,1,39,45,2.3,0.2,10,-2,8,12,0,0.00
7093,S,1,10,12,0.4,-12.8,11,-2,9,13,0,0.00
7216,S,1,111,136,-0.2,-11.7,9,0,9,9,0,0.00
7220,S,1,17,20,-0.2,-11.7,10,0,10,10,0,0.00
7291,S,1,63,75,-2.5,-26.1,10,1,11,9,0,0.00
7410,S,1,113,124,-3.3,-23.5,9,2,11,7,0,0.00
7419,S,1,0,1,-3.3,-23.5,11,1,12,10,0,0.00
7464,S,1,48,51,-3.5,-21.9,11,1,12,10,0,0.00
7505,S,1,11,12,-4.4,-24.9,11,2,13,9,0,0.00
7505,S,1,29,27,-4.4,-24.9,11,2,13,9,0,0.00
7628,S,1,128,119,-4.5,-21.5,9,3,12,6,0,0.00
7632,S,1,3,2,-4.5,-21.5,11,2,13,9,0,0.00
7703,S,1,77,65,-4.0,-15.3,10,2,12,8,0,0.00
7823,S,1,132,110,-3.6,-12.6,9,3,12,6,0,0.00
7831,S,1,9,7,-3.6,-12.6,10,2,12,8,0,0.00
7877,S,1,46,36,-3.4,-9.6,10,2,12,8,0,0.00
7912,S,1,13,9,-1.8,2.7,11,2,13,9,0,0.00
8035,S,1,140,107,-1.1,3.3,9,1,10,8,0,0.00
8039,S,1,21,16,-1.1,3.3,10,1,11,9,0,0.00
8110,S,1,75,57,2.0,24.5,10,-1,9,11,0,0.00
8229,S,1,132,112,3.1,22.5,10,-2,8,12,0,0.00
8238,S,1,2,2,3.1,22.5,11,-2,9,13,0,0.00
8283,S,1,50,50,3.5,22.0,11,-2,9,13,0,0.00
8324,S,1,12,12,4.9,28.8,10,-2,8,12,0,0.00
8324,S,1,27,28,4.9,28.8,10,-3,7,13,0,0.00
8447,S,1,116,131,5.1,25.0,9,-4,5,13,0,0.00
8451,S,1,4,4,5.1,25.0,10,-3,7,13,0,0.00
8522,S,1,64,76,4.0,14.0,10,-2,8,12,0,0.00
8676,S,1,106,134,2.9,10.6,9,-3,6,12,0,0.00
8677,S,1,45,58,2.9,10.6,9,-2,7,11,0,0.00
8707,S,1,16,20,1.1,-3.8,10,-1,9,11,0,0.00
8885,S,1,114,140,0.1,-4.4,9,-1,8,10,0,0.00
8885,S,1,56,68,0.1,-4.4,10,0,10,10,0,0.00
8921,S,1,10,12,-1.9,-17.6,10,0,10,10,0,0.00
9046,S,1,110,117,-2.4,-15.9,9,2,11,7,0,0.00
9050,S,1,17,18,-2.4,-15.9,10,1,11,9,0,0.00
9121,S,1,64,65,-3.3,-20.2,10,1,11,9,0,0.00
9242,S,1,120,121,-3.4,-17.5,9,3,12,6,0,0.00
9250,S,1,14,13,-3.4,-17.5,10,1,11,9,0,0.00
9296,S,1,42,36,-3.5,-15.4,10,2,12,8,0,0.00
9332,S,1,11,10,-3.7,-14.8,10,2,12,8,0,0.00
9454,S,1,128,118,-3.6,-12.6,9,3,12,6,0,0.00
9458,S,1,19,17,-3.6,-12.6,10,2,12,8,0,0.00
9528,S,1,70,58,-2.4,-2.5,10,1,11,9,0,0.00
9649,S,1,133,116,-1.8,-1.3,9,1,10,8,0,0.00
9658,S,1,1,1,-1.8,-1.3,11,1,12,10,0,0.00
9703,S,1,56,47,-1.6,0.5,10,1,11,9,0,0.00
9743,S,1,13,11,-0.3,9.5,10,1,11,9,0,0.00
9744,S,1,30,25,-0.3,9.5,10,0,10,10,0,0.00
9866,S,1,130,116,0.4,9.1,9,0,9,9,0,0.00
9870,S,1,20,16,0.4,9.1,10,0,10,10,0,0.00
9941,S,1,70,61,2.1,19.2,10,-1,9,11,0,0.00
10096,S,1,123,114,2.8,17.4,9,-2,7,11,0,0.00
10097,S,1,48,49,2.8,17.4,9,-1,8,10,0,0.00
10143,S,1,33,37,3.3,18.6,10,-2,8,12,0,0.00
10262,S,1,110,130,3.3,16.0,9,-3,6,12,0,0.00
10270,S,1,11,15,3.3,16.0,10,-2,8,12,0,0.00
10316,S,1,34,45,3.2,13.0,10,-2,8,12,0,0.00
10351,S,1,9,12,1.4,-1.5,11,-2,9,13,0,0.00
10474,S,1,113,138,0.7,-2.2,9,-1,8,10,0,0.00
10478,S,1,17,21,0.7,-2.2,9,-1,8,10,0,0.00
10549,S,1,60,73,-1.7,-18.7,10,1,11,9,0,0.00
10702,S,1,121,129,-2.7,-17.4,9,2,11,7,0,0.00
10703,S,1,55,52,-2.7,-17.4,10,1,11,9,0,0.00
10738,S,1,12,11,-3.4,-19.8,10,1,11,9,0,0.00
10742,S,1,2,3,-3.4,-19.8,11,2,13,9,0,0.00
10868,S,1,135,122,-3.6,-17.2,9,3,12,6,0,0.00
10877,S,1,3,2,-3.6,-17.2,10,2,12,8,0,0.00
10926,S,1,61,47,-3.6,-15.1,10,2,12,8,0,0.00
10966,S,1,13,11,-2.7,-6.4,10,2,12,8,0,0.00
10966,S,1,33,27,-2.7,-6.4,10,1,11,9,0,0.00
11089,S,1,133,118,-2.0,-4.7,9,2,11,7,0,0.00
11093,S,1,2,1,-2.0,-4.7,11,1,12,10,0,0.00
11143,S,1,55,45,-1.4,0.4,11,1,12,10,0,0.00
11183,S,1,14,11,0.1,10.8,10,1,11,9,0,0.00
11184,S,1,30,26,0.1,10.8,10,0,10,10,0,0.00
11307,S,1,133,116,0.8,10.3,9,-1,8,10,0,0.00
11310,S,1,20,18,0.8,10.3,9,0,9,9,0,0.00
11361,S,1,49,43,1.3,12.3,10,-1,9,11,0,0.00
11402,S,1,11,11,2.5,18.5,10,-1,9,11,0,0.00
11402,S,1,25,23,2.5,18.5,10,-1,9,11,0,0.00
11559,S,1,120,113,3.3,16.9,9,-2,7,11,0,0.00
11560,S,1,55,55,3.3,16.9,10,-2,8,12,0,0.00
11595,S,1,11,11,3.9,18.9,11,-2,9,13,0,0.00
11599,S,1,27,27,3.9,18.9,11,-2,9,13,0,0.00
11719,S,1,126,132,4.0,16.4,9,-3,6,12,0,0.00
11728,S,1,1,2,4.0,16.4,11,-2,9,13,0,0.00
11794,S,1,69,78,3.4,9.8,10,-2,8,12,0,0.00
11919,S,1,115,129,3.1,8.2,9,-3,6,12,0,0.00
11927,S,1,1,1,3.1,8.2,11,-2,9,13,0,0.00
11994,S,1,71,80,1.7,-2.8,10,-1,9,11,0,0.00
12119,S,1,116,135,1.3,-3.0,9,-1,8,10,0,0.00
12127,S,1,1,1,1.3,-3.0,11,-1,10,12,0,0.00
12199,S,1,70,85,-0.6,-15.9,10,0,10,10,0,0.00
12320,S,1,115,132,-1.3,-14.6,9,1,10,8,0,0.00
12328,S,1,0,0,-1.3,-14.6,11,0,11,11,0,0.00
12374,S,1,49,55,-1.6,-14.3,11,1,12,10,0,0.00
12410,S,1,12,13,-2.8,-20.5,10,1,11,9,0,0.00
12567,S,1,124,121,-3.3,-18.3,9,2,11,7,0,0.00
12567,S,1,59,55,-3.3,-18.3,9,1,10,8,0,0.00
12603,S,1,11,11,-3.6,-17.6,10,2,12,8,0,0.00
12607,S,1,27,25,-3.6,-17.6,10,2,12,8,0,0.00
12766,S,1,135,115,-3.3,-14.8,9,3,12,6,0,0.00
12766,S,1,64,52,-3.3,-14.8,9,2,11,7,0,0.00
12802,S,1,13,10,-2.0,-3.8,10,2,12,8,0,0.00
12806,S,1,26,21,-2.0,-3.8,10,1,11,9,0,0.00
12931,S,1,140,118,-1.5,-2.6,9,1,10,8,0,0.00
12936,S,1,20,16,-1.5,-2.6,9,1,10,8,0,0.00
12985,S,1,43,34,-0.8,2.3,10,0,10,10,0,0.00
13040,S,1,12,10,1.8,20.3,10,0,10,10,0,0.00
13041,S,1,47,41,1.8,20.3,10,-1,9,11,0,0.00
13159,S,1,122,112,2.2,18.0,9,-2,7,11,0,0.00
13167,S,1,2,1,2.2,18.0,11,-1,10,12,0,0.00
13213,S,1,52,48,2.4,17.0,10,-1,9,11,0,0.00
13249,S,1,12,12,3.1,19.3,10,-1,9,11,0,0.00
13406,S,1,115,123,3.3,16.9,9,-3,6,12,0,0.00
13406,S,1,56,58,3.3,16.9,9,-2,7,11,0,0.00
13442,S,1,11,12,3.5,15.5,10,-2,8,12,0,0.00
13446,S,1,23,24,3.5,15.5,10,-2,8,12,0,0.00
13570,S,1,121,129,3.4,13.2,9,-3,6,12,0,0.00
13575,S,1,17,19,3.4,13.2,9,-2,7,11,0,0.00
13645,S,1,67,73,2.7,6.5,9,-2,7,11,0,0.00
13766,S,1,114,123,2.3,5.1,8,-2,6,10,0,0.00
13775,S,1,5,4,2.3,5.1,10,-2,8,12,0,0.00
13841,S,1,59,68,1.2,-3.1,10,-1,9,11,0,0.00
13966,S,1,121,132,0.8,-3.2,9,-1,8,10,0,0.00
13974,S,1,4,5,0.8,-3.2,10,-1,9,11,0,0.00
14020,S,1,41,46,0.6,-4.0,10,-1,9,11,0,0.00
14061,S,1,10,12,-0.3,-9.5,11,-1,10,12,0,0.00
14061,S,1,33,37,-0.3,-9.5,11,0,11,11,0,0.00
14184,S,1,122,133,-0.7,-8.8,9,0,9,9,0,0.00
14188,S,1,19,22,-0.7,-8.8,9,0,9,9,0,0.00
14238,S,1,42,45,-1.1,-9.9,10,0,10,10,0,0.00
