t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
185,S,1,38,35,0.0,0.0,2,0,2,2,0,0.00
185,S,1,47,41,0.0,0.0,3,0,3,3,0,0.00
326,S,1,84,70,0.3,0.4,3,0,3,3,0,0.00
326,S,1,17,14,0.3,0.4,4,0,4,4,0,0.00
405,S,1,8,7,1.8,10.4,5,0,5,5,0,0.00
405,S,1,50,42,1.8,10.4,6,-1,5,7,0,0.00
524,S,1,91,79,2.2,9.5,7,-1,6,8,0,0.00
532,S,1,1,1,2.2,9.5,8,-1,7,9,0,0.00
594,S,1,52,47,3.3,15.8,10,-2,8,12,0,0.00
722,S,1,106,104,3.6,13.9,11,-3,8,14,0,0.00
731,S,1,3,2,3.6,13.9,12,-2,10,14,0,0.00
780,S,1,54,55,3.7,12.9,11,-2,9,13,0,0.00
821,S,1,12,13,3.9,12.6,11,-2,9,13,0,0.00
821,S,1,30,33,3.9,12.6,11,-2,9,13,0,0.00
978,S,1,124,140,3.5,10.4,9,-3,6,12,0,0.00
978,S,1,54,69,3.5,10.4,10,-2,8,12,0,0.00
1014,S,1,10,14,2.4,0.7,10,-2,8,12,0,0.00
1018,S,1,1,1,2.4,0.7,12,-2,10,14,0,0.00
1138,S,1,134,163,1.8,-0.0,10,-2,8,12,0,0.00
1147,S,1,7,9,1.8,-0.0,10,-1,9,11,0,0.00
1196,S,1,48,61,1.5,-2.1,10,-1,9,11,0,0.00
1231,S,1,11,15,-1.2,-20.6,10,-1,9,11,0,0.00
1388,S,1,120,139,-2.5,-19.4,9,1,10,8,0,0.00
1389,S,1,55,58,-2.5,-19.4,10,1,11,9,0,0.00
1424,S,1,10,11,-3.8,-26.2,10,1,11,9,0,0.00
1428,S,1,1,0,-3.8,-26.2,12,2,14,10,0,0.00
1553,S,1,142,140,-4.2,-23.0,10,3,13,7,0,0.00
1557,S,1,2,1,-4.2,-23.0,11,2,13,9,0,0.00
1628,S,1,88,73,-4.0,-18.4,10,2,12,8,0,0.00
1748,S,1,152,122,-3.6,-15.4,9,3,12,6,0,0.00
1757,S,1,8,7,-3.6,-15.4,10,2,12,8,0,0.00
1823,S,1,76,61,-1.4,2.1,10,1,11,9,0,0.00
1948,S,1,145,130,-0.6,2.9,9,1,10,8,0,0.00
1956,S,1,8,7,-0.6,2.9,10,0,10,10,0,0.00
2023,S,1,76,68,1.1,14.3,10,-1,9,11,0,0.00
2148,S,1,147,137,1.7,13.1,9,-1,8,10,0,0.00
2156,S,1,8,8,1.7,13.1,10,-1,9,11,0,0.00
2223,S,1,71,71,2.8,18.6,10,-2,8,12,0,0.00
2348,S,1,137,142,3.2,16.5,9,-3,6,12,0,0.00
2356,S,1,7,8,3.2,16.5,10,-2,8,12,0,0.00
2423,S,1,65,76,2.8,11.2,10,-2,8,12,0,0.00
2548,S,1,129,151,2.2,9.0,9,-2,7,11,0,0.00
2556,S,1,7,8,2.2,9.0,10,-1,9,11,0,0.00
2602,S,1,42,48,2.0,6.1,10,-1,9,11,0,0.00
2642,S,1,12,13,0.4,-5.6,11,-1,10,12,0,0.00
2643,S,1,35,36,0.4,-5.6,11,-1,10,12,0,0.00
2766,S,1,120,145,-0.3,-5.7,9,0,9,9,0,0.00
2769,S,1,19,22,-0.3,-5.7,10,0,10,10,0,0.00
2820,S,1,40,45,-0.8,-8.8,10,0,10,10,0,0.00
2860,S,1,12,13,-2.4,-18.4,10,0,10,10,0,0.00
2860,S,1,29,33,-2.4,-18.4,10,1,11,9,0,0.00
3017,S,1,125,130,-3.6,-17.3,9,2,11,7,0,0.00
3018,S,1,60,57,-3.6,-17.3,10,2,12,8,0,0.00
3053,S,1,22,19,-4.0,-18.1,10,2,12,8,0,0.00
3177,S,1,143,125,-3.9,-15.5,10,3,13,7,0,0.00
3185,S,1,9,8,-3.9,-15.5,10,2,12,8,0,0.00
3231,S,1,49,38,-3.8,-12.4,10,2,12,8,0,0.00
3272,S,1,14,11,-2.4,-1.1,11,2,13,9,0,0.00
3272,S,1,37,31,-2.4,-1.1,11,1,12,10,0,0.00
3395,S,1,147,125,-1.5,0.3,9,1,10,8,0,0.00
3399,S,1,22,18,-1.5,0.3,9,1,10,8,0,0.00
3449,S,1,45,36,-0.8,5.4,10,0,10,10,0,0.00
3490,S,1,12,11,1.0,17.1,11,0,11,11,0,0.00
3490,S,1,33,28,1.0,17.1,11,-1,10,12,0,0.00
3613,S,1,133,125,2.0,16.0,9,-1,8,10,0,0.00
