t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
184,S,1,32,35,0.0,0.0,2,0,2,2,0,0.00
185,S,1,41,38,0.0,0.0,3,0,3,3,0,0.00
326,S,1,73,68,0.1,0.1,4,0,4,4,0,0.00
327,S,1,15,14,0.1,0.1,5,0,5,5,0,0.00
406,S,1,44,40,0.7,4.4,6,0,6,6,0,0.00
524,S,1,80,75,0.9,4.0,7,-1,6,8,0,0.00
532,S,1,1,1,0.9,4.0,8,0,8,8,0,0.00
594,S,1,46,45,1.3,6.3,10,-1,9,11,0,0.00
722,S,1,110,108,1.4,5.5,10,-1,9,11,0,0.00
730,S,1,3,3,1.4,5.5,11,-1,10,12,0,0.00
797,S,1,70,69,1.6,6.1,11,-1,10,12,0,0.00
922,S,1,139,138,1.6,5.3,9,-1,8,10,0,0.00
930,S,1,3,4,1.6,5.3,11,-1,10,12,0,0.00
997,S,1,71,77,1.4,3.3,10,-1,9,11,0,0.00
1122,S,1,131,142,1.2,2.5,9,-1,8,10,0,0.00
1130,S,1,4,4,1.2,2.5,10,-1,9,11,0,0.00
1202,S,1,76,84,0.4,-3.6,10,0,10,10,0,0.00
1323,S,1,131,133,0.1,-3.5,9,0,9,9,0,0.00
1331,S,1,3,3,0.1,-3.5,10,0,10,10,0,0.00
1377,S,1,49,49,-0.0,-3.6,11,0,11,11,0,0.00
1412,S,1,12,13,-0.3,-4.9,11,0,11,11,0,0.00
1569,S,1,131,135,-0.4,-4.3,9,0,9,9,0,0.00
1570,S,1,60,61,-0.4,-4.3,10,0,10,10,0,0.00
1605,S,1,11,11,-0.5,-4.9,10,0,10,10,0,0.00
1609,S,1,1,1,-0.5,-4.9,12,0,12,12,0,0.00
1769,S,1,143,145,-0.7,-4.5,10,0,10,10,0,0.00
1769,S,1,67,65,-0.7,-4.5,10,0,10,10,0,0.00
1805,S,1,13,13,-0.9,-5.1,10,0,10,10,0,0.00
1809,S,1,1,1,-0.9,-5.1,12,0,12,12,0,0.00
1934,S,1,145,152,-1.0,-4.4,9,1,10,8,0,0.00
1939,S,1,1,1,-1.0,-4.4,11,0,11,11,0,0.00
1988,S,1,57,57,-1.0,-3.9,11,0,11,11,0,0.00
2028,S,1,13,14,-1.2,-4.9,11,0,11,11,0,0.00
2028,S,1,30,32,-1.2,-4.9,10,1,11,9,0,0.00
2186,S,1,141,130,-1.5,-4.5,9,1,10,8,0,0.00
2186,S,1,63,58,-1.5,-4.5,9,1,10,8,0,0.00
2222,S,1,12,11,-1.4,-3.2,10,1,11,9,0,0.00
