t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,2,1,3,1,0,0.00
185,S,1,36,18,-0.0,0.0,2,1,3,1,0,0.00
186,S,1,45,25,-0.0,0.0,3,1,4,2,0,0.00
365,S,1,85,49,2.0,2.3,4,1,5,3,0,0.00
366,S,1,52,34,2.0,2.3,5,0,5,5,0,0.00
401,S,1,18,13,4.6,20.3,6,-6,0,12,0,0.00
519,S,1,49,85,5.4,18.4,7,-7,0,14,0,0.00
527,S,1,0,2,5.4,18.4,9,-6,3,15,0,0.00
594,S,1,36,68,4.2,7.6,10,-3,7,13,0,0.00
718,S,1,98,152,1.7,3.4,10,-4,6,14,0,0.00
726,S,1,3,4,1.7,3.4,11,-2,9,13,0,0.00
793,S,1,63,92,-1.9,-22.3,10,3,13,7,0,0.00
918,S,1,139,143,-4.1,-21.7,9,4,13,5,0,0.00
926,S,1,4,3,-4.1,-21.7,10,4,14,6,0,0.00
993,S,1,87,68,-5.7,-29.9,10,5,15,5,0,0.00
1118,S,1,182,120,-4.9,-24.8,8,7,15,1,0,0.00
1126,S,1,6,3,-4.9,-24.8,10,5,15,5,0,0.00
1172,S,1,72,35,-4.5,-18.3,10,3,13,7,0,0.00
1213,S,1,18,8,-0.9,9.4,10,3,13,7,0,0.00
1213,S,1,36,17,-0.9,9.4,10,-4,6,14,0,0.00
1370,S,1,145,112,5.5,16.4,9,-4,5,13,0,0.00
1370,S,1,59,60,5.5,16.4,10,-7,3,17,0,0.00
1406,S,1,11,13,8.1,32.9,11,-7,4,18,0,0.00
1410,S,1,28,33,8.1,32.9,11,-10,1,21,0,0.00
1534,S,1,118,194,8.1,28.2,9,-12,0,21,0,0.00
1539,S,1,15,35,8.1,28.2,9,-10,0,19,0,0.00
1588,S,1,20,80,7.6,20.7,10,-6,4,16,0,0.00
1628,S,1,6,21,4.0,-7.4,10,-7,3,17,0,0.00
1628,S,1,20,58,4.0,-7.4,10,1,11,9,0,0.00
