t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
164,S,1,21,27,0.0,0.0,2,0,2,2,0,0.00
164,S,1,18,30,0.0,0.0,3,0,3,3,0,0.00
216,S,1,4,6,0.0,0.0,3,0,3,3,0,0.00
216,S,1,15,25,0.0,0.0,4,0,4,4,0,0.00
355,S,1,48,72,0.0,0.0,5,0,5,5,0,0.00
355,S,1,17,20,0.0,0.0,6,0,6,6,0,0.00
432,S,1,5,6,0.0,0.0,7,0,7,7,0,0.00
432,S,1,39,39,0.0,0.0,8,0,8,8,0,0.00
571,S,1,71,56,0.0,0.0,9,0,9,9,0,0.00
571,S,1,24,16,0.0,0.0,10,0,10,10,0,0.00
648,S,1,8,6,0.0,0.0,10,0,10,10,0,0.00
648,S,1,54,33,0.0,0.0,12,0,12,12,0,0.00
787,S,1,120,75,0.0,0.0,11,0,11,11,0,0.00
787,S,1,41,26,0.0,0.0,11,0,11,11,0,0.00
863,S,1,13,9,0.0,0.0,11,0,11,11,0,0.00
864,S,1,74,47,0.0,0.0,11,0,11,11,0,0.00
1003,S,1,141,92,0.0,0.0,10,0,10,10,0,0.00
1003,S,1,42,29,0.0,0.0,10,0,10,10,0,0.00
1080,S,1,13,9,0.0,0.0,11,0,11,11,0,0.00
1080,S,1,83,58,0.0,0.0,11,0,11,11,0,0.00
1218,S,1,139,99,0.0,0.0,9,0,9,9,0,0.00
1219,S,1,41,31,0.0,0.0,10,0,10,10,0,0.00
1295,S,1,77,56,0.0,0.0,11,0,11,11,0,0.00
1434,S,1,143,110,0.0,0.0,9,0,9,9,0,0.00
1434,S,1,43,32,0.0,0.0,10,0,10,10,0,0.00
1511,S,1,13,10,0.0,0.0,11,0,11,11,0,0.00
1511,S,1,87,67,0.0,0.0,10,0,10,10,0,0.00
1650,S,1,139,108,0.0,0.0,9,0,9,9,0,0.00
1650,S,1,39,30,0.0,0.0,10,0,10,10,0,0.00
1727,S,1,12,9,0.0,0.0,11,0,11,11,0,0.00
1727,S,1,75,59,0.0,0.0,10,0,10,10,0,0.00
1866,S,1,132,102,0.0,0.0,9,0,9,9,0,0.00
1866,S,1,37,30,0.0,0.0,10,0,10,10,0,0.00
1942,S,1,12,10,0.0,0.0,11,0,11,11,0,0.00
1943,S,1,77,62,0.0,0.0,11,0,11,11,0,0.00
2082,S,1,133,105,0.0,0.0,10,0,10,10,0,0.00
2082,S,1,42,33,0.0,0.0,10,0,10,10,0,0.00
2159,S,1,13,10,0.0,0.0,11,0,11,11,0,0.00
2159,S,1,80,64,0.0,0.0,10,0,10,10,0,0.00
2298,S,1,136,109,0.0,0.0,9,0,9,9,0,0.00
2298,S,1,39,32,0.0,0.0,10,0,10,10,0,0.00
2375,S,1,12,10,0.0,0.0,10,0,10,10,0,0.00
2375,S,1,73,57,0.0,0.0,10,0,10,10,0,0.00
2514,S,1,131,107,0.0,0.0,9,0,9,9,0,0.00
2514,S,1,38,30,0.0,0.0,10,0,10,10,0,0.00
2590,S,1,12,11,0.0,0.0,11,0,11,11,0,0.00
2591,S,1,76,65,0.0,0.0,10,0,10,10,0,0.00
2729,S,1,132,111,0.0,0.0,9,0,9,9,0,0.00
2730,S,1,38,31,0.0,0.0,10,0,10,10,0,0.00
2806,S,1,69,57,0.0,0.0,10,0,10,10,0,0.00
2944,S,1,122,100,0.0,0.0,9,0,9,9,0,0.00
2944,S,1,36,30,0.0,0.0,10,0,10,10,0,0.00
3021,S,1,11,10,0.0,0.0,11,0,11,11,0,0.00
3021,S,1,75,63,0.0,0.0,11,0,11,11,0,0.00
3160,S,1,135,113,0.0,0.0,9,0,9,9,0,0.00
3160,S,1,40,34,0.0,0.0,10,0,10,10,0,0.00
3237,S,1,13,10,0.0,0.0,10,0,10,10,0,0.00
3237,S,1,75,62,0.0,0.0,10,0,10,10,0,0.00
3376,S,1,129,107,0.0,0.0,9,0,9,9,0,0.00
3376,S,1,38,31,0.0,0.0,10,0,10,10,0,0.00
3453,S,1,12,10,0.0,0.0,11,0,11,11,0,0.00
3453,S,1,81,68,0.0,0.0,11,0,11,11,0,0.00
3592,S,1,136,118,0.0,0.0,9,0,9,9,0,0.00
3592,S,1,41,35,0.0,0.0,10,0,10,10,0,0.00
3669,S,1,12,11,0.0,0.0,10,0,10,10,0,0.00
3669,S,1,76,65,0.0,0.0,10,0,10,10,0,0.00
3808,S,1,125,107,0.0,0.0,9,0,9,9,0,0.00
3808,S,1,37,31,0.0,0.0,10,0,10,10,0,0.00
3885,S,1,11,10,0.0,0.0,11,0,11,11,0,0.00
3885,S,1,69,58,0.0,0.0,10,0,10,10,0,0.00
4024,S,1,129,109,0.0,0.0,9,0,9,9,0,0.00
4024,S,1,38,34,0.0,0.0,10,0,10,10,0,0.00
4101,S,1,12,10,0.0,0.0,11,0,11,11,0,0.00
4101,S,1,77,66,0.0,0.0,11,0,11,11,0,0.00
4240,S,1,133,117,0.0,0.0,9,0,9,9,0,0.00
4240,S,1,40,34,0.0,0.0,10,0,10,10,0,0.00
4317,S,1,12,10,0.0,0.0,10,0,10,10,0,0.00
4317,S,1,74,61,0.0,0.0,10,0,10,10,0,0.00
4456,S,1,128,109,0.0,0.0,9,0,9,9,0,0.00
4456,S,1,36,31,0.0,0.0,10,0,10,10,0,0.00
4533,S,1,12,10,0.0,0.0,11,0,11,11,0,0.00
4533,S,1,78,70,0.0,0.0,11,0,11,11,0,0.00
4672,S,1,50,105,0.0,0.0,10,0,10,10,0,0.00
4672,S,1,0,27,0.0,0.0,11,0,11,11,0,0.00
4749,S,1,0,8,0.0,0.0,12,0,12,12,0,0.00
4749,S,1,2,54,0.0,0.0,13,0,13,13,0,0.00
4888,S,1,4,108,0.0,0.0,12,0,12,12,0,0.00
4888,S,1,0,34,0.0,0.0,12,0,12,12,0,0.00
4965,S,1,0,10,0.0,0.0,13,0,13,13,0,0.00
4965,S,1,1,65,0.0,0.0,13,0,13,13,0,0.00
5104,S,1,1,124,0.0,0.0,12,0,12,12,0,0.00
5104,S,1,0,37,0.0,0.0,12,0,12,12,0,0.00
5181,S,1,0,10,0.0,0.0,13,0,13,13,0,0.00
5181,S,1,0,72,0.0,0.0,13,0,13,13,0,0.00
5320,S,1,0,126,0.0,0.0,12,0,12,12,0,0.00
5320,S,1,0,38,0.0,0.0,12,0,12,12,0,0.00
5397,S,1,1,13,0.0,0.0,12,0,12,12,0,0.00
5397,S,1,12,76,0.0,0.0,12,0,12,12,0,0.00
5536,S,1,17,118,0.0,0.0,12,0,12,12,0,0.00
5536,S,1,1,21,0.0,0.0,12,0,12,12,0,0.00
5613,S,1,0,6,0.0,0.0,13,0,13,13,0,0.00
5613,S,1,2,29,0.0,0.0,13,0,13,13,0,0.00
5752,S,1,1,43,0.0,0.0,13,0,13,13,0,0.00
5752,S,1,0,6,0.0,0.0,14,0,14,14,0,0.00
5829,S,1,0,1,0.0,0.0,14,0,14,14,0,0.00
5829,S,1,0,6,0.0,0.0,14,0,14,14,0,0.00
5968,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
5968,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6045,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6045,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6184,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6184,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6260,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6261,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6399,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6399,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6476,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6476,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6615,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6615,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6692,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6692,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6831,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6831,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6908,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
6908,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7047,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7047,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7124,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7124,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7263,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7263,S,1,0,1,0.0,0.0,15,0,15,15,0,0.00
7340,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7340,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7479,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7479,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7556,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7556,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7695,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7695,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7772,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7772,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7911,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7911,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7988,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
7988,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8127,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8127,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8204,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8204,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8343,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8343,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8419,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8420,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8558,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8558,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8635,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8635,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8774,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8774,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8851,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8851,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8990,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
8990,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9067,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9067,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9206,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9206,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9283,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9283,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9422,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9422,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9499,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9499,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9638,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9638,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9715,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9715,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9854,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9854,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9931,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
9931,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10070,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10070,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10147,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10147,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10286,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10286,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10363,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10363,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
10559,S,1,0,0,-5.6,-7.3,15,0,15,15,0,0.00
10559,S,1,0,0,-5.6,-7.3,15,3,18,12,0,0.00
10701,S,1,1,0,-5.6,-6.3,15,3,18,12,0,0.00
10702,S,1,0,0,-5.6,-6.3,15,3,18,12,0,0.00
10778,S,1,0,0,-5.6,-5.4,16,3,19,13,0,0.00
10778,S,1,0,0,-5.6,-5.4,16,3,19,13,0,0.00
10917,S,1,0,0,-5.6,-4.6,16,3,19,13,0,0.00
10917,S,1,0,0,-5.6,-4.6,16,3,19,13,0,0.00
10994,S,1,0,0,-5.6,-4.0,16,3,19,13,0,0.00
10994,S,1,0,0,-5.6,-4.0,16,3,19,13,0,0.00
11133,S,1,0,0,-5.6,-3.4,16,3,19,13,0,0.00
11133,S,1,0,0,-5.6,-3.4,16,3,19,13,0,0.00
11209,S,1,0,0,-5.6,-3.0,16,3,19,13,0,0.00
11210,S,1,0,0,-5.6,-3.0,16,3,19,13,0,0.00
11349,S,1,0,0,-5.6,-2.5,16,3,19,13,0,0.00
11349,S,1,0,0,-5.6,-2.5,16,3,19,13,0,0.00
11426,S,1,0,0,-5.6,-2.2,16,3,19,13,0,0.00
11426,S,1,0,0,-5.6,-2.2,16,3,19,13,0,0.00
