t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
51,S,1,0,0,0.0,0.0,2,-10,0,12,0,0.00
174,S,1,0,75,-0.0,-0.1,2,-10,0,12,0,0.00
177,S,1,0,1,-0.0,-0.1,3,-10,0,13,0,0.00
249,S,1,0,56,-3.6,-25.2,4,10,14,0,0,0.00
401,S,1,67,38,-9.1,-28.9,5,10,15,0,0,0.00
402,S,1,44,1,-9.1,-28.9,6,10,16,0,0,0.00
432,S,1,20,0,-7.7,-15.2,7,7,14,0,0,0.00
610,S,1,151,29,-3.9,-8.8,8,10,18,0,0,0.00
610,S,1,92,5,-3.9,-8.8,9,-1,8,10,0,0.00
645,S,1,16,3,-0.3,17.7,10,-1,9,11,0,0.00
805,S,1,117,132,11.8,30.7,11,-10,1,21,0,0.00
805,S,1,39,77,11.8,30.7,11,-10,1,21,0,0.00
836,S,1,7,16,13.5,38.3,12,-10,2,22,0,0.00
845,S,1,15,36,13.5,38.3,11,-10,1,21,0,0.00
971,S,1,72,224,12.6,31.8,9,-10,0,19,0,0.00
975,S,1,8,38,12.6,31.8,9,-10,0,19,0,0.00
1029,S,1,11,103,10.4,11.6,10,-10,0,20,0,0.00
1070,S,1,1,24,6.8,-15.3,11,-10,1,21,0,0.00
1227,S,1,28,324,-12.3,-38.3,8,9,17,0,0,0.00
1227,S,1,27,80,-12.3,-38.3,9,10,19,0,0,0.00
1274,S,1,10,10,-15.9,-58.2,10,10,20,0,0,0.00
1274,S,1,30,24,-15.9,-58.2,11,10,21,1,0,0.00
1393,S,1,151,65,-34.6,-74.4,10,10,20,0,0,0.00
1401,S,1,5,1,-34.6,-74.4,11,10,21,1,0,0.00
1468,S,1,119,34,-31.0,-38.8,11,10,21,1,0,0.00
1591,S,1,245,58,-24.2,-24.9,9,10,19,0,0,0.00
1600,S,1,8,2,-24.2,-24.9,10,10,20,0,0,0.00
1661,S,1,132,6,-20.6,3.8,10,10,20,0,0,0.00
1830,S,1,268,0,-2.2,24.9,9,10,19,0,0,0.00
1831,S,1,121,0,-2.2,24.9,9,-6,3,15,0,0.00
1866,S,1,20,4,1.4,46.6,10,-6,4,16,0,0.00
1870,S,1,33,16,1.4,46.6,10,-10,0,20,0,0.00
1996,S,1,96,125,21.9,65.3,9,-10,0,19,0,0.00
2000,S,1,4,22,21.9,65.3,10,-10,0,20,0,0.00
2071,S,1,23,89,25.5,81.3,11,-10,1,21,0,0.00
2191,S,1,52,223,22.2,65.7,9,-10,0,19,0,0.00
2200,S,1,1,9,22.2,65.7,10,-10,0,20,0,0.00
2245,S,1,6,92,20.5,44.8,10,-10,0,20,0,0.00
2285,S,1,2,24,16.9,13.3,11,-10,1,21,0,0.00
2285,S,1,11,70,16.9,13.3,11,-10,1,21,0,0.00
2403,S,1,23,265,1.8,-8.4,9,-10,0,19,0,0.00
2412,S,1,0,5,1.8,-8.4,11,10,21,1,0,0.00
2478,S,1,53,97,-1.8,-32.4,10,10,20,0,0,0.00
2636,S,1,157,74,-22.2,-53.1,9,10,19,0,0,0.00
2637,S,1,76,5,-22.2,-53.1,10,10,20,0,0,0.00
2688,S,1,16,1,-18.6,-20.4,11,10,21,1,0,0.00
2688,S,1,55,7,-18.6,-20.4,11,10,21,1,0,0.00
2806,S,1,206,34,-12.7,-9.9,10,10,20,0,0,0.00
2815,S,1,25,3,-12.7,-9.9,10,10,20,0,0,0.00
2876,S,1,112,1,-9.1,16.7,11,3,14,8,0,0.00
3044,S,1,216,40,8.1,34.8,9,-1,8,10,0,0.00
3044,S,1,84,25,8.1,34.8,10,-10,0,20,0,0.00
3075,S,1,15,7,11.7,55.1,11,-10,1,21,0,0.00
3084,S,1,1,1,11.7,55.1,12,-10,2,22,0,0.00
3210,S,1,99,177,25.3,63.4,10,-10,0,20,0,0.00
3214,S,1,11,31,25.3,63.4,10,-10,0,20,0,0.00
3290,S,1,14,133,21.7,29.3,10,-10,0,20,0,0.00
3443,S,1,0,239,12.6,13.2,9,-10,0,19,0,0.00
3443,S,1,0,105,12.6,13.2,10,-10,0,20,0,0.00
3474,S,1,0,22,9.0,-13.8,11,-10,1,21,0,0.00
3483,S,1,0,4,9.0,-13.8,11,7,18,4,0,0.00
3651,S,1,100,146,-12.3,-36.3,10,10,20,0,0,0.00
3651,S,1,67,36,-12.3,-36.3,10,10,20,0,0,0.00
3703,S,1,13,3,-15.9,-56.5,11,10,21,1,0,0.00
3703,S,1,56,16,-15.9,-56.5,11,10,21,1,0,0.00
3851,S,1,191,56,-14.5,-46.7,10,10,20,0,0,0.00
3851,S,1,85,15,-14.5,-46.7,10,10,20,0,0,0.00
3887,S,1,21,2,-10.9,-15.0,11,10,21,1,0,0.00
3891,S,1,47,5,-10.9,-15.0,10,10,20,0,0,0.00
4064,S,1,259,32,1.9,1.8,9,10,19,0,0,0.00
4064,S,1,131,5,1.9,1.8,9,-10,0,19,0,0.00
4095,S,1,20,3,5.5,26.8,10,-10,0,20,0,0.00
4264,S,1,128,141,26.1,48.2,10,-10,0,20,0,0.00
4264,S,1,31,97,26.1,48.2,10,-10,0,20,0,0.00
4295,S,1,4,18,26.2,42.8,11,-10,1,21,0,0.00
4464,S,1,57,241,21.1,30.5,10,-10,0,20,0,0.00
4465,S,1,10,133,21.1,30.5,10,-10,0,20,0,0.00
4500,S,1,8,60,17.5,1.0,10,-10,0,20,0,0.00
4620,S,1,4,261,1.1,-20.2,9,-10,0,19,0,0.00
4629,S,1,1,12,1.1,-20.2,10,10,20,0,0,0.00
4695,S,1,55,71,-2.5,-42.5,10,10,20,0,0,0.00
4855,S,1,168,69,-23.2,-61.8,10,10,20,0,0,0.00
4855,S,1,74,14,-23.2,-61.8,10,10,20,0,0,0.00
4907,S,1,18,2,-19.6,-28.2,11,10,21,1,0,0.00
4907,S,1,77,16,-19.6,-28.2,11,10,21,1,0,0.00
5059,S,1,224,35,-13.7,-16.6,10,10,20,0,0,0.00
5060,S,1,106,4,-13.7,-16.6,10,10,20,0,0,0.00
5090,S,1,34,0,-10.1,10.9,10,-10,0,20,0,0.00
5229,S,1,134,151,2.0,23.2,9,-10,0,19,0,0.00
5232,S,1,12,24,2.0,23.2,10,-10,0,20,0,0.00
5288,S,1,16,66,5.6,45.1,11,-10,1,21,0,0.00
5472,S,1,51,206,7.3,40.8,9,-10,0,19,0,0.00
5473,S,1,13,132,7.3,40.8,9,-10,0,19,0,0.00
5508,S,1,1,22,3.7,9.9,10,-10,0,20,0,0.00
5665,S,1,50,174,-15.3,-16.6,9,0,9,9,0,0.00
5665,S,1,26,64,-15.3,-16.6,10,10,20,0,0,0.00
5701,S,1,6,12,-18.9,-39.5,11,10,21,1,0,0.00
5705,S,1,22,23,-18.9,-39.5,11,10,21,1,0,0.00
5865,S,1,156,79,-26.1,-42.9,10,10,20,0,0,0.00
5865,S,1,95,25,-26.1,-42.9,10,10,20,0,0,0.00
5912,S,1,19,3,-22.5,-11.7,11,10,21,1,0,0.00
5912,S,1,74,16,-22.5,-11.7,11,10,21,1,0,0.00
6065,S,1,242,47,-13.0,2.3,9,10,19,0,0,0.00
6065,S,1,112,7,-13.0,2.3,9,10,19,0,0,0.00
6101,S,1,23,1,-9.4,27.2,11,10,21,1,0,0.00
6105,S,1,59,7,-9.4,27.2,11,-7,4,18,0,0.00
6230,S,1,157,128,5.3,41.0,9,-10,0,19,0,0.00
6238,S,1,4,7,5.3,41.0,10,-10,0,20,0,0.00
6289,S,1,21,62,7.8,52.5,11,-10,1,21,0,0.00
6345,S,1,4,16,11.4,70.4,11,-10,1,21,0,0.00
6345,S,1,18,68,11.4,70.4,11,-10,1,21,0,0.00
6498,S,1,48,219,7.2,55.1,9,-10,0,19,0,0.00
6498,S,1,8,107,7.2,55.1,10,-10,0,20,0,0.00
6530,S,1,2,23,3.6,22.2,10,-10,0,20,0,0.00
6538,S,1,1,12,3.6,22.2,10,8,18,2,0,0.00
6706,S,1,107,157,-13.0,-0.1,9,3,12,6,0,0.00
6706,S,1,69,48,-13.0,-0.1,9,10,19,0,0,0.00
6742,S,1,14,6,-16.6,-25.3,10,10,20,0,0,0.00
6862,S,1,193,59,-17.7,-23.2,9,10,19,0,0,0.00
6871,S,1,7,1,-17.7,-23.2,10,10,20,0,0,0.00
6937,S,1,131,14,-14.1,5.2,10,10,20,0,0,0.00
7062,S,1,260,1,-1.6,19.9,9,10,19,0,0,0.00
7070,S,1,7,0,-1.6,19.9,10,9,19,1,0,0.00
7116,S,1,91,9,1.0,35.3,10,-10,0,20,0,0.00
7156,S,1,20,4,4.6,55.6,11,-10,1,21,0,0.00
7156,S,1,49,19,4.6,55.6,11,-10,1,21,0,0.00
7279,S,1,131,123,23.9,73.0,10,-10,0,20,0,0.00
7283,S,1,13,25,23.9,73.0,10,-10,0,20,0,0.00
7333,S,1,17,63,27.5,88.0,10,-10,0,20,0,0.00
7373,S,1,3,18,30.9,99.8,11,-10,1,21,0,0.00
7374,S,1,14,51,30.9,99.8,11,-10,1,21,0,0.00
7496,S,1,55,224,26.8,80.5,9,-10,0,19,0,0.00
7500,S,1,7,37,26.8,80.5,9,-10,0,19,0,0.00
7551,S,1,7,81,23.2,44.0,10,-10,0,20,0,0.00
7591,S,1,0,24,19.6,12.6,10,-10,0,20,0,0.00
7591,S,1,1,62,19.6,12.6,10,-10,0,20,0,0.00
7714,S,1,1,241,3.6,-10.0,9,-10,0,19,0,0.00
7718,S,1,0,2,3.6,-10.0,11,10,21,1,0,0.00
7768,S,1,36,63,0.0,-33.8,11,10,21,1,0,0.00
7825,S,1,12,12,-3.6,-54.3,10,10,20,0,0,0.00
7825,S,1,53,33,-3.6,-54.3,11,10,21,1,0,0.00
7977,S,1,173,59,-22.8,-71.9,9,10,19,0,0,0.00
7978,S,1,85,7,-22.8,-71.9,10,10,20,0,0,0.00
8008,S,1,21,0,-19.2,-36.6,10,10,20,0,0,0.00
8017,S,1,14,0,-19.2,-36.6,11,10,21,1,0,0.00
8185,S,1,244,18,-8.8,-19.6,9,10,19,0,0,0.00
8185,S,1,123,1,-8.8,-19.6,9,4,13,5,0,0.00
8221,S,1,22,0,-5.2,8.3,11,4,15,7,0,0.00
8225,S,1,52,9,-5.2,8.3,11,-10,1,21,0,0.00
8377,S,1,150,120,14.6,32.3,9,-10,0,19,0,0.00
8377,S,1,34,62,14.6,32.3,10,-10,0,20,0,0.00
8413,S,1,4,15,18.2,53.0,11,-10,1,21,0,0.00
8417,S,1,1,4,18.2,53.0,11,-10,1,21,0,0.00
8585,S,1,66,210,18.8,46.3,9,-10,0,19,0,0.00
8585,S,1,20,117,18.8,46.3,10,-10,0,20,0,0.00
8621,S,1,3,22,15.2,14.6,10,-10,0,20,0,0.00
8625,S,1,5,57,15.2,14.6,10,-10,0,20,0,0.00
8793,S,1,-8,105,-4.6,-12.7,11,-10,1,21,0,0.00
8793,S,1,1,0,-4.6,-12.7,12,10,22,2,0,0.00
8824,S,1,3,0,-5.7,-18.1,13,10,23,3,0,0.00
8981,S,1,165,0,-5.5,-15.3,12,10,22,2,0,0.00
8982,S,1,90,0,-5.5,-15.3,12,10,22,2,0,0.00
9012,S,1,27,0,-4.2,-4.3,12,3,15,9,0,0.00
9147,S,1,93,0,-4.0,-3.4,12,5,17,7,0,0.00
9150,S,1,4,0,-4.0,-3.4,12,3,15,9,0,0.00
9227,S,1,8,0,-1.7,13.1,14,-6,8,20,0,0.00
9380,S,1,0,5,-1.1,12.0,14,-9,5,23,0,0.00
9380,S,1,0,0,-1.1,12.0,14,-7,7,21,0,0.00
9411,S,1,0,0,-1.2,9.4,14,-8,6,22,0,0.00
9420,S,1,0,0,-1.2,9.4,14,-1,13,15,0,0.00
9588,S,1,0,0,-1.2,8.1,15,-3,12,18,0,0.00
9588,S,1,0,0,-1.2,8.1,15,-1,14,16,0,0.00
9640,S,1,0,0,-1.2,7.1,15,-1,14,16,0,0.00
9640,S,1,0,0,-1.2,7.1,15,1,16,14,0,0.00
9788,S,1,0,0,-1.2,6.1,15,-1,14,16,0,0.00
9789,S,1,0,0,-1.2,6.1,15,1,16,14,0,0.00
9824,S,1,0,0,-1.2,5.3,15,2,17,13,0,0.00
9996,S,1,0,0,-1.2,4.6,15,0,15,15,0,0.00
9997,S,1,0,0,-1.2,4.6,15,2,17,13,0,0.00
10048,S,1,0,0,-1.2,4.0,15,2,17,13,0,0.00
10201,S,1,1,0,-1.2,3.4,15,1,16,14,0,0.00
10201,S,1,0,0,-1.2,3.4,15,2,17,13,0,0.00
10232,S,1,0,0,-1.2,3.0,15,2,17,13,0,0.00
10241,S,1,0,0,-1.2,3.0,15,2,17,13,0,0.00
10370,S,1,0,0,-1.2,2.6,15,2,17,13,0,0.00
10373,S,1,0,0,-1.2,2.6,15,2,17,13,0,0.00
10449,S,1,0,0,-1.2,2.2,15,2,17,13,0,0.00
10567,S,1,0,0,-1.2,1.9,15,2,17,13,0,0.00
10575,S,1,0,0,-1.2,1.9,15,2,17,13,0,0.00
10637,S,1,0,0,-1.2,1.7,15,3,18,12,0,0.00
10805,S,1,0,0,-1.2,1.5,15,2,17,13,0,0.00
10806,S,1,0,0,-1.2,1.5,15,3,18,12,0,0.00
10841,S,1,0,0,-1.2,1.3,15,3,18,12,0,0.00
11005,S,1,0,0,-1.2,1.1,15,2,17,13,0,0.00
11006,S,1,0,0,-1.2,1.1,15,3,18,12,0,0.00
11052,S,1,0,0,-1.2,1.0,15,3,18,12,0,0.00
11170,S,1,0,0,-1.2,0.8,15,2,17,13,0,0.00
11179,S,1,0,0,-1.2,0.8,15,3,18,12,0,0.00
11245,S,1,0,0,-1.2,0.7,15,3,18,12,0,0.00
11403,S,1,0,0,-1.2,0.6,15,3,18,12,0,0.00
11403,S,1,0,0,-1.2,0.6,15,3,18,12,0,0.00
11450,S,1,0,0,-1.2,0.5,15,3,18,12,0,0.00
