t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
197,S,1,25,30,0.2,0.0,2,0,2,2,0,0.00
197,S,1,32,34,0.2,0.0,3,0,3,3,0,0.00
352,S,1,43,49,0.1,-0.2,4,0,4,4,0,0.00
352,S,1,21,22,0.1,-0.2,6,0,6,6,0,0.00
388,S,1,5,5,-0.3,-2.8,6,0,6,6,0,0.00
392,S,1,11,11,-0.3,-2.8,7,1,8,6,0,0.00
556,S,1,59,61,-0.4,-2.5,8,1,9,7,0,0.00
557,S,1,31,29,-0.4,-2.5,9,1,10,8,0,0.00
608,S,1,25,22,-0.5,-2.8,11,1,12,10,0,0.00
772,S,1,100,93,0.1,-1.7,11,1,12,10,0,0.00
773,S,1,65,57,0.1,-1.7,11,0,11,11,0,0.00
803,S,1,22,20,0.3,0.2,12,0,12,12,0,0.00
925,S,1,144,134,0.5,0.4,10,0,10,10,0,0.00
934,S,1,10,9,0.5,0.4,10,0,10,10,0,0.00
979,S,1,46,43,0.6,1.4,10,0,10,10,0,0.00
1019,S,1,13,12,1.2,5.0,11,0,11,11,0,0.00
1019,S,1,34,31,1.2,5.0,11,-1,10,12,0,0.00
1177,S,1,130,128,1.8,5.1,9,-1,8,10,0,0.00
1177,S,1,56,58,1.8,5.1,10,-1,9,11,0,0.00
1229,S,1,11,11,2.1,6.6,10,-2,8,12,0,0.00
1229,S,1,37,39,2.1,6.6,11,-2,9,13,0,0.00
1348,S,1,108,125,2.0,5.5,9,-2,7,11,0,0.00
1356,S,1,6,7,2.0,5.5,10,-2,8,12,0,0.00
1418,S,1,54,64,0.8,-3.5,11,0,11,11,0,0.00
1581,S,1,118,125,-0.1,-4.1,10,0,10,10,0,0.00
1581,S,1,50,52,-0.1,-4.1,10,0,10,10,0,0.00
1633,S,1,11,12,-0.8,-8.3,11,0,11,11,0,0.00
1633,S,1,42,44,-0.8,-8.3,11,1,12,10,0,0.00
1797,S,1,126,122,-0.9,-7.3,10,1,11,9,0,0.00
1798,S,1,70,64,-0.9,-7.3,10,1,11,9,0,0.00
1839,S,1,30,28,-0.9,-6.5,11,1,12,10,0,0.00
1957,S,1,127,125,-0.9,-5.6,9,1,10,8,0,0.00
1965,S,1,7,7,-0.9,-5.6,10,1,11,9,0,0.00
2032,S,1,66,61,-0.2,0.5,10,0,10,10,0,0.00
2191,S,1,126,125,0.3,1.0,10,0,10,10,0,0.00
2191,S,1,54,52,0.3,1.0,10,0,10,10,0,0.00
2238,S,1,11,11,0.6,3.1,11,0,11,11,0,0.00
2238,S,1,39,39,0.6,3.1,11,-1,10,12,0,0.00
2357,S,1,115,122,0.6,2.7,10,-1,9,11,0,0.00
2365,S,1,6,7,0.6,2.7,10,-1,9,11,0,0.00
2432,S,1,62,64,0.3,-0.2,11,0,11,11,0,0.00
2591,S,1,125,123,0.0,-0.5,10,0,10,10,0,0.00
2591,S,1,53,53,0.0,-0.5,10,0,10,10,0,0.00
2638,S,1,12,11,0.1,-0.0,11,0,11,11,0,0.00
2638,S,1,40,40,0.1,-0.0,11,0,11,11,0,0.00
2757,S,1,125,127,0.1,-0.1,9,0,9,9,0,0.00
2765,S,1,8,7,0.1,-0.1,10,0,10,10,0,0.00
2832,S,1,66,68,-0.1,-1.2,10,0,10,10,0,0.00
2991,S,1,124,126,-0.2,-1.1,10,0,10,10,0,0.00
2991,S,1,53,52,-0.2,-1.1,10,0,10,10,0,0.00
3027,S,1,11,11,-0.2,-1.1,11,0,11,11,0,0.00
3031,S,1,27,27,-0.2,-1.1,11,0,11,11,0,0.00
3156,S,1,127,128,-0.2,-0.9,10,0,10,10,0,0.00
3165,S,1,7,7,-0.2,-0.9,10,0,10,10,0,0.00
3235,S,1,65,68,-0.3,-1.7,10,0,10,10,0,0.00
3391,S,1,111,115,-0.5,-1.7,9,0,9,9,0,0.00
3391,S,1,45,46,-0.5,-1.7,10,0,10,10,0,0.00
3438,S,1,9,10,-0.8,-3.4,11,0,11,11,0,0.00
3438,S,1,35,34,-0.8,-3.4,11,1,12,10,0,0.00
3591,S,1,119,113,-0.8,-2.9,10,1,11,9,0,0.00
3591,S,1,53,50,-0.8,-2.9,10,1,11,9,0,0.00
3638,S,1,11,10,-0.3,0.8,11,1,12,10,0,0.00
3638,S,1,40,37,-0.3,0.8,11,0,11,11,0,0.00
3791,S,1,126,125,-0.1,0.9,10,0,10,10,0,0.00
3791,S,1,55,54,-0.1,0.9,10,0,10,10,0,0.00
3826,S,1,12,11,-0.0,1.4,11,0,11,11,0,0.00
3831,S,1,27,28,-0.0,1.4,11,0,11,11,0,0.00
3995,S,1,130,130,-0.0,1.2,9,0,9,9,0,0.00
3996,S,1,57,56,-0.0,1.2,10,0,10,10,0,0.00
4031,S,1,18,18,-0.0,1.2,11,0,11,11,0,0.00
4195,S,1,121,123,0.1,1.1,10,0,10,10,0,0.00
4196,S,1,54,57,0.1,1.1,10,0,10,10,0,0.00
4247,S,1,35,37,-0.2,-1.2,11,0,11,11,0,0.00
4395,S,1,116,121,-0.5,-1.4,9,0,9,9,0,0.00
4396,S,1,44,45,-0.5,-1.4,10,0,10,10,0,0.00
4431,S,1,18,18,-0.8,-3.1,11,1,12,10,0,0.00
4603,S,1,125,118,-0.8,-2.8,10,1,11,9,0,0.00
4604,S,1,60,54,-0.8,-2.8,10,1,11,9,0,0.00
4655,S,1,49,43,-0.4,0.8,10,0,10,10,0,0.00
4808,S,1,118,122,-0.2,1.0,9,0,9,9,0,0.00
4809,S,1,49,49,-0.2,1.0,10,0,10,10,0,0.00
4839,S,1,10,10,-0.0,2.0,11,0,11,11,0,0.00
4848,S,1,5,5,-0.0,2.0,11,0,11,11,0,0.00
4977,S,1,119,118,-0.0,1.7,10,0,10,10,0,0.00
4980,S,1,19,18,-0.0,1.7,10,0,10,10,0,0.00
5056,S,1,69,67,0.3,3.4,10,0,10,10,0,0.00
5209,S,1,109,110,0.5,3.2,9,-1,8,10,0,0.00
5209,S,1,43,46,0.5,3.2,10,0,10,10,0,0.00
5240,S,1,9,10,0.4,2.4,11,-1,10,12,0,0.00
5249,S,1,3,3,0.4,2.4,11,0,11,11,0,0.00
5378,S,1,111,114,0.3,1.9,10,0,10,10,0,0.00
5381,S,1,18,19,0.3,1.9,10,0,10,10,0,0.00
5437,S,1,48,49,0.1,0.0,11,0,11,11,0,0.00
5583,S,1,125,126,-0.3,-0.4,9,0,9,9,0,0.00
5583,S,1,25,25,-0.3,-0.4,10,0,10,10,0,0.00
5663,S,1,12,12,-0.5,-2.1,11,0,11,11,0,0.00
5663,S,1,81,81,-0.5,-2.1,10,0,10,10,0,0.00
5782,S,1,118,123,-0.6,-1.9,9,1,10,8,0,0.00
5790,S,1,0,1,-0.6,-1.9,11,0,11,11,0,0.00
5857,S,1,70,73,-0.9,-3.6,11,1,12,10,0,0.00
5980,S,1,132,129,-0.9,-3.2,9,1,10,8,0,0.00
5989,S,1,4,4,-0.9,-3.2,10,1,11,9,0,0.00
6035,S,1,47,44,-1.0,-3.0,10,1,11,9,0,0.00
6074,S,1,11,10,-0.8,-1.1,11,1,12,10,0,0.00
6075,S,1,24,23,-0.8,-1.1,11,0,11,11,0,0.00
6232,S,1,116,116,-0.3,-0.4,10,0,10,10,0,0.00
6233,S,1,56,55,-0.3,-0.4,10,0,10,10,0,0.00
6279,S,1,40,38,-0.2,0.7,11,0,11,11,0,0.00
6397,S,1,122,118,-0.2,0.6,10,0,10,10,0,0.00
6406,S,1,7,7,-0.2,0.6,10,0,10,10,0,0.00
6472,S,1,66,64,0.1,2.6,10,0,10,10,0,0.00
6630,S,1,129,124,0.3,2.4,10,0,10,10,0,0.00
6631,S,1,54,52,0.3,2.4,10,0,10,10,0,0.00
6665,S,1,26,25,0.6,4.1,11,-1,10,12,0,0.00
6835,S,1,130,131,0.8,3.7,9,-1,8,10,0,0.00
6835,S,1,55,59,0.8,3.7,10,-1,9,11,0,0.00
6887,S,1,10,12,0.7,3.1,10,-1,9,11,0,0.00
6887,S,1,37,37,0.7,3.1,10,-1,9,11,0,0.00
7006,S,1,111,113,0.6,2.5,9,-1,8,10,0,0.00
7014,S,1,7,7,0.6,2.5,10,0,10,10,0,0.00
7055,S,1,31,32,0.6,1.7,11,0,11,11,0,0.00
7095,S,1,10,10,0.3,-0.1,11,0,11,11,0,0.00
7096,S,1,22,22,0.3,-0.1,11,0,11,11,0,0.00
7253,S,1,114,114,0.2,-0.2,10,0,10,10,0,0.00
7254,S,1,55,56,0.2,-0.2,10,0,10,10,0,0.00
7289,S,1,26,27,0.2,-0.5,10,0,10,10,0,0.00
7417,S,1,119,119,0.2,-0.5,9,0,9,9,0,0.00
