t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
16,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
196,S,1,39,36,0.0,0.0,2,0,0,2,2,0,0.00
196,S,1,36,30,0.0,0.0,3,0,0,3,3,0,0.00
321,S,1,65,52,0.4,0.0,4,0,0,4,4,0,0.00
325,S,1,3,2,0.4,0.0,5,0,0,5,5,0,0.00
375,S,1,28,24,0.6,1.8,6,0,0,6,6,0,0.00
415,S,1,7,6,1.4,1.8,6,0,0,6,6,0,0.00
415,S,1,15,13,1.4,10.0,7,-1,-2,6,8,0,0.00
538,S,1,74,72,1.8,10.0,8,-1,-2,7,9,0,0.00
542,S,1,12,11,1.8,10.0,8,-1,-2,7,9,0,0.00
593,S,1,27,32,2.1,7.7,10,-1,-1,9,11,0,0.00
633,S,1,8,9,2.6,7.7,11,-1,-1,10,12,0,0.00
634,S,1,27,28,2.6,10.6,11,-1,-2,10,12,0,0.00
757,S,1,99,119,2.4,10.6,11,-2,-2,9,13,0,0.00
760,S,1,16,22,2.4,10.6,11,-1,-2,10,12,0,0.00
811,S,1,34,48,2.0,1.7,11,-1,0,10,12,0,0.00
868,S,1,10,13,-0.4,1.7,11,-1,0,10,12,0,0.00
868,S,1,51,55,-0.4,-20.7,11,0,3,11,11,0,0.00
986,S,1,133,113,-1.1,-20.7,10,1,3,11,9,0,0.00
995,S,1,10,7,-1.1,-20.7,10,0,3,10,10,0,0.00
1035,S,1,41,29,-1.3,-13.2,11,0,2,11,11,0,0.00
1075,S,1,14,9,-0.7,-13.2,11,1,2,12,10,0,0.00
1075,S,1,29,20,-0.7,1.2,11,0,0,11,11,0,0.00
1233,S,1,139,115,1.7,1.2,9,1,0,10,8,0,0.00
1233,S,1,63,47,1.7,1.2,10,-1,0,9,11,0,0.00
1269,S,1,12,9,3.9,1.2,11,-1,0,10,12,0,0.00
1273,S,1,28,23,3.9,31.9,11,-2,-3,9,13,0,0.00
1432,S,1,99,121,5.2,31.9,10,-3,-3,7,13,0,0.00
1432,S,1,41,66,5.2,31.9,10,-3,-3,7,13,0,0.00
1468,S,1,8,13,4.0,31.9,11,-3,-3,8,14,0,0.00
1472,S,1,18,33,4.0,-0.6,11,-2,0,9,13,0,0.00
1632,S,1,101,142,1.4,-0.6,10,-2,0,8,12,0,0.00
1632,S,1,49,72,1.4,-0.6,10,-1,0,9,11,0,0.00
1668,S,1,10,13,-2.0,-0.6,11,-1,0,10,12,0,0.00
1672,S,1,24,32,-2.0,-46.9,11,1,3,12,10,0,0.00
1797,S,1,133,111,-3.0,-46.9,10,2,3,12,8,0,0.00
1801,S,1,23,15,-3.0,-46.9,10,1,3,11,9,0,0.00
1872,S,1,80,46,-2.9,-22.7,10,1,3,11,9,0,0.00
1993,S,1,158,83,-0.9,-22.7,10,2,3,12,8,0,0.00
2001,S,1,3,1,-0.9,-22.7,11,0,3,11,11,0,0.00
2063,S,1,92,46,2.7,14.4,11,-1,-2,10,12,0,0.00
2193,S,1,126,113,7.4,14.4,10,-2,-2,8,12,0,0.00
2201,S,1,1,2,7.4,14.4,11,-4,-2,7,15,0,0.00
2272,S,1,61,87,10.6,27.6,11,-5,-3,6,16,0,0.00
2393,S,1,81,164,9.5,27.6,10,-7,-3,3,17,0,0.00
2401,S,1,1,3,9.5,27.6,11,-5,-3,6,16,0,0.00
2463,S,1,41,105,5.9,-11.9,11,-3,2,8,14,0,0.00
2592,S,1,97,174,0.6,-11.9,9,-3,2,6,12,0,0.00
2601,S,1,1,3,0.6,-11.9,11,-1,2,10,12,0,0.00
