t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
141,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
141,S,1,10,10,0.0,0.0,3,0,0,3,3,0,0.00
199,S,1,3,4,0.0,0.0,3,0,0,3,3,0,0.00
199,S,1,15,16,0.0,0.0,4,0,0,4,4,0,0.00
327,S,1,58,56,0.0,0.0,4,0,0,4,4,0,0.00
328,S,1,13,13,0.0,0.0,5,0,0,5,5,0,0.00
407,S,1,6,6,-0.0,0.0,5,0,0,5,5,0,0.00
407,S,1,42,42,-0.0,0.0,7,0,0,7,7,0,0.00
526,S,1,79,82,-0.0,0.0,7,0,0,7,7,0,0.00
534,S,1,0,1,-0.0,0.0,9,0,0,9,9,0,0.00
580,S,1,35,35,-0.0,-0.0,10,0,0,10,10,0,0.00
615,S,1,9,8,-0.1,-0.0,11,0,0,11,11,0,0.00
772,S,1,112,112,-0.1,-0.1,11,0,0,11,11,0,0.00
773,S,1,59,59,-0.1,-0.1,11,0,0,11,11,0,0.00
808,S,1,25,26,-0.1,-0.2,11,0,0,11,11,0,0.00
938,S,1,138,145,-0.1,-0.2,9,0,0,9,9,0,0.00
941,S,1,19,21,-0.1,-0.2,10,0,0,10,10,0,0.00
1013,S,1,61,69,-0.6,-0.9,10,1,0,11,9,0,0.00
1133,S,1,119,121,-1.1,-0.9,9,1,0,10,8,0,0.00
1142,S,1,3,3,-1.1,-0.9,11,1,0,12,10,0,0.00
1208,S,1,68,69,-1.4,-2.6,11,1,1,12,10,0,0.00
1368,S,1,137,133,-1.4,-2.6,9,2,1,11,7,0,0.00
1368,S,1,57,51,-1.4,-2.6,10,1,1,11,9,0,0.00
1404,S,1,11,11,-1.1,-2.6,10,1,1,11,9,0,0.00
1408,S,1,4,3,-1.1,-3.5,11,2,1,13,9,0,0.00
1572,S,1,145,132,-0.9,-3.5,9,2,1,11,7,0,0.00
1572,S,1,65,56,-0.9,-3.5,10,1,1,11,9,0,0.00
1608,S,1,12,12,-0.2,-3.5,11,1,1,12,10,0,0.00
1612,S,1,26,24,-0.2,1.9,11,0,-1,11,11,0,0.00
1738,S,1,138,139,0.0,1.9,9,-1,-1,8,10,0,0.00
1742,S,1,19,19,0.0,1.9,10,-1,-1,9,11,0,0.00
1813,S,1,64,65,0.9,6.9,10,-2,-2,8,12,0,0.00
1968,S,1,109,131,0.9,6.9,9,-3,-2,6,12,0,0.00
1968,S,1,46,58,0.9,6.9,10,-2,-2,8,12,0,0.00
2004,S,1,9,12,-0.5,6.9,10,-2,-2,8,12,0,0.00
2008,S,1,3,3,-0.5,9.4,11,-3,-3,8,14,0,0.00
2172,S,1,110,151,-1.7,9.4,10,-2,-3,8,12,0,0.00
2172,S,1,49,68,-1.7,9.4,10,-2,-3,8,12,0,0.00
2208,S,1,10,13,-4.0,9.4,11,-2,-3,9,13,0,0.00
2212,S,1,22,28,-4.0,-14.6,11,6,4,17,5,0,0.00
2338,S,1,155,130,-4.8,-14.6,9,7,4,16,2,0,0.00
2342,S,1,25,19,-4.8,-14.6,9,6,4,15,3,0,0.00
2413,S,1,90,62,-5.0,-26.6,10,10,8,20,0,0,0.00
2533,S,1,199,61,-3.6,-26.6,9,11,8,20,0,0,0.00
2542,S,1,5,1,-3.6,-26.6,10,10,8,20,0,0,0.00
2587,S,1,87,17,-3.0,-15.0,11,6,4,17,5,0,0.00
2627,S,1,21,4,0.6,-15.0,10,6,4,16,4,0,0.00
2628,S,1,45,9,0.6,-1.8,10,0,1,10,10,0,0.00
2785,S,1,184,62,17.2,-1.8,9,0,1,9,9,0,0.00
