t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
46,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
169,S,1,62,61,0.0,0.0,2,0,0,2,2,0,0.00
172,S,1,10,10,0.0,0.0,2,0,0,2,2,0,0.00
223,S,1,24,23,-0.0,-0.2,3,0,0,3,3,0,0.00
384,S,1,76,71,0.4,-0.2,4,0,0,4,4,0,0.00
385,S,1,39,37,0.4,-0.2,5,0,0,5,5,0,0.00
420,S,1,7,6,0.8,-0.2,6,0,0,6,6,0,0.00
539,S,1,73,70,0.9,5.5,8,0,0,8,8,0,0.00
548,S,1,4,4,0.9,5.5,8,0,0,8,8,0,0.00
593,S,1,27,25,0.9,2.8,10,0,0,10,10,0,0.00
633,S,1,8,8,1.1,2.8,11,0,0,11,11,0,0.00
633,S,1,24,23,1.1,3.9,11,0,0,11,11,0,0.00
756,S,1,109,102,1.2,3.9,11,-1,0,10,12,0,0.00
760,S,1,18,18,1.2,3.9,11,-1,0,10,12,0,0.00
831,S,1,65,64,1.6,4.4,11,-1,0,10,12,0,0.00
950,S,1,130,133,1.6,4.4,9,-1,0,8,10,0,0.00
959,S,1,4,5,1.6,4.4,10,-1,0,9,11,0,0.00
1004,S,1,45,48,1.6,2.4,11,-1,0,10,12,0,0.00
1045,S,1,11,13,1.5,2.4,11,-1,0,10,12,0,0.00
1045,S,1,37,37,1.5,0.1,11,-1,0,10,12,0,0.00
1168,S,1,128,137,1.3,0.1,10,-1,0,9,11,0,0.00
1172,S,1,20,23,1.3,0.1,10,-1,0,9,11,0,0.00
1243,S,1,66,73,0.4,-6.1,10,0,0,10,10,0,0.00
1363,S,1,122,129,-0.0,-6.1,10,0,0,10,10,0,0.00
1371,S,1,2,2,-0.0,-6.1,11,0,0,11,11,0,0.00
1433,S,1,67,71,-0.6,-6.9,11,0,0,11,11,0,0.00
1562,S,1,123,131,-0.8,-6.9,10,1,0,11,9,0,0.00
1571,S,1,2,2,-0.8,-6.9,11,0,0,11,11,0,0.00
1642,S,1,80,87,-1.6,-8.7,10,1,0,11,9,0,0.00
1763,S,1,134,132,-1.9,-8.7,10,1,0,11,9,0,0.00
1771,S,1,2,2,-1.9,-8.7,11,1,0,12,10,0,0.00
1817,S,1,58,54,-2.0,-5.3,11,1,0,12,10,0,0.00
1853,S,1,13,13,-2.0,-5.3,11,1,0,12,10,0,0.00
1975,S,1,140,133,-1.9,-2.6,9,1,0,10,8,0,0.00
1979,S,1,22,20,-1.9,-2.6,9,1,0,10,8,0,0.00
2050,S,1,70,62,-1.2,3.4,10,0,0,10,10,0,0.00
2170,S,1,130,130,-0.9,3.4,9,1,0,10,8,0,0.00
2179,S,1,4,5,-0.9,3.4,10,0,0,10,10,0,0.00
2224,S,1,46,43,-0.8,2.4,11,0,0,11,11,0,0.00
2265,S,1,12,11,-0.4,2.4,12,0,0,12,12,0,0.00
2265,S,1,37,34,-0.4,6.5,11,0,0,11,11,0,0.00
2388,S,1,131,126,-0.2,6.5,10,0,0,10,10,0,0.00
2392,S,1,20,20,-0.2,6.5,10,0,0,10,10,0,0.00
2442,S,1,45,43,-0.0,4.5,10,0,0,10,10,0,0.00
2483,S,1,12,12,0.5,4.5,11,0,0,11,11,0,0.00
2483,S,1,35,33,0.5,8.1,11,0,0,11,11,0,0.00
2606,S,1,138,129,0.6,8.1,9,0,0,9,9,0,0.00
2610,S,1,22,21,0.6,8.1,10,0,0,10,10,0,0.00
2681,S,1,71,69,1.1,7.2,10,0,0,10,10,0,0.00
2800,S,1,132,127,1.3,7.2,9,-1,0,8,10,0,0.00
2809,S,1,5,5,1.3,7.2,10,-1,0,9,11,0,0.00
2870,S,1,63,64,1.8,6.8,10,-1,0,9,11,0,0.00
3000,S,1,138,137,1.8,6.8,9,-1,0,8,10,0,0.00
3008,S,1,5,5,1.8,6.8,10,-1,0,9,11,0,0.00
3075,S,1,70,72,1.7,2.7,10,-1,0,9,11,0,0.00
3200,S,1,131,137,1.7,2.7,10,-1,0,9,11,0,0.00
3208,S,1,5,5,1.7,2.7,10,-1,0,9,11,0,0.00
3275,S,1,70,70,1.2,-1.7,10,-1,0,9,11,0,0.00
3400,S,1,142,144,1.1,-1.7,10,-1,0,9,11,0,0.00
3408,S,1,6,6,1.1,-1.7,10,-1,0,9,11,0,0.00
3475,S,1,72,78,0.7,-3.7,10,0,0,10,10,0,0.00
3600,S,1,149,147,0.6,-3.7,9,0,0,9,9,0,0.00
3608,S,1,5,6,0.6,-3.7,10,0,0,10,10,0,0.00
3675,S,1,75,74,0.3,-3.8,10,0,0,10,10,0,0.00
3800,S,1,141,140,0.3,-3.8,10,0,0,10,10,0,0.00
3808,S,1,5,5,0.3,-3.8,10,0,0,10,10,0,0.00
3875,S,1,73,73,0.3,-2.0,10,0,0,10,10,0,0.00
4000,S,1,144,143,0.3,-2.0,9,0,0,9,9,0,0.00
4008,S,1,5,6,0.3,-2.0,10,0,0,10,10,0,0.00
4075,S,1,74,72,0.4,-0.5,10,0,0,10,10,0,0.00
4200,S,1,137,133,0.4,-0.5,10,0,0,10,10,0,0.00
4208,S,1,5,5,0.4,-0.5,10,0,0,10,10,0,0.00
4274,S,1,70,70,0.5,0.5,10,0,0,10,10,0,0.00
4400,S,1,132,141,0.6,0.5,10,0,0,10,10,0,0.00
4408,S,1,5,5,0.6,0.5,10,0,0,10,10,0,0.00
4480,S,1,85,84,-0.0,-3.6,10,0,0,10,10,0,0.00
4600,S,1,129,130,-0.1,-3.6,8,0,0,8,8,0,0.00
4609,S,1,4,4,-0.1,-3.6,10,0,0,10,10,0,0.00
4654,S,1,43,43,-0.1,-1.8,10,0,0,10,10,0,0.00
4690,S,1,11,11,-0.1,-1.8,11,0,0,11,11,0,0.00
4812,S,1,126,126,-0.1,-0.8,10,0,0,10,10,0,0.00
4816,S,1,2,3,-0.1,-0.8,11,0,0,11,11,0,0.00
4866,S,1,51,50,-0.1,-0.3,11,0,0,11,11,0,0.00
4906,S,1,13,12,0.0,-0.3,11,0,0,11,11,0,0.00
4906,S,1,25,26,0.0,0.6,11,0,0,11,11,0,0.00
5029,S,1,130,129,-0.0,0.6,9,0,0,9,9,0,0.00
5033,S,1,19,19,-0.0,0.6,10,0,0,10,10,0,0.00
5084,S,1,44,45,-0.1,-0.1,10,0,0,10,10,0,0.00
5123,S,1,12,12,-0.1,-0.1,11,0,0,11,11,0,0.00
5124,S,1,33,33,-0.1,0.0,11,0,0,11,11,0,0.00
5247,S,1,129,123,-0.0,0.0,10,0,0,10,10,0,0.00
5251,S,1,21,21,-0.0,0.0,10,0,0,10,10,0,0.00
5322,S,1,69,69,0.1,1.0,10,0,0,10,10,0,0.00
