t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
179,S,1,17,19,0.0,0.0,3,0,0,3,3,0,0.00
180,S,1,32,30,0.0,0.0,4,0,0,4,4,0,0.00
220,S,1,17,15,-0.0,-0.6,4,0,0,4,4,0,0.00
342,S,1,73,70,0.1,-0.6,5,0,0,5,5,0,0.00
346,S,1,12,11,0.1,-0.6,5,0,0,5,5,0,0.00
396,S,1,26,25,0.1,0.3,7,0,0,7,7,0,0.00
436,S,1,8,8,0.4,0.3,7,0,0,7,7,0,0.00
436,S,1,20,20,0.4,3.3,8,-2,-2,6,10,0,0.00
559,S,1,93,94,0.6,3.3,8,-2,-2,6,10,0,0.00
563,S,1,2,2,0.6,3.3,10,-2,-2,8,12,0,0.00
614,S,1,40,42,0.6,1.7,11,-1,-1,10,12,0,0.00
653,S,1,11,11,0.6,1.7,11,-1,-1,10,12,0,0.00
654,S,1,22,24,0.6,1.4,12,-1,-1,11,13,0,0.00
777,S,1,125,128,0.5,1.4,10,-1,-1,9,11,0,0.00
780,S,1,21,21,0.5,1.4,10,-1,-1,9,11,0,0.00
831,S,1,48,50,0.4,-0.1,11,0,0,11,11,0,0.00
872,S,1,12,12,0.2,-0.1,12,0,0,12,12,0,0.00
872,S,1,38,40,0.2,-1.6,11,1,1,12,10,0,0.00
995,S,1,141,133,0.1,-1.6,9,1,1,10,8,0,0.00
999,S,1,21,21,0.1,-1.6,10,1,1,11,9,0,0.00
1070,S,1,72,65,0.2,0.1,10,0,0,10,10,0,0.00
1225,S,1,126,125,0.5,0.1,10,0,0,10,10,0,0.00
1225,S,1,56,55,0.5,0.1,10,0,0,10,10,0,0.00
1256,S,1,12,12,0.8,0.1,10,0,0,10,10,0,0.00
1265,S,1,7,6,0.8,5.5,11,-3,-3,8,14,0,0.00
1433,S,1,114,142,0.9,5.5,9,-3,-3,6,12,0,0.00
1434,S,1,62,77,0.9,5.5,10,-3,-3,7,13,0,0.00
1469,S,1,10,14,-0.5,5.5,10,-3,-3,7,13,0,0.00
1629,S,1,160,120,-1.8,-12.3,9,7,6,16,2,0,0.00
1629,S,1,84,56,-1.8,-12.3,9,7,6,16,2,0,0.00
1665,S,1,17,11,-0.2,-12.3,10,7,6,17,3,0,0.00
1669,S,1,41,25,-0.2,8.9,10,-4,-4,6,14,0,0.00
1829,S,1,142,144,1.9,8.9,9,-5,-4,4,14,0,0.00
1829,S,1,58,70,1.9,8.9,9,-5,-4,4,14,0,0.00
1865,S,1,11,14,3.4,8.9,10,-5,-4,5,15,0,0.00
1869,S,1,25,33,3.4,19.4,10,-9,-10,1,19,0,0.00
1990,S,1,109,183,2.7,19.4,9,-8,-10,1,17,0,0.00
1998,S,1,2,3,2.7,19.4,10,-9,-10,1,19,0,0.00
2064,S,1,64,129,-0.9,-5.3,10,3,3,13,7,0,0.00
2189,S,1,127,164,-5.7,-5.3,8,4,3,12,4,0,0.00
2198,S,1,2,3,-5.7,-5.3,10,5,3,15,5,0,0.00
2269,S,1,88,80,-9.3,-17.6,10,9,9,19,1,0,0.00
2390,S,1,187,118,-11.2,-17.6,9,8,9,17,1,0,0.00
2398,S,1,3,1,-11.2,-17.6,10,9,9,19,1,0,0.00
2444,S,1,90,45,-10.9,-6.1,10,8,3,18,2,0,0.00
2480,S,1,21,10,-7.3,-6.1,9,8,3,17,1,0,0.00
2602,S,1,174,128,-3.5,12.0,8,-3,-6,5,11,0,0.00
2606,S,1,21,19,-3.5,12.0,9,-4,-6,5,13,0,0.00
2656,S,1,39,43,-0.8,21.0,10,-9,-10,1,19,0,0.00
2696,S,1,11,14,2.8,21.0,10,-9,-10,1,19,0,0.00
2697,S,1,27,36,2.8,25.5,10,-9,-13,1,19,0,0.00
2854,S,1,114,184,2.6,25.5,8,-7,-13,1,15,0,0.00
2855,S,1,55,96,2.6,25.5,9,-8,-13,1,17,0,0.00
