t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,0,0,0.0,0.0,3,0,0,3,3,0,0.00
126,S,1,0,0,0.0,0.0,3,0,0,3,3,0,0.00
221,S,1,0,0,0.0,0.0,5,0,0,5,5,0,0.00
339,S,1,0,0,0.0,0.0,7,0,0,7,7,0,0.00
347,S,1,0,0,0.0,0.0,8,0,0,8,8,0,0.00
393,S,1,0,0,0.0,0.0,9,0,0,9,9,0,0.00
433,S,1,0,0,0.0,0.0,9,0,0,9,9,0,0.00
433,S,1,0,0,0.0,-0.0,10,0,0,10,10,0,0.00
591,S,1,0,0,0.0,-0.0,12,0,0,12,12,0,0.00
591,S,1,0,1,0.0,-0.0,13,0,0,13,13,0,0.00
626,S,1,0,0,0.0,-0.0,14,0,0,14,14,0,0.00
631,S,1,0,0,0.0,-0.0,14,0,0,14,14,0,0.00
755,S,1,0,0,0.0,-0.0,15,0,0,15,15,0,0.00
759,S,1,0,0,0.0,-0.0,15,0,0,15,15,0,0.00
809,S,1,0,0,0.0,-0.0,15,0,0,15,15,0,0.00
850,S,1,0,0,0.0,-0.0,15,0,0,15,15,0,0.00
850,S,1,0,0,0.0,0.0,15,0,0,15,15,0,0.00
973,S,1,0,0,0.0,0.0,15,0,0,15,15,0,0.00
977,S,1,0,0,0.0,0.0,15,0,0,15,15,0,0.00
1027,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1067,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1067,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1190,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1194,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1244,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1279,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1402,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1406,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1456,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1495,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
1496,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1653,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1653,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1688,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1693,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1817,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1821,S,1,0,0,-0.0,-0.1,15,0,0,15,15,0,0.00
1892,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2012,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2021,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2087,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2212,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2220,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2287,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2412,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2420,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2487,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2612,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2620,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2687,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2812,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2820,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
2887,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
3012,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
3020,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
3087,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
3212,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
3220,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
3266,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
3306,S,1,0,0,-0.0,-0.0,15,0,0,15,15,0,0.00
3306,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3463,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3464,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3494,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3667,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3667,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3703,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3823,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3832,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
3898,S,1,0,0,-0.0,0.0,15,0,0,15,15,0,0.00
4057,S,1,0,0,-0.0,0.0,16,0,0,16,16,0,0.00
4057,S,1,0,0,-0.0,0.0,16,0,0,16,16,0,0.00
4093,S,1,0,0,-0.0,0.0,16,0,0,16,16,0,0.00
