t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
16,S,1,0,0,-0.0,0.0,2,0,0,2,2,0,0.00
196,S,1,44,50,0.0,-0.0,2,0,0,2,2,0,0.00
196,S,1,45,48,0.0,-0.0,3,0,0,3,3,0,0.00
355,S,1,77,84,-0.3,-0.0,3,0,0,3,3,0,0.00
356,S,1,39,42,-0.3,-0.0,5,0,0,5,5,0,0.00
390,S,1,16,18,-0.6,-2.6,6,2,1,8,4,0,0.00
555,S,1,92,94,-0.9,-2.6,6,2,1,8,4,0,0.00
555,S,1,41,43,-0.9,-2.6,8,2,1,10,6,0,0.00
590,S,1,9,8,-1.2,-2.6,9,2,1,11,7,0,0.00
595,S,1,18,18,-1.2,-4.1,10,3,2,13,7,0,0.00
720,S,1,124,102,-1.3,-4.1,10,3,2,13,7,0,0.00
725,S,1,19,15,-1.3,-4.1,10,3,2,13,7,0,0.00
774,S,1,45,33,-1.2,-2.9,11,2,1,13,9,0,0.00
814,S,1,14,10,-0.0,-2.9,11,2,1,13,9,0,0.00
815,S,1,34,28,-0.0,5.3,11,-3,-3,8,14,0,0.00
938,S,1,126,140,0.9,5.3,9,-3,-3,6,12,0,0.00
941,S,1,2,2,0.9,5.3,11,-3,-3,8,14,0,0.00
1013,S,1,71,83,1.8,7.1,10,-4,-4,6,14,0,0.00
1132,S,1,114,149,1.1,7.1,9,-5,-4,4,14,0,0.00
1140,S,1,9,11,1.1,7.1,10,-4,-4,6,14,0,0.00
1202,S,1,57,78,-1.6,-2.2,10,2,1,12,8,0,0.00
1331,S,1,134,134,-2.6,-2.2,9,2,1,11,7,0,0.00
1339,S,1,15,14,-2.6,-2.2,9,2,1,11,7,0,0.00
1390,S,1,48,45,-3.2,-4.0,10,3,2,13,7,0,0.00
1431,S,1,12,10,-4.5,-4.0,11,3,2,14,8,0,0.00
1431,S,1,27,23,-4.5,-10.5,11,7,5,18,4,0,0.00
1554,S,1,165,114,-4.2,-10.5,9,8,5,17,1,0,0.00
1558,S,1,30,17,-4.2,-10.5,9,7,5,16,2,0,0.00
1608,S,1,71,40,-3.8,-5.9,10,5,3,15,5,0,0.00
1648,S,1,19,11,-0.2,-5.9,11,5,3,16,6,0,0.00
1649,S,1,55,30,-0.2,3.1,10,-1,-2,9,11,0,0.00
1772,S,1,162,122,2.9,3.1,9,-2,-2,7,11,0,0.00
1775,S,1,22,18,2.9,3.1,9,-3,-2,6,12,0,0.00
1826,S,1,44,40,4.8,9.8,10,-7,-5,3,17,0,0.00
