HB:t=180,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,dp=0,OL=2,OR=2
HB:t=180,m=S,run=1,el=15,er=20,yaw=0.0,yr=0.0,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=216,m=S,run=1,el=3,er=3,yaw=0.1,yr=0.0,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=339,m=S,run=1,el=54,er=49,yaw=0.2,yr=0.8,pc=4,hd=0,dp=0,OL=4,OR=4
HB:t=342,m=S,run=1,el=8,er=8,yaw=0.2,yr=0.8,pc=4,hd=0,dp=0,OL=4,OR=4
HB:t=425,m=S,run=1,el=34,er=35,yaw=0.5,yr=1.4,pc=6,hd=0,dp=0,OL=6,OR=6
HB:t=543,m=S,run=1,el=56,er=67,yaw=0.4,yr=1.4,pc=7,hd=0,dp=0,OL=7,OR=7
HB:t=552,m=S,run=1,el=3,er=4,yaw=0.4,yr=1.4,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=593,m=S,run=1,el=19,er=24,yaw=0.3,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=633,m=S,run=1,el=6,er=8,yaw=-0.4,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=634,m=S,run=1,el=15,er=19,yaw=-0.4,yr=-3.9,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=756,m=S,run=1,el=78,er=98,yaw=-0.9,yr=-3.9,pc=11,hd=1,dp=0,OL=12,OR=10
HB:t=760,m=S,run=1,el=2,er=2,yaw=-0.9,yr=-3.9,pc=12,hd=1,dp=0,OL=13,OR=11
HB:t=831,m=S,run=1,el=62,er=68,yaw=-2.6,yr=-8.6,pc=12,hd=2,dp=1,OL=14,OR=10
HB:t=950,m=S,run=1,el=132,er=127,yaw=-3.0,yr=-8.6,pc=10,hd=3,dp=1,OL=13,OR=7
HB:t=959,m=S,run=1,el=11,er=10,yaw=-3.0,yr=-8.6,pc=10,hd=3,dp=1,OL=13,OR=7
HB:t=1025,m=S,run=1,el=76,er=61,yaw=-3.0,yr=-6.5,pc=10,hd=2,dp=1,OL=12,OR=8
HB:t=1150,m=S,run=1,el=147,er=123,yaw=-2.6,yr=-6.5,pc=9,hd=3,dp=1,OL=12,OR=6
HB:t=1158,m=S,run=1,el=16,er=14,yaw=-2.6,yr=-6.5,pc=10,hd=2,dp=1,OL=12,OR=8
HB:t=1225,m=S,run=1,el=75,er=59,yaw=-0.8,yr=1.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=1350,m=S,run=1,el=141,er=127,yaw=0.1,yr=1.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=1358,m=S,run=1,el=16,er=13,yaw=0.1,yr=1.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=1425,m=S,run=1,el=72,er=60,yaw=2.0,yr=7.0,pc=10,hd=-2,dp=-1,OL=8,OR=12
HB:t=1550,m=S,run=1,el=129,er=128,yaw=2.7,yr=7.0,pc=9,hd=-3,dp=-1,OL=6,OR=12
HB:t=1558,m=S,run=1,el=14,er=14,yaw=2.7,yr=7.0,pc=10,hd=-2,dp=-1,OL=8,OR=12
