t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
140,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
141,S,1,10,11,0.0,0.0,2,0,0,2,2,0,0.00
199,S,1,14,17,0.0,0.0,3,0,0,3,3,0,0.00
327,S,1,51,68,-0.0,0.0,4,0,0,4,4,0,0.00
327,S,1,12,17,-0.0,0.0,4,0,0,4,4,0,0.00
407,S,1,6,8,-1.6,0.0,5,0,0,5,5,0,0.00
407,S,1,41,56,-1.6,-5.0,6,2,2,8,4,0,0.00
526,S,1,68,95,-2.5,-5.0,6,3,2,9,3,0,0.00
534,S,1,1,1,-2.5,-5.0,8,3,2,11,5,0,0.00
580,S,1,31,37,-2.8,-5.2,9,3,2,12,6,0,0.00
615,S,1,8,9,-4.6,-5.2,9,3,2,12,6,0,0.00
738,S,1,116,108,-5.1,-11.4,10,6,3,16,4,0,0.00
742,S,1,21,19,-5.1,-11.4,10,6,3,16,4,0,0.00
813,S,1,85,59,-5.4,-9.9,10,5,3,15,5,0,0.00
933,S,1,186,115,-4.2,-9.9,9,6,3,15,3,0,0.00
942,S,1,6,4,-4.2,-9.9,10,5,3,15,5,0,0.00
1008,S,1,108,62,-0.6,0.1,9,0,0,9,9,0,0.00
1133,S,1,166,119,3.7,0.1,8,0,0,8,8,0,0.00
1141,S,1,5,4,3.7,0.1,10,-1,0,9,11,0,0.00
1208,S,1,76,56,7.3,7.6,10,-5,-2,5,15,0,0.00
1333,S,1,128,130,10.0,7.6,9,-7,-2,2,16,0,0.00
1341,S,1,4,6,10.0,7.6,10,-6,-2,4,16,0,0.00
1408,S,1,64,81,10.1,6.1,10,-6,-2,4,16,0,0.00
1533,S,1,119,174,9.3,6.1,9,-7,-2,2,16,0,0.00
1541,S,1,4,7,9.3,6.1,10,-6,-2,4,16,0,0.00
1587,S,1,42,68,8.9,2.7,10,-4,-1,6,14,0,0.00
1627,S,1,10,18,5.3,2.7,11,-4,-1,7,15,0,0.00
1628,S,1,32,53,5.3,-5.4,11,-1,2,10,12,0,0.00
1751,S,1,121,173,2.9,-5.4,9,0,2,9,9,0,0.00
1755,S,1,19,25,2.9,-5.4,9,0,2,9,9,0,0.00
1805,S,1,40,52,1.2,-11.6,10,3,3,13,7,0,0.00
1846,S,1,11,14,-2.4,-11.6,11,3,3,14,8,0,0.00
1846,S,1,33,35,-2.4,-16.2,11,6,5,17,5,0,0.00
1969,S,1,153,121,-4.3,-16.2,9,8,5,17,1,0,0.00
1973,S,1,27,18,-4.3,-16.2,9,6,5,15,3,0,0.00
2023,S,1,60,37,-4.6,-13.5,10,6,4,16,4,0,0.00
2063,S,1,18,10,-2.1,-13.5,10,6,4,16,4,0,0.00
2064,S,1,47,28,-2.1,-2.6,10,1,1,11,9,0,0.00
2187,S,1,164,116,0.0,-2.6,8,2,1,10,6,0,0.00
2190,S,1,1,0,0.0,-2.6,11,1,1,12,10,0,0.00
2257,S,1,81,55,3.6,5.6,11,-3,-2,8,14,0,0.00
2380,S,1,141,131,6.7,5.6,10,-4,-2,6,14,0,0.00
2389,S,1,9,10,6.7,5.6,10,-5,-2,5,15,0,0.00
2455,S,1,68,82,8.4,9.9,10,-7,-3,3,17,0,0.00
2580,S,1,125,190,7.8,9.9,9,-8,-3,1,17,0,0.00
2588,S,1,8,13,7.8,9.9,9,-6,-3,3,15,0,0.00
2655,S,1,62,103,4.2,-0.1,9,-2,0,7,11,0,0.00
2780,S,1,115,182,0.8,-0.1,8,-2,0,6,10,0,0.00
2788,S,1,8,10,0.8,-0.1,10,-1,0,9,11,0,0.00
2834,S,1,34,51,-0.1,-4.3,10,1,1,11,9,0,0.00
2874,S,1,10,14,-3.7,-4.3,11,1,1,12,10,0,0.00
2874,S,1,26,34,-3.7,-10.7,11,4,3,15,7,0,0.00
2997,S,1,132,123,-6.7,-10.7,9,6,3,15,3,0,0.00
3001,S,1,0,1,-6.7,-10.7,11,6,3,17,5,0,0.00
3072,S,1,99,68,-7.7,-11.6,10,6,3,16,4,0,0.00
3191,S,1,185,115,-6.3,-11.6,8,7,3,15,1,0,0.00
3200,S,1,11,7,-6.3,-11.6,9,6,3,15,3,0,0.00
3245,S,1,66,40,-5.7,-5.6,10,4,2,14,6,0,0.00
3286,S,1,17,10,-2.1,-5.6,10,4,2,14,6,0,0.00
3286,S,1,50,30,-2.1,3.3,10,0,-1,10,10,0,0.00
3409,S,1,162,116,1.4,3.3,9,-1,-1,8,10,0,0.00
3413,S,1,23,17,1.4,3.3,9,-2,-1,7,11,0,0.00
3463,S,1,43,36,3.1,10.0,10,-4,-3,6,14,0,0.00
3502,S,1,12,12,6.7,10.0,10,-4,-3,6,14,0,0.00
3503,S,1,29,28,6.7,15.0,11,-7,-4,4,18,0,0.00
3626,S,1,119,155,8.0,15.0,9,-8,-4,1,17,0,0.00
3629,S,1,2,2,8.0,15.0,10,-8,-4,2,18,0,0.00
3696,S,1,65,106,5.4,3.7,10,-3,-1,7,13,0,0.00
