t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
185,S,1,0,0,-0.0,0.0,2,0,0,2,2,0,0.00
185,S,1,24,25,-0.0,0.0,2,0,0,2,2,0,0.00
322,S,1,68,57,0.0,0.0,3,0,0,3,3,0,0.00
326,S,1,2,2,0.0,0.0,4,0,0,4,4,0,0.00
381,S,1,34,30,0.0,0.1,5,0,0,5,5,0,0.00
420,S,1,8,7,0.8,0.1,5,0,0,5,5,0,0.00
577,S,1,104,93,1.4,4.6,5,-1,-1,4,6,0,0.00
578,S,1,44,38,1.4,4.6,7,-1,-1,6,8,0,0.00
613,S,1,14,13,2.1,8.4,9,-3,-3,6,12,0,0.00
735,S,1,95,98,2.3,8.4,9,-4,-3,5,13,0,0.00
739,S,1,14,16,2.3,8.4,10,-4,-3,6,14,0,0.00
789,S,1,41,49,2.5,7.2,11,-3,-2,8,14,0,0.00
825,S,1,10,12,2.4,7.2,11,-3,-2,8,14,0,0.00
947,S,1,116,132,2.1,4.4,10,-2,-1,8,12,0,0.00
951,S,1,17,20,2.1,4.4,10,-2,-1,8,12,0,0.00
1001,S,1,37,46,1.8,1.8,11,-1,0,10,12,0,0.00
1041,S,1,11,13,0.4,1.8,11,-1,0,10,12,0,0.00
1042,S,1,27,34,0.4,-6.2,11,2,2,13,9,0,0.00
1164,S,1,128,123,-0.4,-6.2,10,2,2,12,8,0,0.00
1168,S,1,1,1,-0.4,-6.2,11,2,2,13,9,0,0.00
1218,S,1,56,50,-1.0,-7.4,11,2,2,13,9,0,0.00
1258,S,1,14,11,-1.5,-7.4,11,3,2,14,8,0,0.00
1259,S,1,32,26,-1.5,-8.5,11,3,3,14,8,0,0.00
1382,S,1,156,115,-1.1,-8.5,9,4,3,13,5,0,0.00
1385,S,1,25,18,-1.1,-8.5,9,3,3,12,6,0,0.00
1436,S,1,59,41,-0.6,-4.2,10,1,1,11,9,0,0.00
1477,S,1,13,10,2.1,-4.2,10,1,1,11,9,0,0.00
1477,S,1,30,23,2.1,4.3,11,-2,-1,9,13,0,0.00
1600,S,1,132,130,3.8,4.3,9,-2,-1,7,11,0,0.00
1604,S,1,20,21,3.8,4.3,10,-2,-1,8,12,0,0.00
1654,S,1,45,45,4.8,7.9,10,-4,-2,6,14,0,0.00
1694,S,1,11,12,5.7,7.9,11,-5,-2,6,16,0,0.00
1694,S,1,32,36,5.7,11.7,11,-6,-3,5,17,0,0.00
1851,S,1,114,157,5.2,11.7,9,-7,-3,2,16,0,0.00
1852,S,1,54,82,5.2,11.7,10,-6,-3,4,16,0,0.00
1882,S,1,10,17,2.2,11.7,10,-6,-3,4,16,0,0.00
1891,S,1,3,6,2.2,1.2,11,-1,0,10,12,0,0.00
2016,S,1,125,176,1.5,1.2,9,-1,0,8,10,0,0.00
2020,S,1,18,25,1.5,1.2,9,-1,0,8,10,0,0.00
2091,S,1,56,79,-2.1,-6.6,10,3,2,13,7,0,0.00
2211,S,1,124,130,-5.5,-6.6,9,4,2,13,5,0,0.00
2220,S,1,5,4,-5.5,-6.6,10,4,2,14,6,0,0.00
2270,S,1,57,48,-6.0,-7.1,10,4,2,14,6,0,0.00
2305,S,1,14,10,-7.0,-7.1,11,4,2,15,7,0,0.00
2428,S,1,169,111,-6.5,-12.2,9,8,4,17,1,0,0.00
2432,S,1,28,17,-6.5,-12.2,9,6,4,15,3,0,0.00
2482,S,1,64,38,-5.8,-6.0,10,4,2,14,6,0,0.00
2523,S,1,17,10,-2.2,-6.0,10,4,2,14,6,0,0.00
2523,S,1,48,28,-2.2,3.0,10,1,0,11,9,0,0.00
2646,S,1,163,110,0.5,3.0,9,0,0,9,9,0,0.00
2650,S,1,22,14,0.5,3.0,9,-1,0,8,10,0,0.00
2700,S,1,42,31,2.3,9.8,11,-4,-3,7,15,0,0.00
2740,S,1,12,10,5.9,9.8,11,-4,-3,7,15,0,0.00
2741,S,1,28,27,5.9,14.8,11,-7,-4,4,18,0,0.00
2898,S,1,116,150,8.2,14.8,9,-8,-4,1,17,0,0.00
2899,S,1,56,86,8.2,14.8,9,-8,-4,1,17,0,0.00
2934,S,1,11,17,6.0,14.8,10,-8,-4,2,18,0,0.00
2938,S,1,2,2,6.0,3.6,11,-3,0,8,14,0,0.00
3062,S,1,117,189,4.5,3.6,9,-4,0,5,13,0,0.00
3066,S,1,4,6,4.5,3.6,10,-3,0,7,13,0,0.00
3137,S,1,62,98,0.9,-4.8,10,0,1,10,10,0,0.00
3257,S,1,110,147,-3.9,-4.8,9,1,1,10,8,0,0.00
3266,S,1,7,9,-3.9,-4.8,10,2,1,12,8,0,0.00
3332,S,1,57,63,-7.5,-11.1,10,6,3,16,4,0,0.00
3457,S,1,147,115,-8.6,-11.1,9,8,3,17,1,0,0.00
3466,S,1,12,8,-8.6,-11.1,10,7,3,17,3,0,0.00
3532,S,1,95,58,-6.4,-0.9,10,2,0,12,8,0,0.00
3657,S,1,168,111,-4.3,-0.9,9,3,0,12,6,0,0.00
3666,S,1,12,8,-4.3,-0.9,10,2,0,12,8,0,0.00
3732,S,1,79,53,-0.7,6.8,10,-2,-2,8,12,0,0.00
3857,S,1,131,114,2.2,6.8,9,-3,-2,6,12,0,0.00
3866,S,1,9,9,2.2,6.8,10,-3,-2,7,13,0,0.00
3932,S,1,60,65,4.3,12.1,10,-6,-4,4,16,0,0.00
4057,S,1,115,160,4.1,12.1,9,-7,-4,2,16,0,0.00
4066,S,1,9,14,4.1,12.1,9,-6,-4,3,15,0,0.00
4132,S,1,58,94,1.0,1.6,10,-1,0,9,11,0,0.00
4257,S,1,116,163,-1.2,1.6,9,-1,0,8,10,0,0.00
4266,S,1,8,11,-1.2,1.6,10,0,0,10,10,0,0.00
4332,S,1,55,72,-4.8,-6.3,10,4,2,14,6,0,0.00
4457,S,1,132,119,-6.6,-6.3,9,5,2,14,4,0,0.00
4466,S,1,10,8,-6.6,-6.3,10,4,2,14,6,0,0.00
4511,S,1,48,37,-7.0,-6.3,10,5,2,15,5,0,0.00
4551,S,1,15,10,-6.7,-6.3,11,5,2,16,6,0,0.00
4552,S,1,37,28,-6.7,-3.0,10,3,0,13,7,0,0.00
4709,S,1,154,112,-4.8,-3.0,9,4,0,13,5,0,0.00
4710,S,1,75,52,-4.8,-3.0,9,2,0,11,7,0,0.00
4740,S,1,14,9,-2.0,-3.0,10,2,0,12,8,0,0.00
4749,S,1,8,5,-2.0,5.2,10,0,-1,10,10,0,0.00
4912,S,1,144,119,-0.4,5.2,9,-1,-1,8,10,0,0.00
4912,S,1,64,55,-0.4,5.2,9,-1,-1,8,10,0,0.00
4948,S,1,11,11,2.3,5.2,11,-1,-1,10,12,0,0.00
5068,S,1,120,133,2.9,11.4,9,-6,-3,3,15,0,0.00
5077,S,1,8,10,2.9,11.4,10,-5,-3,5,15,0,0.00
5122,S,1,39,52,3.1,9.6,10,-4,-3,6,14,0,0.00
5162,S,1,11,15,2.5,9.6,10,-4,-3,6,14,0,0.00
5162,S,1,29,38,2.5,3.2,10,-1,0,9,11,0,0.00
5285,S,1,115,140,1.2,3.2,9,-2,0,7,11,0,0.00
5289,S,1,0,0,1.2,3.2,11,-1,0,10,12,0,0.00
5339,S,1,38,52,0.3,-1.8,11,0,0,11,11,0,0.00
5379,S,1,9,11,-1.8,-1.8,11,0,0,11,11,0,0.00
5380,S,1,20,27,-1.8,-8.9,11,3,3,14,8,0,0.00
5537,S,1,108,103,-3.6,-8.9,10,4,3,14,6,0,0.00
5538,S,1,55,47,-3.6,-8.9,10,4,3,14,6,0,0.00
5573,S,1,18,14,-3.6,-6.7,11,3,2,14,8,0,0.00
5735,S,1,121,87,-2.5,-6.7,10,4,2,14,6,0,0.00
5736,S,1,66,44,-2.5,-6.7,10,3,2,13,7,0,0.00
5771,S,1,34,24,-0.3,2.5,10,0,0,10,10,0,0.00
