t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
185,S,1,35,40,0.0,0.0,2,0,0,2,2,0,0.00
185,S,1,44,49,0.0,0.0,3,0,0,3,3,0,0.00
327,S,1,75,82,-0.2,0.0,4,0,0,4,4,0,0.00
327,S,1,16,17,-0.2,0.0,4,0,0,4,4,0,0.00
386,S,1,7,9,-0.4,0.0,5,0,0,5,5,0,0.00
386,S,1,30,32,-0.4,-1.0,6,0,0,6,6,0,0.00
566,S,1,79,86,-1.3,-1.0,7,0,0,7,7,0,0.00
566,S,1,42,47,-1.3,-1.0,9,1,0,10,8,0,0.00
602,S,1,7,8,-1.9,-1.0,10,1,0,11,9,0,0.00
720,S,1,100,99,-2.1,-5.1,11,2,1,13,9,0,0.00
729,S,1,6,6,-2.1,-5.1,11,2,1,13,9,0,0.00
795,S,1,68,62,-2.2,-4.1,11,1,1,12,10,0,0.00
953,S,1,149,135,-1.8,-4.1,10,2,1,12,8,0,0.00
954,S,1,66,51,-1.8,-4.1,10,1,1,11,9,0,0.00
989,S,1,30,24,-0.8,3.9,11,0,0,11,11,0,0.00
1124,S,1,139,132,-0.4,3.9,9,0,0,9,9,0,0.00
1128,S,1,3,2,-0.4,3.9,11,0,0,11,11,0,0.00
1204,S,1,83,74,1.4,8.5,10,-3,-3,7,13,0,0.00
1357,S,1,122,134,2.0,8.5,9,-4,-3,5,13,0,0.00
1357,S,1,50,61,2.0,8.5,10,-3,-3,7,13,0,0.00
1388,S,1,10,13,1.3,8.5,10,-3,-3,7,13,0,0.00
1397,S,1,8,11,1.3,0.9,10,-1,0,9,11,0,0.00
1525,S,1,116,141,1.0,0.9,9,-1,0,8,10,0,0.00
1529,S,1,1,1,1.0,0.9,11,0,0,11,11,0,0.00
1584,S,1,49,56,0.3,-2.4,11,0,0,11,11,0,0.00
1641,S,1,10,12,-2.4,-2.4,12,0,0,12,12,0,0.00
1759,S,1,179,205,-2.9,-9.3,9,5,3,14,4,0,0.00
1768,S,1,10,9,-2.9,-9.3,10,4,3,14,6,0,0.00
1829,S,1,72,61,-4.3,-11.8,10,5,4,15,5,0,0.00
1982,S,1,155,116,-4.2,-11.8,9,6,4,15,3,0,0.00
1982,S,1,70,48,-4.2,-11.8,9,5,4,14,4,0,0.00
2013,S,1,16,10,-1.5,-11.8,10,5,4,15,5,0,0.00
2022,S,1,5,4,-1.5,-1.4,10,1,0,11,9,0,0.00
2190,S,1,153,115,0.4,-1.4,9,1,0,10,8,0,0.00
2190,S,1,73,53,0.4,-1.4,9,0,0,9,9,0,0.00
2225,S,1,12,9,3.8,-1.4,10,0,0,10,10,0,0.00
2385,S,1,121,128,5.4,6.5,10,-5,-2,5,15,0,0.00
2386,S,1,55,71,5.4,6.5,10,-4,-2,6,14,0,0.00
2421,S,1,26,36,5.1,2.6,11,-2,0,9,13,0,0.00
2546,S,1,121,155,4.5,2.6,9,-3,0,6,12,0,0.00
2555,S,1,13,17,4.5,2.6,10,-2,0,8,12,0,0.00
2626,S,1,70,96,0.9,-5.6,10,1,1,11,9,0,0.00
2747,S,1,123,136,-0.3,-5.6,9,2,1,11,7,0,0.00
2755,S,1,15,15,-0.3,-5.6,10,2,1,12,8,0,0.00
2817,S,1,61,52,-1.7,-9.0,11,3,3,14,8,0,0.00
2985,S,1,139,111,-1.8,-9.0,9,4,3,13,5,0,0.00
2986,S,1,69,53,-1.8,-9.0,10,3,3,13,7,0,0.00
3021,S,1,34,25,0.1,0.7,11,0,0,11,11,0,0.00
3185,S,1,143,130,1.3,0.7,9,0,0,9,9,0,0.00
3186,S,1,62,55,1.3,0.7,10,-1,0,9,11,0,0.00
3221,S,1,30,26,3.3,8.0,11,-4,-2,7,15,0,0.00
3385,S,1,115,141,3.8,8.0,9,-4,-2,5,13,0,0.00
3386,S,1,55,71,3.8,8.0,10,-4,-2,6,14,0,0.00
3421,S,1,25,34,2.6,-1.5,11,-1,0,10,12,0,0.00
3585,S,1,117,142,1.5,-1.5,9,-1,0,8,10,0,0.00
3586,S,1,50,64,1.5,-1.5,10,-1,0,9,11,0,0.00
3621,S,1,24,29,-1.1,-8.6,11,3,3,14,8,0,0.00
3785,S,1,129,113,-2.0,-8.6,10,4,3,14,6,0,0.00
3786,S,1,67,52,-2.0,-8.6,10,3,3,13,7,0,0.00
3821,S,1,33,25,-1.8,-5.0,11,2,1,13,9,0,0.00
3946,S,1,147,118,-1.0,-5.0,9,2,1,11,7,0,0.00
3955,S,1,17,13,-1.0,-5.0,10,1,1,11,9,0,0.00
4026,S,1,93,70,2.0,3.7,10,-1,0,9,11,0,0.00
4181,S,1,129,126,3.3,3.7,10,-2,0,8,12,0,0.00
4181,S,1,52,56,3.3,3.7,10,-2,0,8,12,0,0.00
4212,S,1,11,11,4.0,3.7,11,-2,0,9,13,0,0.00
4221,S,1,4,5,4.0,8.8,11,-4,-3,7,15,0,0.00
4391,S,1,114,147,3.9,8.8,9,-5,-3,4,14,0,0.00
4391,S,1,59,82,3.9,8.8,9,-4,-3,5,13,0,0.00
4427,S,1,10,14,1.7,8.8,10,-4,-3,6,14,0,0.00
4586,S,1,113,146,-0.4,-0.9,9,-1,0,8,10,0,0.00
4586,S,1,47,64,-0.4,-0.9,9,0,0,9,9,0,0.00
4622,S,1,9,12,-3.0,-0.9,11,0,0,11,11,0,0.00
4626,S,1,24,31,-3.0,-8.2,11,4,2,15,7,0,0.00
4751,S,1,131,114,-3.8,-8.2,10,5,2,15,5,0,0.00
