t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,0,1,1,0,0.00
164,S,1,33,26,0.0,0.0,2,0,0,2,2,0,0.00
164,S,1,30,15,0.0,0.0,3,0,0,3,3,0,0.00
215,S,1,6,3,0.0,0.0,3,0,0,3,3,0,0.00
215,S,1,24,10,0.0,0.0,4,0,0,4,4,0,0.00
346,S,1,73,33,0.0,0.0,5,0,0,5,5,0,0.00
346,S,1,18,8,0.0,10.0,6,-3,-3,3,9,0,0.00
431,S,1,8,3,0.0,17.5,7,-5,-5,2,12,0,0.00
432,S,1,60,38,0.0,19.9,8,-6,-6,2,14,0,0.00
562,S,1,94,85,0.0,21.1,8,-6,-6,2,14,0,0.00
563,S,1,22,24,0.0,22.8,9,-7,-7,2,16,0,0.00
647,S,1,69,83,0.0,19.8,10,-6,-6,4,16,0,0.00
777,S,1,114,151,0.0,17.7,10,-5,-5,5,15,0,0.00
777,S,1,25,36,0.0,7.3,10,-2,-2,8,12,0,0.00
863,S,1,10,15,0.0,-0.4,10,0,0,10,10,0,0.00
863,S,1,78,88,0.0,-5.3,10,2,2,12,8,0,0.00
994,S,1,124,120,0.0,-7.7,9,2,2,11,7,0,0.00
994,S,1,28,25,0.0,-17.4,10,5,5,15,5,0,0.00
1070,S,1,13,10,0.0,-24.6,11,7,7,18,4,0,0.00
1071,S,1,91,64,0.0,-19.3,10,6,6,16,4,0,0.00
1210,S,1,179,107,0.0,-16.7,9,5,5,14,4,0,0.00
1210,S,1,56,32,0.0,-4.4,9,1,1,10,8,0,0.00
1287,S,1,16,10,0.0,4.8,10,-1,-1,9,11,0,0.00
1287,S,1,84,66,0.0,19.1,10,-6,-6,4,16,0,0.00
1426,S,1,125,133,0.0,26.3,9,-8,-8,1,17,0,0.00
1426,S,1,35,45,0.0,35.8,9,-8,-11,1,17,0,0.00
1503,S,1,10,15,0.0,42.9,11,-10,-13,1,21,0,0.00
1503,S,1,73,115,0.0,30.3,10,-9,-9,1,19,0,0.00
1642,S,1,117,215,0.0,24.0,8,-7,-7,1,15,0,0.00
1642,S,1,35,66,0.0,2.0,8,-1,-1,7,9,0,0.00
1719,S,1,12,18,0.0,-14.5,9,4,4,13,5,0,0.00
1719,S,1,81,95,0.0,-30.3,9,8,9,17,1,0,0.00
1858,S,1,150,130,0.0,-38.2,8,7,11,15,1,0,0.00
1859,S,1,50,36,0.0,-47.3,9,8,14,17,1,0,0.00
1935,S,1,17,11,0.0,-54.1,9,8,16,17,1,0,0.00
1935,S,1,101,63,0.0,-31.8,9,8,10,17,1,0,0.00
2074,S,1,196,108,0.0,-20.7,8,6,6,14,2,0,0.00
2074,S,1,59,31,0.0,4.8,8,-1,-1,7,9,0,0.00
2150,S,1,17,10,0.0,23.9,10,-7,-7,3,17,0,0.00
2151,S,1,91,82,0.0,33.2,9,-8,-10,1,17,0,0.00
2290,S,1,129,155,0.0,37.9,8,-7,-11,1,15,0,0.00
2290,S,1,36,51,0.0,47.6,9,-8,-14,1,17,0,0.00
2367,S,1,11,16,0.0,54.8,9,-8,-16,1,17,0,0.00
2367,S,1,67,104,0.0,30.6,9,-8,-9,1,17,0,0.00
2506,S,1,114,196,0.0,18.6,8,-6,-6,2,14,0,0.00
2506,S,1,34,59,0.0,-3.5,8,1,1,9,7,0,0.00
2583,S,1,11,16,0.0,-20.0,10,6,6,16,4,0,0.00
2583,S,1,92,94,0.0,-29.9,9,8,9,17,1,0,0.00
2722,S,1,164,128,0.0,-34.8,8,7,10,15,1,0,0.00
2723,S,1,54,35,0.0,-40.4,9,8,12,17,1,0,0.00
2798,S,1,109,66,0.0,-20.6,9,6,6,15,3,0,0.00
2937,S,1,194,106,0.0,-8.6,8,3,3,11,5,0,0.00
2938,S,1,55,31,0.0,12.6,9,-4,-4,5,13,0,0.00
3014,S,1,79,79,0.0,39.0,9,-8,-12,1,17,0,0.00
3153,S,1,128,158,0.0,44.3,8,-7,-13,1,15,0,0.00
3153,S,1,36,53,0.0,45.7,9,-8,-14,1,17,0,0.00
3229,S,1,11,16,0.0,46.8,10,-9,-14,1,19,0,0.00
3230,S,1,70,114,0.0,24.9,9,-7,-7,2,16,0,0.00
3369,S,1,115,202,0.0,14.0,8,-4,-4,4,12,0,0.00
3369,S,1,33,58,0.0,-8.0,8,2,2,10,6,0,0.00
3446,S,1,11,15,0.0,-24.4,9,7,7,16,2,0,0.00
3446,S,1,82,83,0.0,-35.0,9,8,10,17,1,0,0.00
3585,S,1,161,129,0.0,-40.3,8,7,12,15,1,0,0.00
3586,S,1,53,37,0.0,-44.0,8,7,13,15,1,0,0.00
3662,S,1,119,70,0.0,-24.0,10,7,7,17,3,0,0.00
3801,S,1,207,110,0.0,-12.6,8,4,4,12,4,0,0.00
3801,S,1,60,33,0.0,9.5,8,-3,-3,5,11,0,0.00
3878,S,1,16,11,0.0,26.0,9,-8,-8,1,17,0,0.00
3878,S,1,94,88,0.0,37.7,9,-8,-11,1,17,0,0.00
4017,S,1,136,163,0.0,43.5,7,-6,-13,1,13,0,0.00
4018,S,1,38,53,0.0,50.9,8,-7,-15,1,15,0,0.00
4094,S,1,11,16,0.0,56.5,9,-8,-17,1,17,0,0.00
4094,S,1,65,99,0.0,27.9,9,-8,-8,1,17,0,0.00
4233,S,1,114,198,0.0,13.6,7,-4,-4,3,11,0,0.00
4233,S,1,33,56,0.0,-6.2,8,2,2,10,6,0,0.00
4309,S,1,11,15,0.0,-21.0,9,6,6,15,3,0,0.00
4310,S,1,80,90,0.0,-31.2,9,8,9,17,1,0,0.00
4449,S,1,152,124,0.0,-36.3,8,7,11,15,1,0,0.00
4449,S,1,50,36,0.0,-44.7,9,8,13,17,1,0,0.00
4526,S,1,16,11,0.0,-51.0,9,8,15,17,1,0,0.00
4526,S,1,102,62,0.0,-28.2,9,8,8,17,1,0,0.00
4664,S,1,202,112,0.0,-16.8,7,5,5,12,2,0,0.00
4665,S,1,58,34,0.0,4.2,8,-1,-1,7,9,0,0.00
4741,S,1,94,88,0.0,30.6,9,-8,-9,1,17,0,0.00
4880,S,1,131,160,0.0,36.0,8,-7,-11,1,15,0,0.00
4880,S,1,37,53,0.0,44.7,8,-7,-13,1,15,0,0.00
4957,S,1,11,17,0.0,51.3,9,-8,-15,1,17,0,0.00
4957,S,1,65,105,0.0,25.8,9,-8,-8,1,17,0,0.00
5096,S,1,109,199,0.0,13.0,7,-4,-4,3,11,0,0.00
5096,S,1,32,55,0.0,-9.8,8,3,3,11,5,0,0.00
5173,S,1,10,15,0.0,-27.0,10,8,8,18,2,0,0.00
5173,S,1,88,92,0.0,-36.3,9,8,11,17,1,0,0.00
5312,S,1,165,123,0.0,-40.9,8,7,12,15,1,0,0.00
5313,S,1,55,35,0.0,-44.6,8,7,13,15,1,0,0.00
5388,S,1,110,67,0.0,-22.4,9,7,7,16,2,0,0.00
5527,S,1,200,107,0.0,-9.9,8,3,3,11,5,0,0.00
5528,S,1,58,31,0.0,12.5,8,-4,-4,4,12,0,0.00
5604,S,1,82,75,0.0,38.4,9,-8,-12,1,17,0,0.00
5742,S,1,126,160,0.0,43.0,8,-7,-13,1,15,0,0.00
5743,S,1,34,51,0.0,48.3,8,-7,-14,1,15,0,0.00
5819,S,1,64,107,0.0,25.7,9,-8,-8,1,17,0,0.00
5958,S,1,110,192,0.0,12.4,8,-4,-4,4,12,0,0.00
5958,S,1,33,57,0.0,-9.8,8,3,3,11,5,0,0.00
6035,S,1,12,15,0.0,-26.5,9,8,8,17,1,0,0.00
6035,S,1,83,77,0.0,-34.8,9,8,10,17,1,0,0.00
6174,S,1,167,125,0.0,-38.9,8,7,12,15,1,0,0.00
6174,S,1,55,35,0.0,-41.1,8,7,12,15,1,0,0.00
6251,S,1,17,11,0.0,-42.7,9,8,13,17,1,0,0.00
6251,S,1,117,67,0.0,-15.6,9,5,5,14,4,0,0.00
6390,S,1,188,106,0.0,-2.0,8,1,1,9,7,0,0.00
6390,S,1,50,31,0.0,17.3,8,-5,-5,3,13,0,0.00
6467,S,1,13,11,0.0,31.8,9,-8,-10,1,17,0,0.00
6467,S,1,79,81,0.0,39.3,9,-8,-12,1,17,0,0.00
6606,S,1,119,159,0.0,43.1,8,-7,-13,1,15,0,0.00
6606,S,1,34,53,0.0,44.5,8,-7,-13,1,15,0,0.00
6683,S,1,11,17,0.0,45.5,10,-9,-14,1,19,0,0.00
6683,S,1,70,119,0.0,20.8,9,-6,-6,3,15,0,0.00
6822,S,1,112,190,0.0,8.4,7,-3,-3,4,10,0,0.00
6822,S,1,33,51,0.0,-12.3,8,4,4,12,4,0,0.00
6899,S,1,12,14,0.0,-27.8,9,8,8,17,1,0,0.00
6899,S,1,86,81,0.0,-37.2,9,8,11,17,1,0,0.00
7038,S,1,170,125,0.0,-41.9,8,7,13,15,1,0,0.00
7039,S,1,55,36,0.0,-40.6,8,7,12,15,1,0,0.00
7115,S,1,18,11,0.0,-39.6,9,8,12,17,1,0,0.00
7115,S,1,102,61,0.0,-14.5,9,4,4,13,5,0,0.00
7254,S,1,181,107,0.0,-1.9,7,1,1,8,6,0,0.00
7254,S,1,46,30,0.0,17.6,8,-5,-5,3,13,0,0.00
7330,S,1,12,11,0.0,32.3,10,-9,-10,1,19,0,0.00
7331,S,1,79,88,0.0,39.2,9,-8,-12,1,17,0,0.00
7469,S,1,117,174,0.0,42.6,8,-7,-13,1,15,0,0.00
7470,S,1,34,53,0.0,38.6,8,-7,-12,1,15,0,0.00
7546,S,1,62,101,0.0,11.5,9,-3,-3,6,12,0,0.00
7684,S,1,110,167,0.0,-0.6,7,0,0,7,7,0,0.00
7685,S,1,32,43,0.0,-18.7,8,6,6,14,2,0,0.00
7761,S,1,90,77,0.0,-37.1,9,8,11,17,1,0,0.00
7900,S,1,173,118,0.0,-39.5,8,7,12,15,1,0,0.00
7900,S,1,55,35,0.0,-35.0,8,7,11,15,1,0,0.00
7976,S,1,17,11,0.0,-31.7,9,8,9,17,1,0,0.00
7977,S,1,109,61,0.0,-5.5,9,2,2,11,7,0,0.00
8116,S,1,170,107,0.0,7.6,7,-2,-2,5,9,0,0.00
8116,S,1,44,32,0.0,23.2,8,-7,-7,1,15,0,0.00
