t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
214,S,1,33,35,-0.1,0.0,2,0,0,2,2,0,0.00
215,S,1,53,58,-0.1,-1.0,3,0,0,3,3,0,0.00
341,S,1,64,70,-0.2,-1.5,3,0,0,3,3,0,0.00
341,S,1,13,14,-0.2,-2.3,4,1,1,5,3,0,0.00
448,S,1,7,8,-0.7,-2.9,5,1,1,6,4,0,0.00
449,S,1,71,78,-0.7,-3.0,6,1,1,7,5,0,0.00
574,S,1,83,87,-1.1,-3.1,6,1,1,7,5,0,0.00
575,S,1,16,17,-1.1,-3.2,7,1,1,8,6,0,0.00
680,S,1,76,78,-1.7,-3.9,9,2,1,11,7,0,0.00
894,S,1,103,96,-1.6,-4.2,9,2,1,11,7,0,0.00
894,S,1,114,97,-1.6,0.5,9,1,0,10,8,0,0.00
1020,S,1,112,102,-1.2,2.8,9,0,-1,9,9,0,0.00
1021,S,1,20,19,-1.2,4.2,10,-1,-1,9,11,0,0.00
1127,S,1,104,109,-0.3,5.5,10,-1,-2,9,11,0,0.00
1253,S,1,120,120,-0.1,5.6,9,-2,-2,7,11,0,0.00
1254,S,1,20,22,-0.1,3.2,10,-1,-1,9,11,0,0.00
1360,S,1,95,92,-0.1,0.1,10,0,0,10,10,0,0.00
1573,S,1,115,113,-0.1,-0.6,9,0,0,9,9,0,0.00
1573,S,1,114,112,-0.1,-0.5,8,0,0,8,8,0,0.00
1787,S,1,104,100,-0.1,-0.4,8,0,0,8,8,0,0.00
1787,S,1,100,99,-0.1,-0.3,8,0,0,8,8,0,0.00
1913,S,1,89,92,-0.1,-0.2,8,0,0,8,8,0,0.00
1914,S,1,16,16,-0.1,0.7,9,0,0,9,9,0,0.00
2019,S,1,84,84,-0.0,1.2,10,0,0,10,10,0,0.00
2232,S,1,116,116,0.0,1.1,9,0,0,9,9,0,0.00
2233,S,1,110,112,0.0,-0.0,9,0,0,9,9,0,0.00
2359,S,1,101,103,-0.0,-0.6,8,0,0,8,8,0,0.00
2360,S,1,17,17,-0.0,-0.5,9,0,0,9,9,0,0.00
2467,S,1,96,95,-0.1,-0.5,10,0,0,10,10,0,0.00
2592,S,1,117,115,-0.1,-0.5,9,0,0,9,9,0,0.00
2593,S,1,22,21,-0.1,-0.1,10,0,0,10,10,0,0.00
2699,S,1,95,95,-0.1,-0.1,10,0,0,10,10,0,0.00
2912,S,1,120,121,-0.2,-0.3,9,0,0,9,9,0,0.00
2912,S,1,116,114,-0.2,-0.2,8,0,0,8,8,0,0.00
3126,S,1,102,102,-0.1,-0.2,8,0,0,8,8,0,0.00
3127,S,1,94,92,-0.1,0.5,8,0,0,8,8,0,0.00
3253,S,1,87,88,-0.0,0.8,8,0,0,8,8,0,0.00
