t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
209,S,1,31,32,0.0,0.0,2,0,0,2,2,0,0.00
209,S,1,56,56,0.0,-0.1,3,0,0,3,3,0,0.00
327,S,1,70,73,0.2,-0.1,3,0,0,3,3,0,0.00
336,S,1,8,9,0.2,-0.1,4,0,0,4,4,0,0.00
441,S,1,77,80,-0.3,-0.8,5,0,0,5,5,0,0.00
625,S,1,81,83,-0.5,-1.1,5,1,0,6,4,0,0.00
626,S,1,56,58,-0.5,-1.7,7,1,1,8,6,0,0.00
832,S,1,80,80,-0.6,-2.3,9,1,1,10,8,0,0.00
833,S,1,65,64,-0.6,-0.9,10,1,0,11,9,0,0.00
962,S,1,94,100,-0.6,0.2,10,0,0,10,10,0,0.00
967,S,1,15,16,-0.6,0.7,11,0,0,11,11,0,0.00
1082,S,1,115,120,-1.4,-1.0,10,1,0,11,9,0,0.00
1266,S,1,126,117,-1.6,-2.1,9,2,1,11,7,0,0.00
1267,S,1,89,86,-1.6,0.6,9,1,0,10,8,0,0.00
1473,S,1,123,127,-0.9,2.9,9,0,-1,9,9,0,0.00
1473,S,1,96,93,-0.9,2.4,9,0,-1,9,9,0,0.00
1673,S,1,112,112,-0.8,1.9,9,0,-1,9,9,0,0.00
1673,S,1,86,86,-0.8,1.2,9,0,0,9,9,0,0.00
1873,S,1,103,104,-0.8,0.7,9,0,0,9,9,0,0.00
1873,S,1,80,78,-0.8,0.7,9,0,0,9,9,0,0.00
2073,S,1,105,101,-0.6,0.7,9,0,0,9,9,0,0.00
2073,S,1,83,82,-0.6,0.4,9,0,0,9,9,0,0.00
2273,S,1,109,108,-0.6,0.2,9,0,0,9,9,0,0.00
2273,S,1,87,87,-0.6,0.1,9,0,0,9,9,0,0.00
2473,S,1,111,110,-0.5,0.0,9,0,0,9,9,0,0.00
2473,S,1,86,84,-0.5,0.5,9,0,0,9,9,0,0.00
2602,S,1,107,106,-0.5,0.9,9,0,0,9,9,0,0.00
2607,S,1,15,16,-0.5,0.7,10,0,0,10,10,0,0.00
2721,S,1,109,111,-0.4,-0.2,10,0,0,10,10,0,0.00
2905,S,1,115,116,-0.7,-0.5,9,0,0,9,9,0,0.00
2905,S,1,77,78,-0.7,-1.2,9,1,0,10,8,0,0.00
3042,S,1,109,104,-0.7,-1.7,10,1,1,11,9,0,0.00
3047,S,1,17,14,-0.7,-1.4,10,1,0,11,9,0,0.00
3161,S,1,118,109,-0.0,1.1,9,0,0,9,9,0,0.00
3280,S,1,119,115,0.1,2.2,9,-1,-1,8,10,0,0.00
3288,S,1,7,8,0.1,3.1,10,-1,-1,9,11,0,0.00
3346,S,1,51,52,0.3,1.8,11,-1,-1,10,12,0,0.00
3574,S,1,125,124,0.2,0.5,10,0,0,10,10,0,0.00
3574,S,1,122,121,0.2,1.3,9,0,0,9,9,0,0.00
3693,S,1,113,111,0.2,1.7,8,-1,-1,7,9,0,0.00
3701,S,1,5,5,0.2,2.0,10,-1,-1,9,11,0,0.00
3807,S,1,95,104,0.0,-1.8,9,1,1,10,8,0,0.00
3925,S,1,100,100,-0.1,-3.8,9,1,1,10,8,0,0.00
3934,S,1,2,2,-0.1,-5.2,11,2,2,13,9,0,0.00
4039,S,1,107,97,0.0,0.8,10,0,0,10,10,0,0.00
4157,S,1,119,112,0.2,3.9,9,-1,-1,8,10,0,0.00
4166,S,1,14,13,0.2,5.5,10,-2,-2,8,12,0,0.00
4263,S,1,95,108,0.6,2.3,9,-1,-1,8,10,0,0.00
4385,S,1,107,120,0.5,0.3,8,0,0,8,8,0,0.00
4389,S,1,2,2,0.5,-4.4,10,1,1,11,9,0,0.00
4475,S,1,86,81,-0.8,-5.2,10,2,2,12,8,0,0.00
4669,S,1,123,107,-0.0,-5.2,9,2,2,11,7,0,0.00
4669,S,1,100,87,-0.0,1.9,9,0,-1,9,9,0,0.00
4867,S,1,113,114,1.0,5.5,8,-1,-2,7,9,0,0.00
4867,S,1,77,77,1.0,3.7,9,-1,-1,8,10,0,0.00
5067,S,1,103,106,0.6,2.4,9,-1,-1,8,10,0,0.00
5067,S,1,81,84,0.6,-0.2,9,0,0,9,9,0,0.00
5267,S,1,119,119,0.4,-2.2,9,1,1,10,8,0,0.00
5267,S,1,96,86,0.4,-0.5,9,0,0,9,9,0,0.00
5467,S,1,128,133,0.6,0.8,9,0,0,9,9,0,0.00
5468,S,1,96,95,0.6,0.1,9,0,0,9,9,0,0.00
5667,S,1,116,117,0.6,-0.3,8,0,0,8,8,0,0.00
5668,S,1,78,79,0.6,-0.5,8,0,0,8,8,0,0.00
5796,S,1,96,92,0.6,-0.6,8,0,0,8,8,0,0.00
5801,S,1,1,1,0.6,0.4,11,0,0,11,11,0,0.00
5895,S,1,80,78,0.9,0.5,10,0,0,10,10,0,0.00
6013,S,1,107,106,0.9,0.5,9,0,0,9,9,0,0.00
6021,S,1,4,4,0.9,0.6,11,0,0,11,11,0,0.00
6127,S,1,108,109,0.9,0.4,10,0,0,10,10,0,0.00
6245,S,1,118,116,0.9,0.4,9,0,0,9,9,0,0.00
6254,S,1,3,2,0.9,0.3,10,0,0,10,10,0,0.00
6359,S,1,112,107,1.2,0.2,9,0,0,9,9,0,0.00
6544,S,1,113,110,1.3,0.1,9,-1,0,8,10,0,0.00
6544,S,1,74,77,1.3,-0.2,9,0,0,9,9,0,0.00
6751,S,1,107,108,1.2,-0.4,9,0,0,9,9,0,0.00
6751,S,1,85,85,1.2,-0.0,9,0,0,9,9,0,0.00
6951,S,1,106,104,1.2,0.2,9,-1,0,8,10,0,0.00
6951,S,1,80,85,1.2,-0.6,9,0,0,9,9,0,0.00
7151,S,1,95,99,0.6,-1.1,9,0,0,9,9,0,0.00
7151,S,1,76,80,0.6,-1.6,9,0,0,9,9,0,0.00
7280,S,1,99,103,0.5,-1.9,9,0,1,9,9,0,0.00
7285,S,1,16,16,0.5,-2.7,10,1,1,11,9,0,0.00
7399,S,1,105,98,0.2,0.4,9,0,0,9,9,0,0.00
7517,S,1,107,105,0.3,2.2,9,-1,-1,8,10,0,0.00
7526,S,1,0,0,0.3,3.6,11,-1,-1,10,12,0,0.00
7622,S,1,96,101,0.3,0.5,10,0,0,10,10,0,0.00
7810,S,1,113,117,-0.2,-1.1,9,0,0,9,9,0,0.00
7811,S,1,81,85,-0.2,-2.1,9,1,1,10,8,0,0.00
7940,S,1,110,106,-0.2,-2.9,9,1,1,10,8,0,0.00
7948,S,1,8,8,-0.2,-3.1,10,1,1,11,9,0,0.00
8059,S,1,101,95,0.2,0.1,9,0,0,9,9,0,0.00
8248,S,1,98,96,0.4,1.7,9,-1,0,8,10,0,0.00
8248,S,1,70,73,0.4,-0.5,9,0,0,9,9,0,0.00
8376,S,1,102,101,0.3,-2.1,9,0,1,9,9,0,0.00
8385,S,1,1,0,0.3,-2.5,11,1,1,12,10,0,0.00
8490,S,1,114,105,0.4,1.8,10,-1,-1,9,11,0,0.00
8608,S,1,115,118,0.5,4.0,9,-1,-1,8,10,0,0.00
8616,S,1,13,14,0.5,5.2,9,-2,-2,7,11,0,0.00
8722,S,1,90,105,0.1,-0.1,9,0,0,9,9,0,0.00
8840,S,1,106,109,-0.0,-3.1,9,1,1,10,8,0,0.00
8848,S,1,6,6,-0.0,-5.4,10,2,2,12,8,0,0.00
8946,S,1,89,81,-0.9,-2.4,10,1,1,11,9,0,0.00
9067,S,1,109,106,-0.8,-0.8,9,1,0,10,8,0,0.00
9072,S,1,14,14,-0.8,1.5,10,0,0,10,10,0,0.00
9178,S,1,100,96,0.1,2.7,9,-1,-1,8,10,0,0.00
