HB:t=213,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=2,hd=0,dp=0,OL=2,OR=2
HB:t=214,m=S,run=1,el=32,er=33,yaw=-0.0,yr=-0.4,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=402,m=S,run=1,el=53,er=54,yaw=-0.1,yr=-0.6,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=403,m=S,run=1,el=51,er=51,yaw=-0.1,yr=-0.9,pc=4,hd=0,dp=0,OL=4,OR=4
HB:t=531,m=S,run=1,el=74,er=75,yaw=-0.2,yr=-1.2,pc=5,hd=0,dp=0,OL=5,OR=5
HB:t=540,m=S,run=1,el=2,er=2,yaw=-0.2,yr=-1.2,pc=6,hd=0,dp=0,OL=6,OR=6
HB:t=605,m=S,run=1,el=38,er=39,yaw=-0.2,yr=-0.5,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=745,m=S,run=1,el=68,er=71,yaw=-0.2,yr=-0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=745,m=S,run=1,el=14,er=16,yaw=-0.2,yr=-0.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=872,m=S,run=1,el=6,er=7,yaw=-0.6,yr=0.1,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=872,m=S,run=1,el=83,er=85,yaw=-0.6,yr=-0.7,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=1057,m=S,run=1,el=103,er=106,yaw=-0.9,yr=-1.1,pc=10,hd=1,dp=0,OL=11,OR=9
HB:t=1058,m=S,run=1,el=83,er=81,yaw=-0.9,yr=-1.1,pc=10,hd=1,dp=0,OL=11,OR=9
HB:t=1263,m=S,run=1,el=119,er=110,yaw=-0.2,yr=-1.1,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=1264,m=S,run=1,el=88,er=82,yaw=-0.2,yr=1.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=1463,m=S,run=1,el=119,er=117,yaw=0.1,yr=2.6,pc=10,hd=-1,dp=-1,OL=9,OR=11
HB:t=1464,m=S,run=1,el=92,er=94,yaw=0.1,yr=1.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=1593,m=S,run=1,el=125,er=126,yaw=0.1,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=1598,m=S,run=1,el=0,er=1,yaw=0.1,yr=-0.4,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=1711,m=S,run=1,el=118,er=117,yaw=0.2,yr=-0.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=1830,m=S,run=1,el=113,er=113,yaw=0.2,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=1838,m=S,run=1,el=4,er=4,yaw=0.2,yr=0.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=1936,m=S,run=1,el=97,er=98,yaw=0.2,yr=-0.7,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=2058,m=S,run=1,el=115,er=116,yaw=0.1,yr=-1.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=2063,m=S,run=1,el=16,er=17,yaw=0.1,yr=-2.4,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=2168,m=S,run=1,el=102,er=96,yaw=0.2,yr=0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=2357,m=S,run=1,el=114,er=111,yaw=0.5,yr=1.7,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=2357,m=S,run=1,el=81,er=86,yaw=0.5,yr=-0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=2485,m=S,run=1,el=111,er=112,yaw=0.4,yr=-1.8,pc=9,hd=0,dp=1,OL=9,OR=9
HB:t=2494,m=S,run=1,el=11,er=11,yaw=0.4,yr=-2.0,pc=10,hd=0,dp=1,OL=10,OR=10
HB:t=2598,m=S,run=1,el=98,er=96,yaw=0.1,yr=-0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=2782,m=S,run=1,el=111,er=110,yaw=0.3,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=2783,m=S,run=1,el=75,er=75,yaw=0.3,yr=-0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=2998,m=S,run=1,el=107,er=108,yaw=0.2,yr=-1.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=2999,m=S,run=1,el=97,er=99,yaw=0.2,yr=-1.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=3117,m=S,run=1,el=108,er=108,yaw=0.2,yr=-1.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=3125,m=S,run=1,el=7,er=7,yaw=0.2,yr=-1.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=3231,m=S,run=1,el=99,er=96,yaw=0.1,yr=0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=3349,m=S,run=1,el=112,er=113,yaw=0.1,yr=0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=3357,m=S,run=1,el=5,er=5,yaw=0.1,yr=1.4,pc=10,hd=0,dp=0,OL=10,OR=10
