t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,30,31,-0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,2,3,-0.0,0.0,3,0,0,3,3,0,0.00
225,S,1,40,42,-0.0,0.0,4,0,0,4,4,0,0.00
347,S,1,70,68,-0.2,0.0,4,0,0,4,4,0,0.00
351,S,1,12,12,-0.2,0.0,5,0,0,5,5,0,0.00
452,S,1,62,62,-0.1,0.3,6,0,0,6,6,0,0.00
570,S,1,75,76,-0.1,0.5,7,0,0,7,7,0,0.00
578,S,1,3,4,-0.1,0.6,8,0,0,8,8,0,0.00
684,S,1,72,72,-0.2,0.0,10,0,0,10,10,0,0.00
870,S,1,88,88,-0.2,-0.3,10,0,0,10,10,0,0.00
870,S,1,73,73,-0.2,0.2,10,0,0,10,10,0,0.00
1005,S,1,120,119,-0.1,0.5,10,0,0,10,10,0,0.00
1010,S,1,19,18,-0.1,0.7,10,0,0,10,10,0,0.00
1123,S,1,116,116,-0.1,0.3,9,0,0,9,9,0,0.00
1242,S,1,107,106,-0.1,-0.0,9,0,0,9,9,0,0.00
1250,S,1,3,3,-0.1,-0.3,11,0,0,11,11,0,0.00
1347,S,1,96,96,-0.2,-0.3,10,0,0,10,10,0,0.00
1469,S,1,115,115,-0.2,-0.2,9,0,0,9,9,0,0.00
1474,S,1,17,16,-0.2,0.0,10,0,0,10,10,0,0.00
1579,S,1,100,104,-0.3,-1.2,10,0,0,10,10,0,0.00
1767,S,1,113,117,-0.7,-1.9,9,1,1,10,8,0,0.00
1768,S,1,82,79,-0.7,-0.3,9,0,0,9,9,0,0.00
1896,S,1,107,107,-0.6,0.8,9,0,0,9,9,0,0.00
1905,S,1,11,11,-0.6,1.0,10,0,0,10,10,0,0.00
2010,S,1,100,98,-0.4,0.4,10,0,0,10,10,0,0.00
2194,S,1,114,115,-0.5,0.0,9,0,0,9,9,0,0.00
2194,S,1,79,80,-0.5,-0.4,9,0,0,9,9,0,0.00
2410,S,1,118,116,-0.4,-0.8,10,0,0,10,10,0,0.00
2411,S,1,105,103,-0.4,-0.4,9,0,0,9,9,0,0.00
2529,S,1,109,108,-0.4,-0.2,8,0,0,8,8,0,0.00
2537,S,1,6,6,-0.4,-0.1,10,0,0,10,10,0,0.00
2643,S,1,91,95,-0.4,-0.7,10,0,0,10,10,0,0.00
2762,S,1,103,106,-0.4,-1.1,9,1,0,10,8,0,0.00
