HB:t=11,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=147,m=S,run=1,el=1,er=9,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=187,m=S,run=1,el=0,er=1,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=203,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=333,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=380,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=392,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=413,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=531,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=578,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=593,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.8,pc=0,hd=0,OL=0,OR=0
HB:t=613,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.2,pc=0,hd=0,OL=0,OR=0
HB:t=732,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.1,pc=0,hd=0,OL=0,OR=0
HB:t=779,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.1,pc=0,hd=0,OL=0,OR=0
HB:t=791,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.1,pc=0,hd=0,OL=0,OR=0
HB:t=814,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=932,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=979,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
