HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=122,m=S,run=1,el=0,er=68,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=126,m=S,run=1,el=1,er=11,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=146,m=S,run=1,el=0,er=5,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=166,m=S,run=1,el=2,er=4,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=206,m=S,run=1,el=14,er=12,yaw=-1.0,yr=-7.3,pc=4,hd=0,OL=4,OR=4
HB:t=373,m=S,run=1,el=54,er=39,yaw=-5.9,yr=-20.7,pc=5,hd=0,OL=5,OR=5
HB:t=373,m=S,run=1,el=37,er=29,yaw=-5.9,yr=-20.7,pc=6,hd=2,OL=8,OR=4
HB:t=393,m=S,run=1,el=7,er=4,yaw=-5.9,yr=-20.7,pc=7,hd=3,OL=10,OR=4
HB:t=528,m=S,run=1,el=94,er=65,yaw=-4.9,yr=-11.0,pc=7,hd=4,OL=11,OR=3
HB:t=531,m=S,run=1,el=2,er=2,yaw=-4.9,yr=-11.0,pc=8,hd=2,OL=10,OR=6
HB:t=551,m=S,run=1,el=10,er=7,yaw=-4.9,yr=-11.0,pc=9,hd=2,OL=11,OR=7
HB:t=571,m=S,run=1,el=10,er=7,yaw=-4.9,yr=-11.0,pc=9,hd=2,OL=11,OR=7
HB:t=621,m=S,run=1,el=55,er=37,yaw=-4.6,yr=-4.8,pc=11,hd=2,OL=13,OR=9
HB:t=757,m=S,run=1,el=133,er=88,yaw=-2.3,yr=4.3,pc=10,hd=2,OL=12,OR=8
HB:t=757,m=S,run=1,el=42,er=28,yaw=-2.3,yr=4.3,pc=10,hd=1,OL=11,OR=9
HB:t=777,m=S,run=1,el=14,er=9,yaw=-2.3,yr=4.3,pc=10,hd=1,OL=11,OR=9
HB:t=797,m=S,run=1,el=14,er=10,yaw=-2.3,yr=4.3,pc=10,hd=1,OL=11,OR=9
HB:t=841,m=S,run=1,el=54,er=37,yaw=-0.3,yr=16.8,pc=10,hd=0,OL=10,OR=10
HB:t=977,m=S,run=1,el=134,er=103,yaw=2.8,yr=21.1,pc=9,hd=0,OL=9,OR=9
HB:t=977,m=S,run=1,el=35,er=29,yaw=2.8,yr=21.1,pc=9,hd=-1,OL=8,OR=10
HB:t=997,m=S,run=1,el=11,er=11,yaw=2.8,yr=21.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1017,m=S,run=1,el=11,er=11,yaw=2.8,yr=21.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1061,m=S,run=1,el=45,er=43,yaw=5.4,yr=31.8,pc=10,hd=-2,OL=8,OR=12
HB:t=1197,m=S,run=1,el=111,er=124,yaw=7.3,yr=26.9,pc=9,hd=-4,OL=5,OR=13
HB:t=1197,m=S,run=1,el=31,er=38,yaw=7.3,yr=26.9,pc=9,hd=-3,OL=6,OR=12
HB:t=1217,m=S,run=1,el=10,er=12,yaw=7.3,yr=26.9,pc=10,hd=-3,OL=7,OR=13
HB:t=1237,m=S,run=1,el=10,er=13,yaw=7.3,yr=26.9,pc=10,hd=-4,OL=6,OR=14
HB:t=1281,m=S,run=1,el=41,er=53,yaw=7.8,yr=21.5,pc=10,hd=-3,OL=7,OR=13
HB:t=1416,m=S,run=1,el=111,er=147,yaw=7.3,yr=12.2,pc=9,hd=-5,OL=4,OR=14
HB:t=1417,m=S,run=1,el=29,er=43,yaw=7.3,yr=12.2,pc=9,hd=-3,OL=6,OR=12
HB:t=1437,m=S,run=1,el=9,er=15,yaw=7.3,yr=12.2,pc=10,hd=-3,OL=7,OR=13
HB:t=1457,m=S,run=1,el=9,er=15,yaw=7.3,yr=12.2,pc=10,hd=-3,OL=7,OR=13
HB:t=1500,m=S,run=1,el=37,er=57,yaw=6.0,yr=-1.4,pc=10,hd=-2,OL=8,OR=12
HB:t=1636,m=S,run=1,el=100,er=144,yaw=2.9,yr=-11.0,pc=9,hd=-2,OL=7,OR=11
HB:t=1636,m=S,run=1,el=28,er=40,yaw=2.9,yr=-11.0,pc=9,hd=-1,OL=8,OR=10
HB:t=1656,m=S,run=1,el=10,er=13,yaw=2.9,yr=-11.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1676,m=S,run=1,el=9,er=13,yaw=2.9,yr=-11.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1720,m=S,run=1,el=37,er=51,yaw=-0.1,yr=-28.2,pc=10,hd=0,OL=10,OR=10
HB:t=1890,m=S,run=1,el=107,er=133,yaw=-5.2,yr=-35.1,pc=9,hd=1,OL=10,OR=8
