t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
107,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
127,S,1,1,3,0.0,0.0,1,0,1,1,0,0.00
147,S,1,1,4,0.0,0.0,1,0,1,1,0,0.00
167,S,1,2,3,0.0,0.0,1,0,1,1,0,0.00
187,S,1,2,3,0.0,0.0,2,0,2,2,0,0.00
393,S,1,109,96,0.0,0.0,1,0,1,1,0,0.00
522,S,1,78,68,0.2,0.3,1,0,1,1,0,0.00
525,S,1,12,10,0.2,0.3,2,0,2,2,0,0.00
545,S,1,8,7,0.2,0.3,2,0,2,2,0,0.00
565,S,1,8,7,0.2,0.3,3,0,3,3,0,0.00
585,S,1,7,7,0.2,0.3,3,0,3,3,0,0.00
706,S,1,82,69,0.2,0.3,3,0,3,3,0,0.00
809,S,1,64,56,1.6,2.7,5,0,5,5,0,0.00
915,S,1,70,58,1.6,2.7,5,0,5,5,0,0.00
935,S,1,7,6,1.6,2.7,6,0,6,6,0,0.00
955,S,1,7,6,1.6,2.7,6,0,6,6,0,0.00
975,S,1,7,6,1.6,2.7,7,0,7,7,0,0.00
995,S,1,7,6,1.6,2.7,7,0,7,7,0,0.00
1126,S,1,89,77,3.2,4.5,7,0,7,7,0,0.00
1146,S,1,7,5,3.2,4.5,8,0,8,8,0,0.00
1166,S,1,7,6,3.2,4.5,9,0,9,9,0,0.00
1186,S,1,9,6,3.2,4.5,9,0,9,9,0,0.00
1206,S,1,8,8,3.2,4.5,9,0,9,9,0,0.00
1401,S,1,102,87,4.7,4.7,9,0,9,9,0,0.00
1402,S,1,87,75,4.7,4.7,9,0,9,9,0,0.00
1515,S,1,108,95,4.7,4.7,8,0,8,8,0,0.00
1535,S,1,10,9,4.7,4.7,9,0,9,9,0,0.00
1555,S,1,10,9,4.7,4.7,10,0,10,10,0,0.00
1575,S,1,11,9,4.7,4.7,9,0,9,9,0,0.00
1595,S,1,10,9,4.7,4.7,10,0,10,10,0,0.00
1690,S,1,101,87,9.3,11.1,9,0,9,9,0,0.00
1797,S,1,113,96,9.3,11.1,8,0,8,8,0,0.00
1817,S,1,10,9,9.3,11.1,9,0,9,9,0,0.00
1837,S,1,10,9,9.3,11.1,9,0,9,9,0,0.00
1857,S,1,10,8,9.3,11.1,10,0,10,10,0,0.00
1877,S,1,9,9,9.3,11.1,10,0,10,10,0,0.00
2064,S,1,184,163,9.8,8.2,7,-1,6,8,0,0.00
2084,S,1,10,9,9.8,8.2,9,-1,8,10,0,0.00
2304,S,1,104,94,13.8,11.1,8,-1,7,9,0,0.00
2305,S,1,99,88,13.8,11.1,8,-1,7,9,0,0.00
2411,S,1,95,85,13.8,11.1,8,-1,7,9,0,0.00
2431,S,1,9,8,13.8,11.1,9,-1,8,10,0,0.00
2451,S,1,9,9,13.8,11.1,9,-1,8,10,0,0.00
2471,S,1,9,9,13.8,11.1,10,-1,9,11,0,0.00
2491,S,1,9,9,13.8,11.1,10,-1,9,11,0,0.00
2572,S,1,74,77,14.2,8.0,9,-1,8,10,0,0.00
2679,S,1,105,111,14.2,8.0,8,-1,7,9,0,0.00
2699,S,1,10,10,14.2,8.0,9,-1,8,10,0,0.00
2719,S,1,10,9,14.2,8.0,9,-1,8,10,0,0.00
2739,S,1,9,10,14.2,8.0,9,-1,8,10,0,0.00
2759,S,1,9,10,14.2,8.0,10,-1,9,11,0,0.00
2972,S,1,204,219,14.3,5.4,7,-1,6,8,0,0.00
3090,S,1,94,104,14.2,3.3,7,-1,6,8,0,0.00
3099,S,1,4,5,14.2,3.3,8,-1,7,9,0,0.00
3119,S,1,8,10,14.2,3.3,9,-1,8,10,0,0.00
3139,S,1,7,9,14.2,3.3,10,-1,9,11,0,0.00
3159,S,1,8,9,14.2,3.3,10,-1,9,11,0,0.00
3278,S,1,97,111,14.2,3.3,9,-1,8,10,0,0.00
3377,S,1,79,89,12.9,-0.2,9,-1,8,10,0,0.00
3483,S,1,93,105,12.9,-0.2,8,-1,7,9,0,0.00
3503,S,1,8,10,12.9,-0.2,9,-1,8,10,0,0.00
3523,S,1,9,10,12.9,-0.2,9,-1,8,10,0,0.00
3543,S,1,9,10,12.9,-0.2,9,-1,8,10,0,0.00
3563,S,1,9,10,12.9,-0.2,10,-1,9,11,0,0.00
3752,S,1,163,190,10.7,-4.0,7,-1,6,8,0,0.00
3772,S,1,9,11,10.7,-4.0,9,-1,8,10,0,0.00
3990,S,1,94,112,6.2,-9.2,8,-1,7,9,0,0.00
3990,S,1,90,105,6.2,-9.2,8,0,8,8,0,0.00
4097,S,1,85,95,6.2,-9.2,7,0,7,7,0,0.00
4117,S,1,8,9,6.2,-9.2,9,0,9,9,0,0.00
4137,S,1,8,9,6.2,-9.2,9,0,9,9,0,0.00
4157,S,1,9,9,6.2,-9.2,10,0,10,10,0,0.00
4177,S,1,8,10,6.2,-9.2,10,0,10,10,0,0.00
4307,S,1,107,121,5.7,-6.8,9,0,9,9,0,0.00
4327,S,1,9,10,5.7,-6.8,9,0,9,9,0,0.00
4347,S,1,9,9,5.7,-6.8,9,0,9,9,0,0.00
4367,S,1,8,10,5.7,-6.8,10,0,10,10,0,0.00
4387,S,1,8,10,5.7,-6.8,10,0,10,10,0,0.00
4583,S,1,99,111,4.3,-6.1,9,0,9,9,0,0.00
4583,S,1,79,88,4.3,-6.1,8,0,8,8,0,0.00
4696,S,1,101,109,4.3,-6.1,8,0,8,8,0,0.00
4716,S,1,9,10,4.3,-6.1,9,0,9,9,0,0.00
4736,S,1,9,10,4.3,-6.1,9,0,9,9,0,0.00
4756,S,1,9,10,4.3,-6.1,10,0,10,10,0,0.00
4776,S,1,10,11,4.3,-6.1,10,0,10,10,0,0.00
4799,S,1,21,23,1.8,-8.3,10,0,10,10,0,0.00
4905,S,1,105,119,1.8,-8.3,8,0,8,8,0,0.00
4925,S,1,10,11,1.8,-8.3,9,0,9,9,0,0.00
4945,S,1,10,12,1.8,-8.3,9,0,9,9,0,0.00
4965,S,1,10,10,1.8,-8.3,9,0,9,9,0,0.00
4985,S,1,10,11,1.8,-8.3,9,0,9,9,0,0.00
5192,S,1,193,207,0.2,-8.3,7,0,7,7,0,0.00
5316,S,1,96,104,-1.5,-8.0,7,0,7,7,0,0.00
5324,S,1,10,11,-1.5,-8.0,8,0,8,8,0,0.00
5344,S,1,8,8,-1.5,-8.0,9,0,9,9,0,0.00
5364,S,1,8,9,-1.5,-8.0,10,0,10,10,0,0.00
5384,S,1,7,9,-1.5,-8.0,10,0,10,10,0,0.00
5505,S,1,90,101,-1.5,-8.0,9,0,9,9,0,0.00
5603,S,1,89,94,-2.8,-7.5,9,0,9,9,0,0.00
5710,S,1,98,104,-2.8,-7.5,8,0,8,8,0,0.00
5730,S,1,9,9,-2.8,-7.5,9,0,9,9,0,0.00
5750,S,1,9,9,-2.8,-7.5,9,0,9,9,0,0.00
5770,S,1,9,10,-2.8,-7.5,9,0,9,9,0,0.00
5790,S,1,9,10,-2.8,-7.5,10,0,10,10,0,0.00
5920,S,1,118,129,-4.2,-7.3,8,0,8,8,0,0.00
5940,S,1,10,11,-4.2,-7.3,9,0,9,9,0,0.00
5960,S,1,9,11,-4.2,-7.3,9,0,9,9,0,0.00
5980,S,1,9,11,-4.2,-7.3,9,0,9,9,0,0.00
6000,S,1,9,10,-4.2,-7.3,9,0,9,9,0,0.00
6196,S,1,103,112,-5.3,-6.0,8,0,8,8,0,0.00
6196,S,1,76,79,-5.3,-6.0,8,0,8,8,0,0.00
6309,S,1,98,103,-5.3,-6.0,9,0,9,9,0,0.00
