HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=107,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=127,m=S,run=1,el=1,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=147,m=S,run=1,el=1,er=4,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=167,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=187,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=393,m=S,run=1,el=109,er=96,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=522,m=S,run=1,el=78,er=68,yaw=0.2,yr=0.3,pc=1,hd=0,OL=1,OR=1
HB:t=525,m=S,run=1,el=12,er=10,yaw=0.2,yr=0.3,pc=2,hd=0,OL=2,OR=2
HB:t=545,m=S,run=1,el=8,er=7,yaw=0.2,yr=0.3,pc=2,hd=0,OL=2,OR=2
HB:t=565,m=S,run=1,el=8,er=7,yaw=0.2,yr=0.3,pc=3,hd=0,OL=3,OR=3
HB:t=585,m=S,run=1,el=7,er=7,yaw=0.2,yr=0.3,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=82,er=69,yaw=0.2,yr=0.3,pc=3,hd=0,OL=3,OR=3
HB:t=809,m=S,run=1,el=64,er=56,yaw=1.6,yr=2.7,pc=5,hd=0,OL=5,OR=5
HB:t=915,m=S,run=1,el=70,er=58,yaw=1.6,yr=2.7,pc=5,hd=0,OL=5,OR=5
HB:t=935,m=S,run=1,el=7,er=6,yaw=1.6,yr=2.7,pc=6,hd=0,OL=6,OR=6
HB:t=955,m=S,run=1,el=7,er=6,yaw=1.6,yr=2.7,pc=6,hd=0,OL=6,OR=6
HB:t=975,m=S,run=1,el=7,er=6,yaw=1.6,yr=2.7,pc=7,hd=0,OL=7,OR=7
HB:t=995,m=S,run=1,el=7,er=6,yaw=1.6,yr=2.7,pc=7,hd=0,OL=7,OR=7
HB:t=1126,m=S,run=1,el=89,er=77,yaw=3.2,yr=4.5,pc=7,hd=0,OL=7,OR=7
HB:t=1146,m=S,run=1,el=7,er=5,yaw=3.2,yr=4.5,pc=8,hd=0,OL=8,OR=8
HB:t=1166,m=S,run=1,el=7,er=6,yaw=3.2,yr=4.5,pc=9,hd=0,OL=9,OR=9
HB:t=1186,m=S,run=1,el=9,er=6,yaw=3.2,yr=4.5,pc=9,hd=0,OL=9,OR=9
HB:t=1206,m=S,run=1,el=8,er=8,yaw=3.2,yr=4.5,pc=9,hd=0,OL=9,OR=9
HB:t=1401,m=S,run=1,el=102,er=87,yaw=4.7,yr=4.7,pc=9,hd=0,OL=9,OR=9
HB:t=1402,m=S,run=1,el=87,er=75,yaw=4.7,yr=4.7,pc=9,hd=0,OL=9,OR=9
HB:t=1515,m=S,run=1,el=108,er=95,yaw=4.7,yr=4.7,pc=8,hd=0,OL=8,OR=8
HB:t=1535,m=S,run=1,el=10,er=9,yaw=4.7,yr=4.7,pc=9,hd=0,OL=9,OR=9
HB:t=1555,m=S,run=1,el=10,er=9,yaw=4.7,yr=4.7,pc=10,hd=0,OL=10,OR=10
HB:t=1575,m=S,run=1,el=11,er=9,yaw=4.7,yr=4.7,pc=9,hd=0,OL=9,OR=9
HB:t=1595,m=S,run=1,el=10,er=9,yaw=4.7,yr=4.7,pc=10,hd=0,OL=10,OR=10
HB:t=1690,m=S,run=1,el=101,er=87,yaw=9.3,yr=11.1,pc=9,hd=0,OL=9,OR=9
