t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
12,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
148,S,1,13,13,0.0,0.0,-2,0,-2,-2,0,0.00
188,S,1,3,3,0.0,0.0,4,0,4,4,0,0.00
205,S,1,-1,-1,0.0,0.2,6,0,6,6,0,0.00
335,S,1,14,15,0.0,0.4,-1,0,-1,-1,0,0.00
380,S,1,1,1,0.1,1.0,6,0,6,6,0,0.00
392,S,1,2,2,0.1,0.6,6,0,6,6,0,0.00
413,S,1,2,1,0.1,0.1,6,0,6,6,0,0.00
531,S,1,21,21,0.1,0.1,-4,0,-4,-4,0,0.00
578,S,1,0,-1,0.1,0.6,8,0,8,8,0,0.00
590,S,1,4,4,0.2,0.3,6,0,6,6,0,0.00
613,S,1,5,5,0.2,0.3,5,0,5,5,0,0.00
732,S,1,25,27,0.2,0.2,-5,0,-5,-5,0,0.00
778,S,1,0,-2,0.3,1.1,10,0,10,10,0,0.00
790,S,1,4,5,0.2,0.2,7,0,7,7,0,0.00
813,S,1,4,5,0.2,-0.1,7,0,7,7,0,0.00
931,S,1,38,37,0.3,0.0,-11,0,-11,-11,0,0.00
978,S,1,-3,-2,0.4,1.5,12,0,12,12,0,0.00
990,S,1,7,6,0.3,-0.3,7,0,7,7,0,0.00
1013,S,1,4,4,0.3,-0.4,9,0,9,9,0,0.00
1131,S,1,50,50,0.3,-0.1,-17,0,-17,-17,0,0.00
1178,S,1,-3,-5,0.4,1.3,15,0,15,15,0,0.00
1190,S,1,6,5,0.5,0.7,9,0,9,9,0,0.00
1213,S,1,6,5,0.4,0.0,9,0,9,9,0,0.00
1331,S,1,50,48,0.5,0.1,-15,0,-15,-15,0,0.00
1377,S,1,-2,-4,0.7,2.4,15,0,15,15,0,0.00
1390,S,1,8,6,0.6,0.7,10,0,10,10,0,0.00
1413,S,1,6,6,0.6,-0.4,10,0,10,10,0,0.00
1531,S,1,62,58,0.7,0.0,-20,0,-20,-20,0,0.00
1578,S,1,-3,-4,1.0,3.3,17,0,17,17,0,0.00
1590,S,1,8,8,1.0,2.5,10,0,10,10,0,0.00
1613,S,1,7,5,1.0,-0.3,12,0,12,12,0,0.00
1731,S,1,74,67,1.0,-0.2,-25,0,-25,-25,0,0.00
1778,S,1,-5,-5,1.3,4.0,19,0,19,19,0,0.00
1790,S,1,9,8,1.3,1.0,12,0,12,12,0,0.00
1813,S,1,7,9,1.2,-1.5,12,0,12,12,0,0.00
1931,S,1,77,76,1.3,-0.7,-27,0,-27,-27,0,0.00
1978,S,1,-5,-7,1.6,3.8,21,0,21,21,0,0.00
1990,S,1,10,9,1.6,1.5,12,0,12,12,0,0.00
2013,S,1,7,9,1.6,0.1,13,0,13,13,0,0.00
2131,S,1,84,83,1.7,0.5,-32,0,-32,-32,0,0.00
2177,S,1,-6,-8,2.1,5.0,22,0,22,22,0,0.00
2190,S,1,9,8,2.1,2.5,12,0,12,12,0,0.00
2213,S,1,9,9,2.1,1.0,12,0,12,12,0,0.00
2331,S,1,81,77,2.2,0.9,-29,0,-29,-29,0,0.00
2378,S,1,-5,-8,2.5,3.8,21,-1,20,22,0,0.00
2390,S,1,9,9,2.8,5.8,12,0,12,12,0,0.00
2413,S,1,11,9,2.9,4.3,11,0,11,11,0,0.00
2531,S,1,81,71,2.9,2.8,-27,0,-27,-27,0,0.00
2577,S,1,-6,-6,3.2,4.1,21,-1,20,22,0,0.00
2590,S,1,9,9,3.5,6.6,12,0,12,12,0,0.00
2613,S,1,10,7,3.6,3.7,12,0,12,12,0,0.00
2731,S,1,87,77,3.6,2.3,-31,0,-31,-31,0,0.00
2778,S,1,-8,-8,4.1,6.5,22,-1,21,23,0,0.00
2790,S,1,8,9,4.3,5.7,12,-1,11,13,0,0.00
2813,S,1,10,10,4.4,3.3,11,-1,10,12,0,0.00
2931,S,1,78,80,4.3,2.1,-29,-1,-30,-28,0,0.00
2978,S,1,-7,-7,4.5,2.4,21,-1,20,22,0,0.00
2990,S,1,9,8,4.5,1.4,12,-1,11,13,0,0.00
3013,S,1,8,10,4.5,0.2,12,-1,11,13,0,0.00
3131,S,1,79,84,4.6,0.3,-31,-1,-32,-30,0,0.00
3178,S,1,-10,-7,4.5,-0.7,22,0,22,22,0,0.00
3190,S,1,8,9,4.6,1.0,12,-1,11,13,0,0.00
3213,S,1,9,9,4.6,0.4,12,-1,11,13,0,0.00
3331,S,1,76,80,4.6,0.2,-29,-1,-30,-28,0,0.00
3378,S,1,-8,-5,4.5,-1.3,21,-1,20,22,0,0.00
3390,S,1,8,9,4.7,2.1,12,-1,11,13,0,0.00
3413,S,1,10,8,4.8,2.9,12,-1,11,13,0,0.00
3531,S,1,82,77,4.7,1.7,-30,-1,-31,-29,0,0.00
3578,S,1,-8,-9,4.7,-0.9,22,-1,21,23,0,0.00
3590,S,1,8,8,4.7,-0.1,12,-1,11,13,0,0.00
3613,S,1,9,9,4.7,-0.3,12,-1,11,13,0,0.00
3731,S,1,77,76,4.7,-0.2,-28,-1,-29,-27,0,0.00
3778,S,1,-5,-8,4.8,0.7,21,-1,20,22,0,0.00
3790,S,1,8,9,4.5,-3.3,12,-1,11,13,0,0.00
3813,S,1,6,11,4.4,-3.8,12,-1,11,13,0,0.00
3931,S,1,76,82,4.5,-2.0,-29,-1,-30,-28,0,0.00
3978,S,1,-7,-5,4.5,-0.2,21,0,21,21,0,0.00
3990,S,1,9,9,4.3,-3.3,12,-1,11,13,0,0.00
4013,S,1,8,11,4.1,-4.8,11,-1,10,12,0,0.00
4131,S,1,74,81,4.2,-2.8,-28,-1,-29,-27,0,0.00
4178,S,1,-8,-4,4.1,-1.7,21,0,21,21,0,0.00
4190,S,1,8,9,4.0,-1.3,12,0,12,12,0,0.00
4213,S,1,9,8,4.0,-2.2,12,0,12,12,0,0.00
4331,S,1,81,80,4.0,-1.4,-30,0,-30,-30,0,0.00
4378,S,1,-8,-4,4.0,-0.1,21,-1,20,22,0,0.00
4390,S,1,9,9,4.0,0.1,12,0,12,12,0,0.00
4413,S,1,9,9,4.0,-0.2,12,0,12,12,0,0.00
4531,S,1,81,78,4.0,-0.1,-30,0,-30,-30,0,0.00
4578,S,1,-7,-8,4.1,0.9,22,-1,21,23,0,0.00
4590,S,1,10,9,4.1,0.1,11,-1,10,12,0,0.00
4613,S,1,9,10,4.1,0.2,11,-1,10,12,0,0.00
4761,S,1,75,80,4.2,0.3,-28,-1,-29,-27,0,0.00
4778,S,1,37,40,4.0,-0.7,-5,0,-5,-5,0,0.00
4790,S,1,-1,-3,4.0,-0.8,18,0,18,18,0,0.00
4813,S,1,11,10,3.9,-2.1,11,0,11,11,0,0.00
4931,S,1,79,83,3.7,-2.1,-31,0,-31,-31,0,0.00
4978,S,1,-9,-8,3.7,-1.0,22,0,22,22,0,0.00
4990,S,1,8,8,3.6,-2.6,12,0,12,12,0,0.00
5013,S,1,8,9,3.5,-3.2,12,0,12,12,0,0.00
5131,S,1,79,82,3.5,-2.0,-30,0,-30,-30,0,0.00
5178,S,1,-9,-6,3.4,-0.8,21,0,21,21,0,0.00
5190,S,1,7,9,3.5,0.1,12,0,12,12,0,0.00
5213,S,1,10,9,3.6,2.1,11,0,11,11,0,0.00
5331,S,1,79,77,3.5,1.2,-29,0,-29,-29,0,0.00
5378,S,1,-7,-6,3.6,1.5,21,-1,20,22,0,0.00
5390,S,1,9,10,3.5,-0.3,11,0,11,11,0,0.00
5413,S,1,8,8,3.5,-1.4,12,0,12,12,0,0.00
5531,S,1,76,72,3.5,-0.7,-27,0,-27,-27,0,0.00
5577,S,1,-1,-5,3.8,3.4,19,-1,18,20,0,0.00
5590,S,1,8,9,3.7,0.0,12,0,12,12,0,0.00
5613,S,1,7,10,3.6,-2.2,12,0,12,12,0,0.00
5731,S,1,82,78,3.7,-1.1,-30,0,-30,-30,0,0.00
5777,S,1,-5,-8,4.0,4.0,21,-1,20,22,0,0.00
5790,S,1,9,10,4.0,1.4,11,0,11,11,0,0.00
5813,S,1,9,10,3.9,-1.4,11,0,11,11,0,0.00
5931,S,1,78,78,3.9,-0.8,-29,0,-29,-29,0,0.00
5977,S,1,-7,-5,4.1,2.6,20,-1,19,21,0,0.00
5990,S,1,8,8,4.0,-0.1,12,-1,11,13,0,0.00
6013,S,1,8,9,4.0,-1.2,12,0,12,12,0,0.00
6131,S,1,81,80,4.0,-0.5,-30,-1,-31,-29,0,0.00
6177,S,1,-7,-6,4.2,1.7,21,-1,20,22,0,0.00
6190,S,1,8,8,4.1,-0.6,12,-1,11,13,0,0.00
6213,S,1,9,11,4.0,-2.8,11,0,11,11,0,0.00
6331,S,1,82,83,4.0,-1.7,-32,-1,-33,-31,0,0.00
6377,S,1,-10,-6,4.3,2.4,22,-1,21,23,0,0.00
6390,S,1,8,9,4.4,2.3,12,-1,11,13,0,0.00
6413,S,1,9,9,4.4,2.4,11,-1,10,12,0,0.00
6531,S,1,78,76,4.4,1.3,-28,-1,-29,-27,0,0.00
6577,S,1,-5,-6,4.2,-2.2,20,-1,19,21,0,0.00
6589,S,1,9,9,4.2,-1.0,11,-1,10,12,0,0.00
6613,S,1,8,9,4.1,-1.9,12,-1,11,13,0,0.00
6731,S,1,78,85,4.1,-1.2,-31,-1,-32,-30,0,0.00
6777,S,1,-7,-6,4.1,-0.8,21,0,21,21,0,0.00
6789,S,1,9,9,3.9,-2.6,11,0,11,11,0,0.00
6813,S,1,8,10,3.8,-3.3,11,0,11,11,0,0.00
6931,S,1,76,80,3.8,-2.2,-29,0,-29,-29,0,0.00
6977,S,1,-8,-8,3.8,0.8,22,0,22,22,0,0.00
6989,S,1,8,8,3.8,-0.3,12,0,12,12,0,0.00
7013,S,1,8,8,3.8,-0.7,12,0,12,12,0,0.00
7131,S,1,75,75,3.8,-0.4,-27,0,-27,-27,0,0.00
7177,S,1,-4,-5,3.8,0.5,19,-1,18,20,0,0.00
7189,S,1,9,9,3.7,-1.8,11,0,11,11,0,0.00
7213,S,1,8,9,3.6,-1.9,12,0,12,12,0,0.00
7331,S,1,82,78,3.7,-1.0,-30,0,-30,-30,0,0.00
7377,S,1,-5,-5,3.9,2.0,20,-1,19,21,0,0.00
7389,S,1,8,8,3.8,-0.0,12,0,12,12,0,0.00
7413,S,1,7,8,3.7,-2.2,12,0,12,12,0,0.00
7531,S,1,77,74,3.8,-1.3,-28,0,-28,-28,0,0.00
7577,S,1,-4,-5,4.0,2.4,19,-1,18,20,0,0.00
7589,S,1,8,9,3.8,-0.8,12,0,12,12,0,0.00
7613,S,1,5,9,3.7,-2.8,12,0,12,12,0,0.00
7730,S,1,76,77,3.8,-1.6,-28,0,-28,-28,0,0.00
7777,S,1,-5,-7,3.9,2.9,20,-1,19,21,0,0.00
7789,S,1,10,10,3.7,-1.6,11,0,11,11,0,0.00
7813,S,1,5,9,3.6,-2.4,12,0,12,12,0,0.00
7931,S,1,77,81,3.8,-1.0,-30,-1,-31,-29,0,0.00
7977,S,1,-4,-3,3.9,2.1,19,0,19,19,0,0.00
7989,S,1,9,9,3.7,-2.5,11,0,11,11,0,0.00
8013,S,1,7,9,3.5,-4.9,12,0,12,12,0,0.00
8131,S,1,79,82,3.5,-2.9,-31,0,-31,-31,0,0.00
8177,S,1,-6,-6,3.7,2.0,20,0,20,20,0,0.00
8189,S,1,8,9,3.8,1.9,11,0,11,11,0,0.00
8213,S,1,9,7,3.8,0.2,12,0,12,12,0,0.00
8331,S,1,80,75,3.8,0.1,-29,0,-29,-29,0,0.00
8376,S,1,-5,-1,3.9,1.9,18,-1,17,19,0,0.00
