HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=107,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=127,m=S,run=1,el=3,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=147,m=S,run=1,el=2,er=4,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=167,m=S,run=1,el=3,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=187,m=S,run=1,el=3,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=335,m=S,run=1,el=63,er=50,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=355,m=S,run=1,el=6,er=4,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=375,m=S,run=1,el=6,er=4,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=395,m=S,run=1,el=7,er=4,yaw=-0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=592,m=S,run=1,el=83,er=50,yaw=0.1,yr=0.2,pc=3,hd=0,OL=3,OR=3
HB:t=592,m=S,run=1,el=68,er=44,yaw=0.1,yr=0.2,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=95,er=55,yaw=0.1,yr=0.2,pc=4,hd=0,OL=4,OR=4
HB:t=726,m=S,run=1,el=8,er=5,yaw=0.1,yr=0.2,pc=4,hd=0,OL=4,OR=4
HB:t=746,m=S,run=1,el=8,er=4,yaw=0.1,yr=0.2,pc=5,hd=0,OL=5,OR=5
HB:t=766,m=S,run=1,el=9,er=5,yaw=0.1,yr=0.2,pc=5,hd=0,OL=5,OR=5
HB:t=786,m=S,run=1,el=8,er=4,yaw=0.1,yr=0.2,pc=6,hd=0,OL=6,OR=6
HB:t=886,m=S,run=1,el=85,er=53,yaw=9.8,yr=16.9,pc=6,hd=0,OL=6,OR=6
HB:t=992,m=S,run=1,el=87,er=58,yaw=9.8,yr=16.9,pc=6,hd=0,OL=6,OR=6
HB:t=1012,m=S,run=1,el=8,er=5,yaw=9.8,yr=16.9,pc=7,hd=0,OL=7,OR=7
HB:t=1032,m=S,run=1,el=8,er=5,yaw=9.8,yr=16.9,pc=8,hd=0,OL=8,OR=8
HB:t=1052,m=S,run=1,el=9,er=6,yaw=9.8,yr=16.9,pc=8,hd=0,OL=8,OR=8
HB:t=1072,m=S,run=1,el=8,er=6,yaw=9.8,yr=16.9,pc=8,hd=-1,OL=7,OR=9
HB:t=1203,m=S,run=1,el=98,er=84,yaw=10.9,yr=13.1,pc=8,hd=-1,OL=7,OR=9
HB:t=1223,m=S,run=1,el=8,er=7,yaw=10.9,yr=13.1,pc=9,hd=-1,OL=8,OR=10
HB:t=1243,m=S,run=1,el=8,er=8,yaw=10.9,yr=13.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1263,m=S,run=1,el=8,er=9,yaw=10.9,yr=13.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1283,m=S,run=1,el=9,er=10,yaw=10.9,yr=13.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1479,m=S,run=1,el=108,er=99,yaw=14.6,yr=12.8,pc=9,hd=-1,OL=8,OR=10
HB:t=1479,m=S,run=1,el=86,er=84,yaw=14.6,yr=12.8,pc=8,hd=-1,OL=7,OR=9
HB:t=1592,m=S,run=1,el=99,er=98,yaw=14.6,yr=12.8,pc=8,hd=-1,OL=7,OR=9
HB:t=1612,m=S,run=1,el=9,er=10,yaw=14.6,yr=12.8,pc=9,hd=-1,OL=8,OR=10
HB:t=1632,m=S,run=1,el=9,er=9,yaw=14.6,yr=12.8,pc=10,hd=-1,OL=9,OR=11
HB:t=1652,m=S,run=1,el=9,er=9,yaw=14.6,yr=12.8,pc=10,hd=-1,OL=9,OR=11
HB:t=1672,m=S,run=1,el=9,er=11,yaw=14.6,yr=12.8,pc=10,hd=-1,OL=9,OR=11
HB:t=1796,m=S,run=1,el=104,er=111,yaw=16.3,yr=11.3,pc=9,hd=-1,OL=8,OR=10
HB:t=1816,m=S,run=1,el=10,er=11,yaw=16.3,yr=11.3,pc=9,hd=-1,OL=8,OR=10
HB:t=1836,m=S,run=1,el=10,er=11,yaw=16.3,yr=11.3,pc=9,hd=-1,OL=8,OR=10
HB:t=1856,m=S,run=1,el=10,er=10,yaw=16.3,yr=11.3,pc=9,hd=-1,OL=8,OR=10
HB:t=1876,m=S,run=1,el=9,er=11,yaw=16.3,yr=11.3,pc=9,hd=-1,OL=8,OR=10
HB:t=2082,m=S,run=1,el=197,er=210,yaw=16.1,yr=7.0,pc=7,hd=-1,OL=6,OR=8
HB:t=2207,m=S,run=1,el=102,er=104,yaw=15.0,yr=2.8,pc=8,hd=-1,OL=7,OR=9
HB:t=2215,m=S,run=1,el=6,er=6,yaw=15.0,yr=2.8,pc=9,hd=-1,OL=8,OR=10
HB:t=2235,m=S,run=1,el=8,er=9,yaw=15.0,yr=2.8,pc=9,hd=-1,OL=8,OR=10
HB:t=2255,m=S,run=1,el=8,er=10,yaw=15.0,yr=2.8,pc=10,hd=-1,OL=9,OR=11
HB:t=2275,m=S,run=1,el=9,er=8,yaw=15.0,yr=2.8,pc=10,hd=-1,OL=9,OR=11
HB:t=2396,m=S,run=1,el=102,er=112,yaw=15.0,yr=2.8,pc=9,hd=-1,OL=8,OR=10
HB:t=2494,m=S,run=1,el=84,er=94,yaw=14.2,yr=0.4,pc=8,hd=-1,OL=7,OR=9
HB:t=2600,m=S,run=1,el=92,er=101,yaw=14.2,yr=0.4,pc=8,hd=-1,OL=7,OR=9
HB:t=2620,m=S,run=1,el=8,er=9,yaw=14.2,yr=0.4,pc=9,hd=-1,OL=8,OR=10
HB:t=2640,m=S,run=1,el=9,er=9,yaw=14.2,yr=0.4,pc=10,hd=-1,OL=9,OR=11
HB:t=2660,m=S,run=1,el=9,er=9,yaw=14.2,yr=0.4,pc=10,hd=-1,OL=9,OR=11
HB:t=2680,m=S,run=1,el=9,er=9,yaw=14.2,yr=0.4,pc=10,hd=-1,OL=9,OR=11
HB:t=2811,m=S,run=1,el=111,er=130,yaw=12.8,yr=-2.0,pc=8,hd=-1,OL=7,OR=9
HB:t=2831,m=S,run=1,el=9,er=11,yaw=12.8,yr=-2.0,pc=9,hd=-1,OL=8,OR=10
HB:t=2851,m=S,run=1,el=9,er=10,yaw=12.8,yr=-2.0,pc=9,hd=-1,OL=8,OR=10
HB:t=2871,m=S,run=1,el=9,er=11,yaw=12.8,yr=-2.0,pc=10,hd=-1,OL=9,OR=11
HB:t=2891,m=S,run=1,el=9,er=11,yaw=12.8,yr=-2.0,pc=10,hd=-1,OL=9,OR=11
HB:t=3086,m=S,run=1,el=108,er=128,yaw=11.2,yr=-3.3,pc=8,hd=-1,OL=7,OR=9
HB:t=3087,m=S,run=1,el=80,er=90,yaw=11.2,yr=-3.3,pc=8,hd=-1,OL=7,OR=9
HB:t=3200,m=S,run=1,el=92,er=103,yaw=11.2,yr=-3.3,pc=8,hd=-1,OL=7,OR=9
HB:t=3220,m=S,run=1,el=8,er=9,yaw=11.2,yr=-3.3,pc=9,hd=-1,OL=8,OR=10
HB:t=3240,m=S,run=1,el=8,er=8,yaw=11.2,yr=-3.3,pc=9,hd=-1,OL=8,OR=10
HB:t=3260,m=S,run=1,el=7,er=9,yaw=11.2,yr=-3.3,pc=10,hd=-1,OL=9,OR=11
HB:t=3280,m=S,run=1,el=8,er=9,yaw=11.2,yr=-3.3,pc=10,hd=-1,OL=9,OR=11
HB:t=3359,m=S,run=1,el=62,er=70,yaw=7.8,yr=-8.2,pc=9,hd=0,OL=9,OR=9
HB:t=3466,m=S,run=1,el=91,er=102,yaw=7.8,yr=-8.2,pc=9,hd=0,OL=9,OR=9
