t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
86,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
193,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
321,S,1,31,18,-0.0,-0.0,1,0,1,1,0,0.00
324,S,1,7,3,-0.0,-0.0,2,0,2,2,0,0.00
344,S,1,5,1,-0.0,-0.0,2,0,2,2,0,0.00
364,S,1,5,1,-0.0,-0.0,2,0,2,2,0,0.00
384,S,1,6,1,-0.0,-0.0,2,0,2,2,0,0.00
505,S,1,68,22,-0.0,-0.0,2,0,2,2,0,0.00
608,S,1,56,17,1.1,2.0,4,0,4,4,0,0.00
715,S,1,55,20,1.1,2.0,4,0,4,4,0,0.00
735,S,1,5,3,1.1,2.0,5,0,5,5,0,0.00
755,S,1,4,2,1.1,2.0,5,0,5,5,0,0.00
775,S,1,4,3,1.1,2.0,6,0,6,6,0,0.00
795,S,1,4,3,1.1,2.0,6,0,6,6,0,0.00
977,S,1,71,75,8.0,13.3,6,0,6,6,0,0.00
997,S,1,4,6,8.0,13.3,7,0,7,7,0,0.00
1135,S,1,55,71,11.2,13.2,7,0,7,7,0,0.00
1135,S,1,11,13,11.2,13.2,7,-1,6,8,0,0.00
1155,S,1,5,7,11.2,13.2,8,-1,7,9,0,0.00
1175,S,1,5,8,11.2,13.2,8,-1,7,9,0,0.00
1195,S,1,5,8,11.2,13.2,9,-1,8,10,0,0.00
1314,S,1,67,96,11.2,13.2,8,-1,7,9,0,0.00
1333,S,1,7,9,11.2,13.2,9,-1,8,10,0,0.00
1422,S,1,63,91,9.4,5.4,8,0,8,8,0,0.00
1529,S,1,65,93,9.4,5.4,8,0,8,8,0,0.00
1549,S,1,6,8,9.4,5.4,8,0,8,8,0,0.00
1569,S,1,6,8,9.4,5.4,9,0,9,9,0,0.00
1589,S,1,6,9,9.4,5.4,9,0,9,9,0,0.00
1609,S,1,6,8,9.4,5.4,9,0,9,9,0,0.00
1739,S,1,77,107,4.8,-4.4,8,0,8,8,0,0.00
1759,S,1,7,8,4.8,-4.4,8,0,8,8,0,0.00
1779,S,1,7,9,4.8,-4.4,9,0,9,9,0,0.00
1799,S,1,7,9,4.8,-4.4,9,0,9,9,0,0.00
1819,S,1,7,9,4.8,-4.4,9,0,9,9,0,0.00
2015,S,1,83,101,1.6,-6.7,8,0,8,8,0,0.00
2015,S,1,63,74,1.6,-6.7,8,0,8,8,0,0.00
2128,S,1,72,85,1.6,-6.7,8,0,8,8,0,0.00
2148,S,1,6,7,1.6,-6.7,9,0,9,9,0,0.00
2168,S,1,7,7,1.6,-6.7,9,0,9,9,0,0.00
2188,S,1,6,7,1.6,-6.7,9,0,9,9,0,0.00
2208,S,1,6,7,1.6,-6.7,9,0,9,9,0,0.00
2283,S,1,54,62,-2.8,-12.2,9,0,9,9,0,0.00
2390,S,1,81,90,-2.8,-12.2,8,0,8,8,0,0.00
2410,S,1,7,9,-2.8,-12.2,8,0,8,8,0,0.00
2430,S,1,7,9,-2.8,-12.2,9,0,9,9,0,0.00
2450,S,1,8,9,-2.8,-12.2,9,0,9,9,0,0.00
2470,S,1,8,9,-2.8,-12.2,9,0,9,9,0,0.00
2688,S,1,175,196,-6.0,-13.5,6,0,6,6,0,0.00
2806,S,1,83,92,-6.5,-9.5,6,0,6,6,0,0.00
2814,S,1,1,1,-6.5,-9.5,8,0,8,8,0,0.00
