HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=106,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=126,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=146,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=166,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=186,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=304,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=324,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=344,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=364,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=384,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=504,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=524,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=544,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=564,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=584,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=704,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=724,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=744,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=764,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=784,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=904,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=924,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=944,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=964,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=984,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=1104,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=1124,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=1144,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=1164,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
