t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,9,0,9,9,0,0.00
107,S,1,36,16,0.0,0.0,8,0,8,8,0,0.00
127,S,1,6,4,0.0,0.0,11,0,11,11,0,0.00
147,S,1,6,3,0.0,0.0,12,0,12,12,0,0.00
167,S,1,7,4,0.0,0.0,11,0,11,11,0,0.00
187,S,1,8,4,0.0,0.0,11,0,11,11,0,0.00
306,S,1,109,73,0.0,0.0,5,0,5,5,0,0.00
325,S,1,14,10,0.0,0.0,34,0,34,34,0,0.00
345,S,1,20,18,0.0,0.0,28,0,28,28,0,0.00
365,S,1,21,18,0.0,0.0,23,0,23,23,0,0.00
385,S,1,22,18,0.0,0.0,20,0,20,20,0,0.00
506,S,1,248,199,0.0,0.0,1,0,1,1,0,0.00
525,S,1,27,22,0.0,0.0,60,0,60,60,0,0.00
545,S,1,40,39,0.0,0.0,60,0,60,60,0,0.00
565,S,1,47,50,0.0,0.0,45,0,45,45,0,0.00
585,S,1,46,50,0.0,0.0,34,0,34,34,0,0.00
706,S,1,442,397,0.0,0.0,-4,0,-4,-4,0,0.00
725,S,1,44,38,0.0,0.0,60,0,60,60,0,0.00
745,S,1,53,50,0.0,0.0,60,0,60,60,0,0.00
765,S,1,57,56,0.0,0.0,60,0,60,60,0,0.00
785,S,1,62,60,0.0,0.0,60,0,60,60,0,0.00
906,S,1,737,724,0.0,0.0,6,0,6,6,0,0.00
925,S,1,71,68,0.0,0.0,60,0,60,60,0,0.00
945,S,1,74,71,0.0,0.0,60,0,60,60,0,0.00
965,S,1,76,73,0.0,0.0,60,0,60,60,0,0.00
985,S,1,77,74,0.0,0.0,60,0,60,60,0,0.00
1106,S,1,862,841,0.0,0.0,44,0,44,44,0,0.00
1125,S,1,81,79,0.0,0.0,60,0,60,60,0,0.00
1145,S,1,81,79,0.0,0.0,60,0,60,60,0,0.00
1165,S,1,82,82,0.0,0.0,60,0,60,60,0,0.00
1185,S,1,82,81,0.0,0.0,60,0,60,60,0,0.00
1306,S,1,904,893,0.0,0.0,44,0,44,44,0,0.00
1325,S,1,84,83,0.0,0.0,60,0,60,60,0,0.00
1345,S,1,84,84,0.0,0.0,60,0,60,60,0,0.00
1365,S,1,85,85,0.0,0.0,60,0,60,60,0,0.00
1385,S,1,85,86,0.0,0.0,60,0,60,60,0,0.00
1506,S,1,734,763,0.0,0.0,60,0,60,60,0,0.00
1525,S,1,68,69,0.0,0.0,60,0,60,60,0,0.00
1545,S,1,69,70,0.0,0.0,60,0,60,60,0,0.00
1565,S,1,70,70,0.0,0.0,60,0,60,60,0,0.00
1585,S,1,70,71,0.0,0.0,60,0,60,60,0,0.00
1706,S,1,696,795,0.0,0.0,60,0,60,60,0,0.00
1725,S,1,64,74,0.0,0.0,60,0,60,60,0,0.00
1745,S,1,63,72,0.0,0.0,60,0,60,60,0,0.00
1765,S,1,65,74,0.0,0.0,60,0,60,60,0,0.00
1785,S,1,64,73,0.0,0.0,60,0,60,60,0,0.00
1906,S,1,679,787,0.0,0.0,60,0,60,60,0,0.00
1925,S,1,64,73,0.0,0.0,60,0,60,60,0,0.00
1945,S,1,65,72,0.0,0.0,60,0,60,60,0,0.00
1965,S,1,63,73,0.0,0.0,60,0,60,60,0,0.00
1985,S,1,64,73,0.0,0.0,60,0,60,60,0,0.00
2106,S,1,684,781,0.0,0.0,60,0,60,60,0,0.00
2125,S,1,64,72,0.0,0.0,60,0,60,60,0,0.00
2145,S,1,63,72,0.0,0.0,60,0,60,60,0,0.00
2165,S,1,64,72,0.0,0.0,60,0,60,60,0,0.00
2185,S,1,63,73,0.0,0.0,60,0,60,60,0,0.00
2306,S,1,683,781,0.0,0.0,60,0,60,60,0,0.00
2325,S,1,63,71,0.0,0.0,60,0,60,60,0,0.00
2345,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
2365,S,1,62,72,0.0,0.0,60,0,60,60,0,0.00
2385,S,1,62,72,0.0,0.0,60,0,60,60,0,0.00
2506,S,1,681,772,0.0,0.0,52,0,52,52,0,0.00
2525,S,1,61,71,0.0,0.0,60,0,60,60,0,0.00
2545,S,1,61,71,0.0,0.0,60,0,60,60,0,0.00
2565,S,1,61,72,0.0,0.0,60,0,60,60,0,0.00
2585,S,1,63,72,0.0,0.0,60,0,60,60,0,0.00
2706,S,1,676,774,0.0,0.0,47,0,47,47,0,0.00
2725,S,1,61,71,0.0,0.0,60,0,60,60,0,0.00
2745,S,1,61,70,0.0,0.0,60,0,60,60,0,0.00
2765,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
2785,S,1,63,71,0.0,0.0,60,0,60,60,0,0.00
2906,S,1,667,774,0.0,0.0,60,0,60,60,0,0.00
2925,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
2945,S,1,63,71,0.0,0.0,60,0,60,60,0,0.00
2965,S,1,63,72,0.0,0.0,60,0,60,60,0,0.00
2985,S,1,62,72,0.0,0.0,60,0,60,60,0,0.00
3106,S,1,666,769,0.0,0.0,60,0,60,60,0,0.00
3125,S,1,64,72,0.0,0.0,60,0,60,60,0,0.00
3145,S,1,62,72,0.0,0.0,60,0,60,60,0,0.00
3165,S,1,63,72,0.0,0.0,60,0,60,60,0,0.00
3185,S,1,62,70,0.0,0.0,60,0,60,60,0,0.00
3306,S,1,667,772,0.0,0.0,60,0,60,60,0,0.00
3325,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
3345,S,1,62,70,0.0,0.0,60,0,60,60,0,0.00
3365,S,1,61,70,0.0,0.0,60,0,60,60,0,0.00
3385,S,1,62,72,0.0,0.0,60,0,60,60,0,0.00
3506,S,1,671,768,0.0,0.0,60,0,60,60,0,0.00
3525,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
3545,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
3565,S,1,61,71,0.0,0.0,60,0,60,60,0,0.00
3585,S,1,61,71,0.0,0.0,60,0,60,60,0,0.00
3706,S,1,673,762,0.0,0.0,50,0,50,50,0,0.00
3725,S,1,61,70,0.0,0.0,60,0,60,60,0,0.00
3745,S,1,60,72,0.0,0.0,60,0,60,60,0,0.00
3765,S,1,61,71,0.0,0.0,60,0,60,60,0,0.00
3785,S,1,61,69,0.0,0.0,60,0,60,60,0,0.00
3906,S,1,668,764,0.0,0.0,60,0,60,60,0,0.00
3925,S,1,60,71,0.0,0.0,60,0,60,60,0,0.00
3945,S,1,60,70,0.0,0.0,60,0,60,60,0,0.00
3965,S,1,61,70,0.0,0.0,60,0,60,60,0,0.00
3985,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
4106,S,1,660,763,0.0,0.0,50,0,50,50,0,0.00
4125,S,1,60,69,0.0,0.0,60,0,60,60,0,0.00
4145,S,1,61,71,0.0,0.0,60,0,60,60,0,0.00
4165,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
4185,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
4306,S,1,657,758,0.0,0.0,60,0,60,60,0,0.00
4325,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
4345,S,1,63,71,0.0,0.0,60,0,60,60,0,0.00
4365,S,1,62,70,0.0,0.0,60,0,60,60,0,0.00
4385,S,1,62,70,0.0,0.0,60,0,60,60,0,0.00
4506,S,1,656,763,0.0,0.0,60,0,60,60,0,0.00
4525,S,1,62,71,0.0,0.0,60,0,60,60,0,0.00
4545,S,1,61,68,0.0,0.0,60,0,60,60,0,0.00
