t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
12,S,1,0,0,0.2,0.0,0,-1,0,0,0,0.00
148,S,1,0,0,0.5,0.7,1,0,1,1,0,0.00
188,S,1,0,0,1.0,7.1,2,-1,1,3,0,0.00
205,S,1,13,11,1.7,10.5,2,-1,1,3,0,0.00
334,S,1,100,90,1.8,5.8,2,0,2,2,0,0.00
381,S,1,28,25,1.8,2.3,2,0,2,2,0,0.00
393,S,1,12,10,1.3,-5.4,2,0,2,2,0,0.00
413,S,1,11,10,1.0,-9.9,2,0,2,2,0,0.00
531,S,1,102,93,0.7,-7.5,4,0,4,4,0,0.00
579,S,1,29,27,0.0,-13.3,5,0,5,5,0,0.00
591,S,1,11,10,-0.3,-10.1,5,0,5,5,0,0.00
613,S,1,11,10,-0.6,-8.7,7,0,7,7,0,0.00
732,S,1,103,94,-0.9,-6.5,7,0,7,7,0,0.00
779,S,1,29,27,-1.7,-13.6,7,1,8,6,0,0.00
791,S,1,12,10,-1.8,-8.2,7,0,7,7,0,0.00
813,S,1,12,11,-1.9,-4.0,8,0,8,8,0,0.00
932,S,1,109,99,-2.0,-2.8,8,0,8,8,0,0.00
979,S,1,30,27,-1.8,0.9,7,0,7,7,0,0.00
991,S,1,12,11,-1.6,2.8,7,0,7,7,0,0.00
1013,S,1,23,22,-1.5,3.3,19,0,19,19,0,0.00
1132,S,1,266,257,-1.3,2.6,16,0,16,16,0,0.00
1178,S,1,75,73,-0.3,15.2,10,-1,9,11,0,0.00
1191,S,1,24,24,0.3,13.5,9,0,9,9,0,0.00
1213,S,1,43,43,0.6,10.1,36,0,36,36,0,0.00
1332,S,1,512,507,0.7,7.1,29,0,29,29,0,0.00
1378,S,1,148,147,1.1,7.2,15,0,15,15,0,0.00
1391,S,1,48,48,1.5,8.4,11,0,11,11,0,0.00
1413,S,1,59,58,1.6,5.5,60,0,60,60,0,0.00
1532,S,1,774,777,1.7,4.0,60,0,60,60,0,0.00
1578,S,1,254,257,2.4,9.4,31,-1,30,32,0,0.00
1591,S,1,92,93,2.4,4.0,17,0,17,17,0,0.00
1613,S,1,79,82,2.4,1.0,18,0,18,18,0,0.00
1732,S,1,449,461,2.4,0.7,16,0,16,16,0,0.00
1778,S,1,81,82,2.5,2.3,21,0,21,21,0,0.00
1790,S,1,33,33,2.6,1.5,21,0,21,21,0,0.00
1813,S,1,51,52,2.6,0.3,60,0,60,60,0,0.00
1932,S,1,750,755,2.5,0.2,52,0,52,52,0,0.00
1978,S,1,245,248,2.5,-0.5,25,0,25,25,0,0.00
1991,S,1,84,86,2.4,-2.0,13,0,13,13,0,0.00
2013,S,1,83,85,2.3,-1.9,54,0,54,54,0,0.00
2132,S,1,809,821,2.2,-1.5,44,0,44,44,0,0.00
2178,S,1,226,230,1.9,-4.9,27,0,27,27,0,0.00
2191,S,1,77,79,1.9,-3.0,20,0,20,20,0,0.00
2213,S,1,80,81,1.8,-1.0,60,0,60,60,0,0.00
2332,S,1,848,859,1.8,-0.8,60,0,60,60,0,0.00
2378,S,1,256,265,1.6,-3.1,60,0,60,60,0,0.00
2390,S,1,106,108,1.5,-2.8,39,0,39,39,0,0.00
2413,S,1,102,103,1.4,-2.0,60,0,60,60,0,0.00
2532,S,1,922,948,1.4,-1.4,60,0,60,60,0,0.00
2578,S,1,261,268,1.3,-1.5,41,0,41,41,0,0.00
2590,S,1,100,103,1.3,-0.6,27,0,27,27,0,0.00
2613,S,1,95,99,1.4,0.4,60,0,60,60,0,0.00
2732,S,1,913,937,1.4,0.3,60,0,60,60,0,0.00
2778,S,1,260,269,1.6,2.6,60,0,60,60,0,0.00
2791,S,1,104,108,1.6,1.4,53,0,53,53,0,0.00
2813,S,1,101,104,1.6,1.3,60,0,60,60,0,0.00
2932,S,1,925,955,1.7,1.1,60,0,60,60,0,0.00
2978,S,1,259,271,2.0,3.8,60,0,60,60,0,0.00
2990,S,1,105,109,2.1,3.4,60,0,60,60,0,0.00
3013,S,1,102,105,2.1,2.1,60,0,60,60,0,0.00
3132,S,1,923,958,2.2,1.5,60,0,60,60,0,0.00
3178,S,1,260,270,2.2,1.3,52,0,52,52,0,0.00
3190,S,1,104,108,2.2,0.8,34,0,34,34,0,0.00
