HB:t=11,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=147,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=0,er=0,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=203,m=S,run=1,el=11,er=12,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=333,m=S,run=1,el=55,er=57,yaw=0.0,yr=0.1,pc=3,hd=0,OL=3,OR=3
HB:t=380,m=S,run=1,el=18,er=19,yaw=-0.1,yr=-1.7,pc=3,hd=0,OL=3,OR=3
HB:t=393,m=S,run=1,el=8,er=8,yaw=-0.2,yr=-1.6,pc=3,hd=0,OL=3,OR=3
HB:t=413,m=S,run=1,el=8,er=8,yaw=-0.2,yr=-1.5,pc=2,hd=0,OL=2,OR=2
HB:t=531,m=S,run=1,el=74,er=76,yaw=-0.3,yr=-1.0,pc=4,hd=0,OL=4,OR=4
HB:t=578,m=S,run=1,el=20,er=23,yaw=-0.4,yr=-2.9,pc=5,hd=0,OL=5,OR=5
HB:t=594,m=S,run=1,el=8,er=8,yaw=-0.5,yr=-12.7,pc=9,hd=0,OL=9,OR=9
HB:t=613,m=S,run=1,el=9,er=9,yaw=-0.6,yr=-6.6,pc=8,hd=0,OL=8,OR=8
HB:t=731,m=S,run=1,el=70,er=76,yaw=-0.6,yr=-4.4,pc=9,hd=0,OL=9,OR=9
HB:t=778,m=S,run=1,el=21,er=23,yaw=-1.0,yr=-6.3,pc=8,hd=0,OL=8,OR=8
HB:t=794,m=S,run=1,el=9,er=9,yaw=-1.1,yr=-15.2,pc=12,hd=0,OL=12,OR=12
HB:t=813,m=S,run=1,el=10,er=10,yaw=-1.1,yr=-8.0,pc=10,hd=0,OL=10,OR=10
HB:t=931,m=S,run=1,el=97,er=101,yaw=-1.2,yr=-5.4,pc=9,hd=0,OL=9,OR=9
HB:t=978,m=S,run=1,el=29,er=30,yaw=-1.6,yr=-7.4,pc=8,hd=0,OL=8,OR=8
HB:t=993,m=S,run=1,el=11,er=11,yaw=-1.7,yr=-12.5,pc=11,hd=0,OL=11,OR=11
HB:t=1013,m=S,run=1,el=12,er=12,yaw=-1.7,yr=-6.3,pc=9,hd=0,OL=9,OR=9
HB:t=1131,m=S,run=1,el=98,er=102,yaw=-1.8,yr=-4.2,pc=9,hd=0,OL=9,OR=9
HB:t=1179,m=S,run=1,el=28,er=28,yaw=-1.9,yr=-3.7,pc=8,hd=0,OL=8,OR=8
HB:t=1194,m=S,run=1,el=2,er=3,yaw=-1.9,yr=-4.7,pc=12,hd=0,OL=12,OR=12
HB:t=1213,m=S,run=1,el=12,er=11,yaw=-1.9,yr=-1.5,pc=9,hd=0,OL=9,OR=9
HB:t=1331,m=S,run=1,el=97,er=98,yaw=-2.0,yr=-1.0,pc=9,hd=0,OL=9,OR=9
HB:t=1379,m=S,run=1,el=28,er=28,yaw=-2.1,yr=-1.8,pc=9,hd=0,OL=9,OR=9
HB:t=1393,m=S,run=1,el=2,er=3,yaw=-2.2,yr=-12.3,pc=12,hd=2,OL=14,OR=10
HB:t=1413,m=S,run=1,el=12,er=11,yaw=-2.2,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=1531,m=S,run=1,el=102,er=105,yaw=-2.2,yr=-2.9,pc=9,hd=0,OL=9,OR=9
HB:t=1579,m=S,run=1,el=29,er=30,yaw=-2.4,yr=-3.5,pc=8,hd=0,OL=8,OR=8
HB:t=1594,m=S,run=1,el=11,er=11,yaw=-2.5,yr=-5.8,pc=13,hd=0,OL=13,OR=13
HB:t=1613,m=S,run=1,el=12,er=12,yaw=-2.5,yr=-3.4,pc=11,hd=0,OL=11,OR=11
HB:t=1731,m=S,run=1,el=117,er=119,yaw=-2.5,yr=-2.2,pc=10,hd=0,OL=10,OR=10
HB:t=1779,m=S,run=1,el=35,er=35,yaw=-2.6,yr=-2.3,pc=9,hd=0,OL=9,OR=9
HB:t=1793,m=S,run=1,el=3,er=2,yaw=-2.7,yr=-7.4,pc=14,hd=1,OL=15,OR=13
HB:t=1813,m=S,run=1,el=13,er=13,yaw=-2.7,yr=-3.2,pc=10,hd=0,OL=10,OR=10
HB:t=1931,m=S,run=1,el=116,er=120,yaw=-2.7,yr=-2.2,pc=9,hd=0,OL=9,OR=9
HB:t=1979,m=S,run=1,el=32,er=33,yaw=-3.0,yr=-4.5,pc=9,hd=1,OL=10,OR=8
HB:t=1993,m=S,run=1,el=3,er=3,yaw=-3.1,yr=-10.4,pc=13,hd=1,OL=14,OR=12
HB:t=2013,m=S,run=1,el=13,er=14,yaw=-3.1,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=2131,m=S,run=1,el=108,er=111,yaw=-3.2,yr=-2.8,pc=9,hd=0,OL=9,OR=9
HB:t=2179,m=S,run=1,el=30,er=30,yaw=-3.2,yr=-2.3,pc=9,hd=0,OL=9,OR=9
HB:t=2193,m=S,run=1,el=3,er=3,yaw=-3.2,yr=-0.8,pc=12,hd=0,OL=12,OR=12
HB:t=2213,m=S,run=1,el=8,er=8,yaw=-3.3,yr=-1.0,pc=10,hd=0,OL=10,OR=10
HB:t=2331,m=S,run=1,el=109,er=109,yaw=-3.3,yr=-0.4,pc=9,hd=0,OL=9,OR=9
HB:t=2378,m=S,run=1,el=32,er=32,yaw=-3.3,yr=-0.3,pc=8,hd=0,OL=8,OR=8
HB:t=2393,m=S,run=1,el=3,er=3,yaw=-3.3,yr=-2.4,pc=12,hd=1,OL=13,OR=11
HB:t=2413,m=S,run=1,el=12,er=12,yaw=-3.3,yr=-0.9,pc=9,hd=0,OL=9,OR=9
HB:t=2531,m=S,run=1,el=108,er=111,yaw=-3.3,yr=-0.6,pc=9,hd=0,OL=9,OR=9
HB:t=2579,m=S,run=1,el=31,er=31,yaw=-3.4,yr=-1.7,pc=8,hd=1,OL=9,OR=7
HB:t=2594,m=S,run=1,el=12,er=11,yaw=-3.5,yr=-4.5,pc=12,hd=0,OL=12,OR=12
HB:t=2613,m=S,run=1,el=13,er=13,yaw=-3.5,yr=-2.5,pc=10,hd=0,OL=10,OR=10
HB:t=2732,m=S,run=1,el=115,er=114,yaw=-3.5,yr=-1.6,pc=10,hd=0,OL=10,OR=10
HB:t=2779,m=S,run=1,el=33,er=33,yaw=-3.5,yr=-0.9,pc=9,hd=0,OL=9,OR=9
HB:t=2792,m=S,run=1,el=13,er=13,yaw=-3.6,yr=-0.9,pc=8,hd=0,OL=8,OR=8
HB:t=2813,m=S,run=1,el=12,er=12,yaw=-3.5,yr=-0.4,pc=8,hd=0,OL=8,OR=8
HB:t=2932,m=S,run=1,el=95,er=97,yaw=-3.5,yr=-0.2,pc=8,hd=0,OL=8,OR=8
HB:t=2979,m=S,run=1,el=25,er=26,yaw=-3.6,yr=-0.7,pc=8,hd=0,OL=8,OR=8
HB:t=2992,m=S,run=1,el=10,er=11,yaw=-3.6,yr=-0.8,pc=8,hd=0,OL=8,OR=8
HB:t=3013,m=S,run=1,el=10,er=10,yaw=-3.7,yr=-0.9,pc=8,hd=0,OL=8,OR=8
HB:t=3131,m=S,run=1,el=89,er=88,yaw=-3.7,yr=-0.7,pc=8,hd=0,OL=8,OR=8
HB:t=3179,m=S,run=1,el=25,er=25,yaw=-3.7,yr=-0.8,pc=8,hd=0,OL=8,OR=8
HB:t=3194,m=S,run=1,el=10,er=10,yaw=-3.7,yr=4.4,pc=12,hd=0,OL=12,OR=12
HB:t=3213,m=S,run=1,el=12,er=11,yaw=-3.6,yr=3.0,pc=10,hd=0,OL=10,OR=10
HB:t=3332,m=S,run=1,el=104,er=103,yaw=-3.6,yr=2.0,pc=10,hd=0,OL=10,OR=10
HB:t=3379,m=S,run=1,el=31,er=30,yaw=-3.6,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=3391,m=S,run=1,el=12,er=12,yaw=-3.5,yr=1.7,pc=8,hd=0,OL=8,OR=8
HB:t=3413,m=S,run=1,el=22,er=21,yaw=-3.5,yr=1.0,pc=22,hd=0,OL=22,OR=22
HB:t=3532,m=S,run=1,el=220,er=210,yaw=-3.5,yr=0.6,pc=19,hd=0,OL=19,OR=19
HB:t=3579,m=S,run=1,el=75,er=73,yaw=-3.3,yr=1.4,pc=12,hd=0,OL=12,OR=12
HB:t=3591,m=S,run=1,el=28,er=27,yaw=-3.3,yr=1.1,pc=9,hd=0,OL=9,OR=9
HB:t=3613,m=S,run=1,el=44,er=45,yaw=-3.3,yr=1.1,pc=40,hd=0,OL=40,OR=40
HB:t=3732,m=S,run=1,el=428,er=448,yaw=-3.2,yr=0.9,pc=34,hd=0,OL=34,OR=34
HB:t=3779,m=S,run=1,el=134,er=136,yaw=-2.8,yr=5.4,pc=20,hd=0,OL=20,OR=20
HB:t=3792,m=S,run=1,el=49,er=49,yaw=-2.8,yr=2.5,pc=14,hd=0,OL=14,OR=14
HB:t=3813,m=S,run=1,el=43,er=42,yaw=-2.8,yr=1.5,pc=11,hd=0,OL=11,OR=11
HB:t=3932,m=S,run=1,el=292,er=292,yaw=-2.8,yr=0.8,pc=11,hd=0,OL=11,OR=11
HB:t=3979,m=S,run=1,el=57,er=57,yaw=-3.2,yr=-5.3,pc=14,hd=1,OL=15,OR=13
HB:t=3992,m=S,run=1,el=23,er=22,yaw=-3.2,yr=-2.5,pc=15,hd=0,OL=15,OR=15
HB:t=4013,m=S,run=1,el=23,er=22,yaw=-3.2,yr=-0.4,pc=13,hd=0,OL=13,OR=13
HB:t=4132,m=S,run=1,el=176,er=179,yaw=-3.2,yr=-0.1,pc=12,hd=0,OL=12,OR=12
HB:t=4179,m=S,run=1,el=47,er=45,yaw=-3.0,yr=3.2,pc=12,hd=0,OL=12,OR=12
HB:t=4191,m=S,run=1,el=17,er=17,yaw=-3.0,yr=1.7,pc=11,hd=0,OL=11,OR=11
HB:t=4213,m=S,run=1,el=19,er=18,yaw=-2.9,yr=1.0,pc=11,hd=0,OL=11,OR=11
HB:t=4332,m=S,run=1,el=151,er=147,yaw=-2.9,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=4379,m=S,run=1,el=39,er=38,yaw=-2.7,yr=2.9,pc=10,hd=0,OL=10,OR=10
HB:t=4391,m=S,run=1,el=15,er=15,yaw=-2.7,yr=2.0,pc=9,hd=0,OL=9,OR=9
HB:t=4413,m=S,run=1,el=26,er=25,yaw=-2.6,yr=1.2,pc=27,hd=0,OL=27,OR=27
HB:t=4532,m=S,run=1,el=267,er=270,yaw=-2.6,yr=1.0,pc=23,hd=0,OL=23,OR=23
HB:t=4579,m=S,run=1,el=88,er=91,yaw=-2.5,yr=2.2,pc=14,hd=0,OL=14,OR=14
HB:t=4591,m=S,run=1,el=33,er=33,yaw=-2.5,yr=1.0,pc=10,hd=0,OL=10,OR=10
HB:t=4613,m=S,run=1,el=48,er=48,yaw=-2.4,yr=1.4,pc=47,hd=0,OL=47,OR=47
HB:t=4732,m=S,run=1,el=475,er=502,yaw=-2.4,yr=1.1,pc=39,hd=0,OL=39,OR=39
HB:t=4779,m=S,run=1,el=157,er=155,yaw=-1.3,yr=14.4,pc=23,hd=-1,OL=22,OR=24
HB:t=4791,m=S,run=1,el=57,er=58,yaw=-1.2,yr=7.7,pc=15,hd=0,OL=15,OR=15
HB:t=4813,m=S,run=1,el=65,er=65,yaw=-1.1,yr=4.5,pc=60,hd=0,OL=60,OR=60
HB:t=4932,m=S,run=1,el=692,er=691,yaw=-1.0,yr=3.0,pc=60,hd=0,OL=60,OR=60
HB:t=4979,m=S,run=1,el=213,er=217,yaw=-1.4,yr=-3.5,pc=42,hd=1,OL=43,OR=41
