HB:t=12,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=148,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=188,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=205,m=S,run=1,el=12,er=14,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=334,m=S,run=1,el=57,er=57,yaw=-0.0,yr=0.1,pc=3,hd=0,OL=3,OR=3
HB:t=380,m=S,run=1,el=20,er=19,yaw=0.1,yr=1.0,pc=3,hd=0,OL=3,OR=3
HB:t=392,m=S,run=1,el=8,er=8,yaw=0.1,yr=0.9,pc=3,hd=0,OL=3,OR=3
HB:t=412,m=S,run=1,el=9,er=8,yaw=0.1,yr=1.2,pc=2,hd=0,OL=2,OR=2
HB:t=531,m=S,run=1,el=76,er=74,yaw=0.1,yr=0.8,pc=3,hd=0,OL=3,OR=3
HB:t=578,m=S,run=1,el=22,er=23,yaw=0.3,yr=2.2,pc=3,hd=0,OL=3,OR=3
HB:t=590,m=S,run=1,el=9,er=9,yaw=0.3,yr=1.2,pc=3,hd=0,OL=3,OR=3
HB:t=612,m=S,run=1,el=14,er=14,yaw=0.4,yr=1.4,pc=15,hd=0,OL=15,OR=15
HB:t=731,m=S,run=1,el=149,er=146,yaw=0.4,yr=1.0,pc=13,hd=0,OL=13,OR=13
HB:t=778,m=S,run=1,el=50,er=49,yaw=0.5,yr=1.9,pc=8,hd=0,OL=8,OR=8
HB:t=790,m=S,run=1,el=17,er=17,yaw=0.5,yr=0.8,pc=6,hd=0,OL=6,OR=6
HB:t=812,m=S,run=1,el=30,er=30,yaw=0.5,yr=0.2,pc=23,hd=0,OL=23,OR=23
HB:t=931,m=S,run=1,el=261,er=260,yaw=0.5,yr=0.2,pc=19,hd=0,OL=19,OR=19
HB:t=978,m=S,run=1,el=81,er=79,yaw=0.7,yr=3.3,pc=12,hd=0,OL=12,OR=12
HB:t=990,m=S,run=1,el=29,er=28,yaw=0.8,yr=2.8,pc=8,hd=0,OL=8,OR=8
HB:t=1012,m=S,run=1,el=28,er=28,yaw=0.9,yr=1.3,pc=8,hd=0,OL=8,OR=8
HB:t=1131,m=S,run=1,el=182,er=181,yaw=0.9,yr=0.9,pc=8,hd=0,OL=8,OR=8
HB:t=1178,m=S,run=1,el=35,er=35,yaw=1.0,yr=2.5,pc=8,hd=0,OL=8,OR=8
HB:t=1190,m=S,run=1,el=13,er=13,yaw=1.1,yr=2.4,pc=9,hd=0,OL=9,OR=9
HB:t=1212,m=S,run=1,el=28,er=29,yaw=1.2,yr=1.4,pc=27,hd=0,OL=27,OR=27
HB:t=1331,m=S,run=1,el=262,er=269,yaw=1.2,yr=1.0,pc=22,hd=0,OL=22,OR=22
HB:t=1378,m=S,run=1,el=88,er=87,yaw=1.5,yr=4.7,pc=13,hd=0,OL=13,OR=13
HB:t=1390,m=S,run=1,el=32,er=32,yaw=1.5,yr=2.1,pc=8,hd=0,OL=8,OR=8
HB:t=1413,m=S,run=1,el=31,er=29,yaw=1.5,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=1531,m=S,run=1,el=204,er=201,yaw=1.5,yr=0.7,pc=8,hd=0,OL=8,OR=8
HB:t=1578,m=S,run=1,el=39,er=40,yaw=1.7,yr=2.7,pc=9,hd=0,OL=9,OR=9
HB:t=1590,m=S,run=1,el=15,er=15,yaw=1.7,yr=1.5,pc=9,hd=0,OL=9,OR=9
HB:t=1612,m=S,run=1,el=31,er=31,yaw=1.7,yr=0.8,pc=29,hd=0,OL=29,OR=29
HB:t=1731,m=S,run=1,el=284,er=283,yaw=1.8,yr=0.6,pc=24,hd=0,OL=24,OR=24
HB:t=1777,m=S,run=1,el=92,er=90,yaw=2.0,yr=2.5,pc=14,hd=0,OL=14,OR=14
HB:t=1790,m=S,run=1,el=34,er=34,yaw=2.1,yr=2.8,pc=9,hd=0,OL=9,OR=9
HB:t=1812,m=S,run=1,el=32,er=30,yaw=2.1,yr=0.9,pc=9,hd=0,OL=9,OR=9
HB:t=1931,m=S,run=1,el=212,er=214,yaw=2.1,yr=0.5,pc=8,hd=0,OL=8,OR=8
HB:t=1989,m=S,run=1,el=40,er=39,yaw=2.1,yr=0.7,pc=9,hd=0,OL=9,OR=9
HB:t=1989,m=S,run=1,el=34,er=34,yaw=2.1,yr=0.5,pc=9,hd=0,OL=9,OR=9
HB:t=2012,m=S,run=1,el=22,er=22,yaw=2.2,yr=1.2,pc=17,hd=0,OL=17,OR=17
HB:t=2131,m=S,run=1,el=180,er=176,yaw=2.2,yr=1.0,pc=14,hd=0,OL=14,OR=14
HB:t=2177,m=S,run=1,el=54,er=54,yaw=2.5,yr=4.3,pc=10,hd=0,OL=10,OR=10
HB:t=2190,m=S,run=1,el=20,er=20,yaw=2.5,yr=2.3,pc=8,hd=0,OL=8,OR=8
HB:t=2212,m=S,run=1,el=33,er=33,yaw=2.5,yr=0.6,pc=29,hd=0,OL=29,OR=29
HB:t=2331,m=S,run=1,el=317,er=309,yaw=2.5,yr=0.3,pc=24,hd=0,OL=24,OR=24
HB:t=2377,m=S,run=1,el=98,er=99,yaw=2.7,yr=1.2,pc=14,hd=-1,OL=13,OR=15
HB:t=2390,m=S,run=1,el=35,er=36,yaw=2.7,yr=1.5,pc=9,hd=0,OL=9,OR=9
HB:t=2412,m=S,run=1,el=51,er=51,yaw=2.7,yr=-0.5,pc=46,hd=0,OL=46,OR=46
HB:t=2531,m=S,run=1,el=492,er=514,yaw=2.7,yr=-0.4,pc=38,hd=0,OL=38,OR=38
HB:t=2577,m=S,run=1,el=155,er=155,yaw=3.2,yr=5.8,pc=21,hd=-1,OL=20,OR=22
HB:t=2590,m=S,run=1,el=55,er=56,yaw=3.2,yr=2.1,pc=14,hd=0,OL=14,OR=14
HB:t=2612,m=S,run=1,el=53,er=53,yaw=3.2,yr=1.8,pc=12,hd=0,OL=12,OR=12
HB:t=2731,m=S,run=1,el=348,er=353,yaw=3.1,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=2777,m=S,run=1,el=65,er=63,yaw=2.9,yr=-2.9,pc=12,hd=0,OL=12,OR=12
HB:t=2790,m=S,run=1,el=23,er=23,yaw=2.9,yr=-1.0,pc=13,hd=0,OL=13,OR=13
HB:t=2812,m=S,run=1,el=41,er=41,yaw=2.9,yr=-0.0,pc=44,hd=0,OL=44,OR=44
HB:t=2931,m=S,run=1,el=420,er=452,yaw=3.0,yr=0.2,pc=37,hd=0,OL=37,OR=37
HB:t=2977,m=S,run=1,el=139,er=134,yaw=4.7,yr=23.9,pc=21,hd=-3,OL=18,OR=24
HB:t=2989,m=S,run=1,el=50,er=52,yaw=5.1,yr=15.9,pc=12,hd=-1,OL=11,OR=13
HB:t=3012,m=S,run=1,el=61,er=62,yaw=5.3,yr=8.4,pc=60,hd=-1,OL=59,OR=60
HB:t=3131,m=S,run=1,el=651,er=658,yaw=5.3,yr=5.4,pc=51,hd=-1,OL=50,OR=52
HB:t=3177,m=S,run=1,el=198,er=204,yaw=4.8,yr=-5.0,pc=29,hd=0,OL=29,OR=29
HB:t=3189,m=S,run=1,el=74,er=76,yaw=4.5,yr=-7.3,pc=17,hd=-1,OL=16,OR=18
HB:t=3212,m=S,run=1,el=78,er=80,yaw=4.2,yr=-7.5,pc=60,hd=-1,OL=59,OR=60
HB:t=3331,m=S,run=1,el=757,er=789,yaw=3.9,yr=-5.7,pc=60,hd=0,OL=60,OR=60
HB:t=3377,m=S,run=1,el=227,er=235,yaw=2.5,yr=-20.7,pc=48,hd=1,OL=49,OR=47
HB:t=3389,m=S,run=1,el=89,er=93,yaw=1.8,yr=-19.2,pc=30,hd=0,OL=30,OR=30
HB:t=3412,m=S,run=1,el=90,er=93,yaw=1.4,yr=-13.6,pc=60,hd=0,OL=60,OR=60
HB:t=3531,m=S,run=1,el=833,er=869,yaw=1.0,yr=-10.0,pc=60,hd=0,OL=60,OR=60
HB:t=3577,m=S,run=1,el=240,er=250,yaw=-1.5,yr=-35.7,pc=60,hd=3,OL=60,OR=57
HB:t=3590,m=S,run=1,el=98,er=101,yaw=-2.4,yr=-28.4,pc=41,hd=0,OL=41,OR=41
HB:t=3612,m=S,run=1,el=94,er=97,yaw=-2.9,yr=-17.9,pc=60,hd=0,OL=60,OR=60
HB:t=3731,m=S,run=1,el=865,er=906,yaw=-3.4,yr=-13.3,pc=60,hd=1,OL=60,OR=59
HB:t=3777,m=S,run=1,el=244,er=259,yaw=-6.4,yr=-43.6,pc=60,hd=5,OL=60,OR=55
HB:t=3789,m=S,run=1,el=99,er=104,yaw=-7.4,yr=-33.1,pc=52,hd=1,OL=53,OR=51
HB:t=3812,m=S,run=1,el=96,er=99,yaw=-8.0,yr=-23.6,pc=60,hd=1,OL=60,OR=59
HB:t=3931,m=S,run=1,el=872,er=926,yaw=-8.5,yr=-17.0,pc=60,hd=2,OL=60,OR=58
HB:t=3977,m=S,run=1,el=247,er=260,yaw=-11.9,yr=-50.3,pc=60,hd=7,OL=60,OR=53
HB:t=3990,m=S,run=1,el=100,er=103,yaw=-13.1,yr=-38.2,pc=57,hd=3,OL=60,OR=54
HB:t=4012,m=S,run=1,el=93,er=98,yaw=-13.8,yr=-27.4,pc=60,hd=3,OL=60,OR=57
HB:t=4131,m=S,run=1,el=872,er=919,yaw=-14.5,yr=-20.0,pc=60,hd=3,OL=60,OR=57
HB:t=4177,m=S,run=1,el=241,er=252,yaw=-18.0,yr=-53.1,pc=60,hd=9,OL=60,OR=51
HB:t=4189,m=S,run=1,el=99,er=101,yaw=-19.2,yr=-39.0,pc=60,hd=4,OL=60,OR=56
HB:t=4212,m=S,run=1,el=93,er=96,yaw=-19.8,yr=-24.9,pc=60,hd=4,OL=60,OR=56
HB:t=4331,m=S,run=1,el=867,er=884,yaw=-20.3,yr=-17.7,pc=60,hd=5,OL=60,OR=55
HB:t=4377,m=S,run=1,el=244,er=247,yaw=-22.3,yr=-33.7,pc=60,hd=8,OL=60,OR=52
HB:t=4389,m=S,run=1,el=100,er=98,yaw=-22.7,yr=-20.0,pc=60,hd=5,OL=60,OR=55
HB:t=4412,m=S,run=1,el=95,er=94,yaw=-23.0,yr=-12.8,pc=60,hd=5,OL=60,OR=55
HB:t=4530,m=S,run=1,el=876,er=873,yaw=-23.2,yr=-9.0,pc=60,hd=5,OL=60,OR=55
HB:t=4577,m=S,run=1,el=249,er=243,yaw=-22.8,yr=1.6,pc=60,hd=4,OL=60,OR=56
