HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=106,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=126,m=S,run=1,el=3,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=4,er=5,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=3,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=3,er=3,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=317,m=S,run=1,el=68,er=43,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=337,m=S,run=1,el=7,er=5,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=357,m=S,run=1,el=7,er=5,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=377,m=S,run=1,el=7,er=4,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=397,m=S,run=1,el=8,er=5,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=592,m=S,run=1,el=86,er=51,yaw=0.4,yr=0.5,pc=3,hd=0,OL=3,OR=3
HB:t=593,m=S,run=1,el=69,er=44,yaw=0.4,yr=0.5,pc=4,hd=0,OL=4,OR=4
HB:t=706,m=S,run=1,el=92,er=61,yaw=0.4,yr=0.5,pc=4,hd=0,OL=4,OR=4
HB:t=726,m=S,run=1,el=8,er=6,yaw=0.4,yr=0.5,pc=5,hd=0,OL=5,OR=5
HB:t=746,m=S,run=1,el=8,er=5,yaw=0.4,yr=0.5,pc=5,hd=0,OL=5,OR=5
HB:t=766,m=S,run=1,el=8,er=6,yaw=0.4,yr=0.5,pc=6,hd=0,OL=6,OR=6
HB:t=786,m=S,run=1,el=8,er=6,yaw=0.4,yr=0.5,pc=6,hd=0,OL=6,OR=6
HB:t=808,m=S,run=1,el=17,er=13,yaw=6.2,yr=10.4,pc=6,hd=0,OL=6,OR=6
HB:t=914,m=S,run=1,el=81,er=57,yaw=6.2,yr=10.4,pc=7,hd=0,OL=7,OR=7
HB:t=934,m=S,run=1,el=7,er=5,yaw=6.2,yr=10.4,pc=7,hd=0,OL=7,OR=7
HB:t=954,m=S,run=1,el=7,er=5,yaw=6.2,yr=10.4,pc=8,hd=0,OL=8,OR=8
