exp_id,t_ms,run,spd,targetSpeed10,actualSpeed10,targetAngle10,actualAngle10,speedErr10,speedOut10,angleErr10,angleOut10,L,R,el,er,ed,pwm,yawRate100,ax,ay,az,gx,gy,gz
11,30,1,2,400,640,-24,0,-240,-24,-23,-125,-13,-13,53,75,-22,-23,3906,0,0,0,0,0,0
11,60,1,2,400,955,-55,-1,-555,-55,-54,-354,-35,-35,85,106,-21,-45,6362,0,0,0,0,0,0
11,90,1,2,400,840,-43,-1,-440,-43,-42,-315,-32,-32,80,88,-8,-42,2375,0,0,0,0,0,0
11,120,1,2,400,-835,120,-1,1235,120,121,500,50,50,-82,-85,3,60,-4987,0,0,0,0,0,0
11,150,1,2,400,-1550,120,0,1950,120,120,500,50,50,-154,-156,2,60,-2164,0,0,0,0,0,0
11,180,1,2,400,1325,-92,-1,-925,-92,-91,-500,-50,-50,132,133,-1,-60,-7507,0,0,0,0,0,0
11,210,1,2,400,1915,-120,1,-1515,-120,-121,-500,-50,-50,187,196,-9,-60,-7955,0,0,0,0,0,0
11,240,1,2,400,-900,120,0,1300,120,120,500,50,50,-102,-78,-24,60,577,0,0,0,0,0,0
11,270,1,2,400,-1210,120,0,1610,120,120,500,50,50,-134,-108,-26,60,7171,0,0,0,0,0,0
11,300,1,2,400,1390,-98,-1,-990,-98,-97,-500,-50,-50,126,152,-26,-60,8401,0,0,0,0,0,0
11,330,1,2,400,1915,-120,-1,-1515,-120,-118,-500,-50,-50,191,192,-1,-60,-707,0,0,0,0,0,0
11,360,1,2,400,-1130,120,-1,1530,120,121,500,50,50,-122,-104,-18,60,2428,0,0,0,0,0,0
11,390,1,2,400,-1890,120,-1,2290,120,121,500,50,50,-202,-176,-26,60,4380,0,0,0,0,0,0
11,420,1,2,400,1360,-95,-1,-960,-95,-94,-500,-50,-50,109,163,-54,-60,13465,0,0,0,0,0,0
11,450,1,2,400,1610,-120,0,-1210,-120,-119,-500,-50,-50,149,173,-24,-60,6476,0,0,0,0,0,0
