seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,speed_proxy,stiction
1.0,4.0,0.0,0.421,0.421,0.014,-3.315,-3.3289999999999997,-1.6505,-2.5195000000000003,3.5737334119936817,2.5,3.25,-0.75,7.0,9.0,-2.0,4.5,4.5,0.0,10.0,10.0,4.5,10.0,4.5,10.0,0.0,0.0,-0.00175,-0.007,0.00175,0.007,0.0005,0.002,7.285,16.0,4.413,9.723,0.0,0.0,0.00031977719706663096,0.000199274675269799,0.00031977719706663096,0.00031977719706663096,0.0,0.8,balanced,low,straight,0.011486613592912616,-0.00046174791075741223,0.0115,0.0,0.0,0.011486613592912616,-0.00046174791075741223,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,hesitating_straight,0.5,0.5,0.27315914489311166,0.0
1.0,4.0,0.626,1.041,0.415,-7.229,-10.232,-3.0029999999999992,-9.12225,-9.65725,9.70986396660633,6.25,6.0,0.25,10.0,8.0,2.0,8.75,5.75,3.0,12.0,6.0,7.25,9.0,7.25,9.0,1.5,3.0,-5.01975,-9.521,5.01975,9.521,1.52625,2.814,11.875,15.0,7.27625,9.24,0.012765273732495213,-0.08906994004008736,-0.2984324571287945,-0.14160636168301474,0.2984324571287945,-0.20936251708870715,0.0,0.8,balanced,high,left_curve,1.8678324446568868,-0.33705130812649037,1.8980000000000001,0.011486613592912616,-0.00046174791075741223,1.8793190582497994,-0.3375130560372478,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,0.75,0.75,0.5903614457831325,0.0
1.0,3.0,1.246,1.595,0.349,-7.794,-2.563,5.231,-6.050333333333334,1.8190000000000002,4.379467890052398,7.333333333333333,4.0,3.3333333333333335,10.0,6.0,4.0,7.333333333333333,5.333333333333333,2.0,11.0,9.0,6.333333333333333,10.0,6.333333333333333,10.0,1.0,1.0,-3.85,-3.749,3.85,3.749,0.8180000000000001,0.517,10.333333333333334,16.0,6.406,9.94,0.010931294680534408,-0.2984324571287945,-0.23428146811235337,-0.2772527374142489,0.2990442870015987,0.06415098901644115,0.0,0.8,balanced,high,right_curve,2.790131899704479,-0.12571506111445716,2.793,1.8793190582497994,-0.3375130560372478,4.669450957954279,-0.463228117151705,barely_moving,left_faster,right_arc,1.0,4.5,0.15000000000000002,hesitating_right_arc,0.6666666666666666,0.6666666666666666,0.48710601719197705,0.0
1.0,3.0,1.827,2.033,0.206,6.432,10.833,4.401,7.899000000000001,18.758333333333336,18.764652949983734,6.333333333333333,5.0,1.3333333333333333,9.0,8.0,1.0,6.0,7.333333333333333,-1.3333333333333333,8.0,12.0,6.666666666666667,10.0,6.666666666666667,10.0,-0.6666666666666666,-2.0,1.285,6.425,-1.285,-6.425,-0.7266666666666666,-2.445,10.333333333333334,15.5,6.469,9.722,0.014693819297995304,-0.23428146811235337,0.2102676162450253,-0.08559047322899786,0.23428146811235337,0.44454908435737867,0.0,0.8,balanced,high,right_curve,1.7198936899480184,0.328449921237343,1.7510000000000001,4.669450957954279,-0.463228117151705,6.3893446479022975,-0.13477819591436196,barely_moving,left_faster,right_arc,1.0,4.5,0.15000000000000002,hesitating_right_arc,0.6666666666666666,0.6666666666666666,0.8252427184466019,0.0
1.0,5.0,2.428,2.845,0.417,12.877,-0.848,-13.725000000000001,6.3042,-2.1328,11.9834418428096,3.8,7.4,-3.6,7.0,12.0,-5.0,3.4,7.4,-4.0,7.0,11.0,5.4,9.0,5.4,9.0,-2.0,-2.0,6.717999999999999,7.456,-6.717999999999999,-7.456,-1.8814,-1.701,8.8,14.5,5.5994,9.268,0.009472894807315588,0.2102676162450253,0.6062955963788559,0.4482017951059424,0.6062955963788559,0.39602798013383056,0.0,0.8,balanced,high,right_curve,1.9963728609625055,0.2609875368388624,2.0134999999999996,6.3893446479022975,-0.13477819591436196,8.385717508864802,0.12620934092450042,barely_moving,right_faster,right_arc,1.0,4.5,0.15000000000000002,hesitating_right_arc,0.6,0.6,0.6714628297362111,0.0
1.0,4.0,3.049,3.465,0.416,-8.221,-12.314,-4.093,-11.285250000000001,-19.887249999999998,20.182112519505978,6.75,6.0,0.75,11.0,7.0,4.0,9.5,5.5,4.0,14.0,6.0,7.5,10.0,7.5,10.0,2.0,4.0,-5.34825,-12.31,5.34825,12.31,2.028,4.036,11.625,15.0,7.45925,9.683,0.019738503018493843,0.48321920494103915,0.2118787299835852,0.4150734016037925,0.48321920494103915,-0.27134047495745395,0.0,0.8,balanced,high,left_curve,1.8108577855317065,-0.3952927143284667,1.8535,8.385717508864802,0.12620934092450042,10.196575294396508,-0.26908337340396626,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,0.75,0.75,0.6129807692307693,0.0
1.0,5.0,3.669,4.086,0.417,-7.749,7.222,14.971,-0.3589999999999997,9.905199999999999,13.930011629571599,7.0,4.0,3.0,10.0,7.0,3.0,6.8,4.4,2.4,10.0,10.0,5.6,10.0,5.6,10.0,1.2,0.0,-4.165,-0.748,4.165,0.748,1.0534000000000001,-0.343,8.9,15.5,5.7936,10.092,0.012261922203484973,0.2118787299835852,0.3226775855301222,0.27757474737169585,0.3226775855301222,0.11079885554653701,0.0,0.8,balanced,high,right_curve,2.0126789745011835,-0.0260127449332598,2.0129999999999995,10.196575294396508,-0.26908337340396626,12.209254268897691,-0.29509611833722604,barely_moving,left_faster,right_arc,1.0,4.5,0.15000000000000002,hesitating_right_arc,0.6,0.6,0.6594724220623502,0.0
1.0,3.0,4.478,4.684,0.206,12.601,9.041,-3.5600000000000005,10.227666666666666,8.538666666666666,10.207232991037941,4.666666666666667,8.333333333333334,-3.6666666666666665,7.0,14.0,-7.0,3.6666666666666665,9.0,-5.333333333333333,5.0,13.0,6.333333333333333,9.0,6.333333333333333,9.0,-2.6666666666666665,-4.0,7.788999999999999,12.594,-7.788999999999999,-12.594,-2.4906666666666664,-3.843,9.5,13.5,6.288333333333334,9.0,0.008870111532953041,1.3245044584502723,1.3268551871653087,1.3252880346886178,1.3268551871653087,0.0023507287150363876,0.0,0.8,right,high,stuck,0.010369549528488214,0.0016499825987657797,0.0105,12.209254268897691,-0.29509611833722604,12.219623818426179,-0.2934461357384603,barely_moving,right_faster,straight,0.0,4.5,0.15000000000000002,hesitating_straight,0.6666666666666666,0.6666666666666666,0.946601941747573,0.0
1.0,3.0,5.121,5.508,0.387,-8.115,-9.802,-1.6869999999999994,-8.677333333333333,-4.836666666666667,4.838831332735897,2.6666666666666665,3.6666666666666665,-1.0,6.0,7.0,-1.0,5.333333333333333,4.666666666666667,0.6666666666666666,10.0,8.0,5.0,9.0,5.0,9.0,0.3333333333333333,1.0,-1.1119999999999999,-3.336,1.1119999999999999,3.336,0.332,0.996,8.806666666666667,16.14,5.3180000000000005,9.766,0.0039117449822165945,1.3268551871653087,1.0684650738735022,1.2406515798544193,1.3268551871653087,-0.2583901132918065,0.0,0.8,right,high,left_curve,2.4753434689428295,-0.4275654170280014,2.512,12.219623818426179,-0.2934461357384603,14.694967287369009,-0.7210115527664617,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,0.6666666666666666,0.6666666666666666,0.2454780361757106,0.0
1.0,3.0,5.713,5.924,0.211,-11.24,-12.644,-1.404,-11.708,-5.604666666666667,5.608096409061932,5.0,5.333333333333333,-0.3333333333333333,8.0,8.0,0.0,7.666666666666667,5.666666666666667,2.0,12.0,8.0,6.666666666666667,10.0,6.666666666666667,10.0,1.0,2.0,-3.6360000000000006,-6.173,3.6360000000000006,6.173,1.0453333333333334,1.763,10.833333333333334,16.0,6.593666666666667,9.761,0.004861988630555636,1.0684650738735022,0.8119959918614535,0.9826558125702801,1.0684650738735022,-0.25646908201204865,0.0,0.8,right,high,left_curve,1.6466143845657257,-0.3692015073628438,1.6875,14.694967287369009,-0.7210115527664617,16.341581671934733,-1.0902130601293054,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,0.6666666666666666,0.6666666666666666,0.7345971563981043,0.0
