idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
0,1,0,164797.0,0.0,-0.099,-0.099,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced
1,1,1,164798.0,0.001,-0.099,-0.099,-0.15,1.0,2.0,-1.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,11.048,6.671,0.0014999977608340586,-2.5918126495444515e-06,0.0015,0.0014999977608340586,-2.5918126495444515e-06,0.0015,0.0,0.0014999990488245142,1.5127024878359858e-05,-1.6892381574716115e-06,1.6892381574716115e-06,balanced
2,1,2,165009.0,0.212,-0.246,-0.246,-0.34,2.0,2.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,-0.099,0.099,0.046,13.068,7.912,0.42349610814474853,-0.001814447449024676,0.4235,0.4219961103839145,-0.0018118556363751316,0.422,-0.006079701422823849,0.4234971232622729,0.004270837054545162,-0.0015596223494895435,0.0015596223494895435,balanced
3,1,3,165214.0,0.417,-0.499,-0.499,-0.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42349610814474853,-0.001814447449024676,0.4235,0.0,-0.0,0.0,0.0,0.4234971232622729,0.004270837054545162,-0.0015596223494895435,0.0015596223494895435,balanced
4,1,4,165215.0,0.418,-0.499,-0.499,-0.653,5.0,4.0,1.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,-0.246,0.246,0.122,13.088,7.956,0.42799593748323245,-0.0018536383219355974,0.428,0.0044998293384839036,-3.9190872910921425e-05,0.0045000000000000005,0.0,0.42799697536795644,0.004316216666488889,-0.0015961055918849473,0.0015961055918849473,balanced
5,1,5,165564.0,0.767,-0.793,-0.793,-0.72,8.0,7.0,1.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,-0.723,0.723,0.347,14.288,8.734,3.0452452394818037,-0.038079888307147106,3.0454999999999997,2.617249301998571,-0.03622624998521151,2.6174999999999997,-0.0019603698188589602,3.0452676015089266,0.03071057865362557,-0.03624750584719844,0.03624750584719844,balanced
6,1,6,165812.0,1.015,-1.853,-1.8530000000000002,-1.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0452452394818037,-0.038079888307147106,3.0454999999999997,0.0,-0.0,0.0,0.0,3.0452676015089266,0.03071057865362557,-0.03624750584719844,0.03624750584719844,balanced
7,1,7,165813.0,1.016,-1.853,-1.8530000000000002,-1.964,9.0,9.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,-0.793,0.793,0.348,15.788,9.679,3.0542405331750198,-0.03837090612925417,3.0544999999999995,0.008995293693216251,-0.00029101782210706767,0.009000000000000001,0.0,3.0542630686840555,0.030801295148317538,-0.03653311099626517,0.03653311099626517,balanced
8,1,8,166014.0,1.217,-2.016,-2.016,-1.559,10.0,10.0,0.0,12.0,10.0,12.0,10.0,2.0,11.0,11.0,1.0,-1.853,1.853,0.847,17.188,10.559,5.062996428145658,-0.10907984771878221,5.0645,2.008755894970638,-0.07070894158952803,2.0100000000000002,-0.0014153665078361984,5.0630611467724105,0.05105940032955557,-0.1060333373881855,0.1060333373881855,balanced
9,1,9,166219.0,1.422,-2.264,-2.264,-1.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.062996428145658,-0.10907984771878221,5.0645,0.0,-0.0,0.0,0.0,5.0630611467724105,0.05105940032955557,-0.1060333373881855,0.1060333373881855,balanced
10,1,10,166220.0,1.423,-2.264,-2.264,-1.437,11.0,11.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,-2.016,2.016,0.852,18.708,11.516,5.073987841693373,-0.10951439141405944,5.0755,0.010991413547715089,-0.0004345436952772314,0.011,0.0,5.074052819802623,0.051170247940767806,-0.10646126728536187,0.10646126728536187,balanced
11,1,11,166618.0,1.821,-2.187,-2.187,-0.499,14.0,13.0,1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-2.211,2.211,0.828,20.888,12.918,10.443074151754477,-0.3145538878883621,10.4485,5.369086310061104,-0.20503949647430264,5.373,0.00025012163112518663,10.443261533622195,0.10531705147021271,-0.3082700565983424,0.3082700565983424,balanced
12,1,12,166828.0,2.031,-1.985,-1.985,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.443074151754477,-0.3145538878883621,10.4485,0.0,-0.0,0.0,0.0,10.443261533622195,0.10531705147021271,-0.3082700565983424,0.3082700565983424,balanced
13,1,13,166829.0,2.032,-1.985,-1.985,0.013,15.0,15.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,-2.187,2.187,0.782,20.0,12.437,10.458065150696036,-0.31507345572240436,10.4635,0.014990998941559185,-0.0005195678340422573,0.015,0.0,10.458252842482663,0.10546823416747454,-0.3087806040007134,0.3087806040007134,balanced
14,1,14,167035.0,2.238,-1.885,-1.885,0.177,14.0,14.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.985,1.985,0.654,21.0,13.089,13.34050450782858,-0.40993837259543825,13.3475,2.8824393571325437,-0.09486491687303389,2.884,0.0006051765783614189,13.340748759627466,0.13453731090095009,-0.40191109118693513,0.40191109118693513,balanced
15,1,15,167427.0,2.63,-1.424,-1.424,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34050450782858,-0.40993837259543825,13.3475,0.0,-0.0,0.0,0.0,13.340748759627466,0.13453731090095009,-0.40191109118693513,0.40191109118693513,balanced
16,1,16,167428.0,2.631,-1.424,-1.424,0.743,14.0,14.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.594,1.594,0.436,21.0,13.187,13.354500184179894,-0.41028628561512726,13.3615,0.013995676351314032,-0.0003479130196890251,0.014,0.0,13.35474464279027,0.1346784550389842,-0.4022505827084647,0.4022505827084647,balanced
17,1,17,167634.0,2.837,-1.128,-1.128,0.985,15.0,15.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.424,1.424,0.381,20.0,12.638,16.44390137645979,-0.47111615606994,16.4515,3.089401192279897,-0.06082987045481277,3.09,0.0016719011604864771,16.444181878152705,0.16583447074184904,-0.4612214972012329,0.4612214972012329,balanced
18,1,18,167838.0,3.041,-1.066,-1.066,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.44390137645979,-0.47111615606994,16.4515,0.0,-0.0,0.0,0.0,16.444181878152705,0.16583447074184904,-0.4612214972012329,0.4612214972012329,balanced
19,1,19,167839.0,3.042,-1.066,-1.066,0.745,15.0,13.0,2.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.128,1.128,0.254,21.0,13.288,16.457898953452858,-0.47137661398048347,16.4655,0.013997576993066883,-0.0002604579105434445,0.014,0.0,16.458179609333698,0.16597563351657307,-0.4614735324858008,0.4614735324858008,balanced
20,1,20,168049.0,3.252,-0.718,-0.718,1.063,14.0,15.0,-1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.066,1.066,0.262,20.5,13.04,19.502659866849815,-0.5095339232428109,19.5105,3.044760913396955,-0.038157309262327424,3.045,0.0019946620022792336,19.50296293143095,0.19668132836262942,-0.4977987507013608,0.4977987507013608,balanced
