tick,exp_id,t_ms,run,ts,kp,ki,kd,lp,lpr,y,el,er,ed,L,R,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
296945,0,0.0,0,0.0,1.5,0.0,0.12,0.0,0.0,-2.710066,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=296945 run=0 ts=0.000000 as=0.000000 ta=0.000000 aa=0.000000 se=0.000000 so=0.000000 ae=0.000000 ao=0.000000 pwm=0 pc=0 hd=0 y=-2.710066 p=-1.310923 r=5.463127 yr=0.000127 ax=0 ay=0 az=0 gx=0 gy=0 gz=0 who=0x85 addr=0x4A icm_ok=1089 icm_fail=0 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 skp=0.600000 ski=0.012000 skd=0.000000 akp=1.500000 aki=0.000000 akd=0.120000 ok=1089 fail=0 rx=590 txdrop=0
923065,6,0.0,0,18.0,0.5,0.004,0.0,1.5,1.5,0.0,16.0,0.0,16.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=923065 exp_id=6 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lp=1.500000 lpr=1.500000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=0.000000 yr=0.000000 el=16 er=0 ed=16 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=704 txdrop=0
923264,6,0.0,0,18.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,"TRK tick=923264 exp_id=6 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=CMD #EXP=RUN,7,5000!"
923849,7,299.0,1,18.0,0.5,0.004,0.0,0.5,0.5,0.113,0.0,0.0,0.0,32.0,23.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=923849 exp_id=7 t_ms=299 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=2.108 rt=1.492 lp=0.500 lpr=0.500 y=0.113 el=0 er=0 ed=0 L=32 R=23 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=734 txdrop=0
924151,7,601.0,1,18.0,0.5,0.004,0.0,-1.5,-1.5,7.121,0.0,0.0,0.0,0.0,0.0,1,1.5,right_bias,0,0,1,0,0,0,0,0,TRK tick=924151 exp_id=7 t_ms=601 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=0.930 rt=2.670 lp=-1.500 lpr=-1.500 y=7.121 el=0 er=0 ed=0 L=0 R=0 s1=0 s2=0 s3=1 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
924452,7,902.0,1,18.0,0.5,0.004,0.0,-1.5,-1.5,15.069,0.0,0.0,0.0,0.0,1.0,1,1.5,right_bias,0,0,1,0,0,0,0,0,TRK tick=924452 exp_id=7 t_ms=902 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=0.750 rt=2.850 lp=-1.500 lpr=-1.500 y=15.069 el=0 er=0 ed=0 L=0 R=1 s1=0 s2=0 s3=1 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
924747,7,1197.0,1,18.0,0.5,0.004,0.0,-1.5,-1.5,14.614,0.0,0.0,0.0,0.0,17.0,1,1.5,right_bias,0,0,1,0,0,0,0,0,TRK tick=924747 exp_id=7 t_ms=1197 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=0.576 rt=3.024 lp=-1.500 lpr=-1.500 y=14.614 el=0 er=0 ed=0 L=0 R=17 s1=0 s2=0 s3=1 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
925036,7,1486.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=925036 exp_id=7 t_ms=1486 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
925233,7,1683.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=925233 exp_id=7 t_ms=1683 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
925430,7,1880.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=925430 exp_id=7 t_ms=1880 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
925627,7,2077.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=925627 exp_id=7 t_ms=2077 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
925824,7,2274.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=925824 exp_id=7 t_ms=2274 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
926021,7,2471.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=926021 exp_id=7 t_ms=2471 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
926218,7,2668.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=926218 exp_id=7 t_ms=2668 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
926415,7,2865.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=926415 exp_id=7 t_ms=2865 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
926612,7,3062.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=926612 exp_id=7 t_ms=3062 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
926809,7,3259.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=926809 exp_id=7 t_ms=3259 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
927006,7,3456.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=927006 exp_id=7 t_ms=3456 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
927203,7,3653.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=927203 exp_id=7 t_ms=3653 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
927400,7,3850.0,0,18.0,0.5,0.004,0.0,-1.5,-1.5,9.091,0.0,17.0,-17.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=927400 exp_id=7 t_ms=3850 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=-1.500 lpr=-1.500 y=9.091 el=0 er=17 ed=-17 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=734 txdrop=0
