tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
22485,0.301,1,0.6,0.4,0.2,6,5,1,0.008,-0.5,left_bias,0.0,0.0,0.0,0.0,0.0
22770,0.586,1,5.25,13.25,-8.0,260,604,-344,-3.84,-1.5,left_bias,2.63625,2.63625,2.6303315059892745,-0.1765509306126614,-3.9543749999999998
23079,0.895,1,0.25,0.0,0.25,500,752,-252,-11.418,-1.5,left_bias,0.038625,2.674875,2.668192079787063,-0.18419734001199503,-4.0123125
23385,1.201,1,0.25,0.25,0.0,1224,1510,-286,-4.853,-1.5,left_bias,0.0765,2.751375,2.7444178294956485,-0.19066920847203667,-4.1270625
23683,1.499,1,0.25,0.25,0.0,2246,2481,-235,-2.113,-1.5,left_bias,0.0745,2.825875,2.8188671735083726,-0.19341605686156116,-4.2388125
23998,1.814,1,0.25,0.25,0.0,3385,3537,-152,2.856,-0.5,left_bias,0.07875,2.904625,2.8975193593364503,-0.18949226221026524,-4.2781875
24304,2.12,1,0.25,0.25,0.0,4462,4572,-110,5.789,1.5,right_bias,0.0765,2.9811249999999996,2.97362921636756,-0.18177606737705818,-4.1634375
24602,2.418,1,0.5,0.0,0.5,5474,5581,-107,6.179,2.5,right_bias,0.0745,3.0556249999999996,3.047696407204105,-0.17375726188104723,-3.9771875
24918,2.734,1,0.0,0.0,0.0,5686,6131,-445,-3.405,1.5,right_bias,0.0,3.0556249999999996,3.047696407204105,-0.17375726188104723,-3.9771875
25224,3.04,1,0.25,0.5,-0.25,6439,6936,-497,-20.937,-1.0,left_bias,0.11474999999999999,3.1703749999999995,3.1548699131697395,-0.21476216547847188,-4.0919375
