tick,exp_id,t_ms,run,ts,st,lt,rt,kp,ki,kd,lp,lpr,y,yr,el,er,ed,dl,dr,cl,cr,la,ra,lse,rse,lso,rso,lc,rc,cd,cde,cdi,cdo,L,R,pwm_max,miss,lost,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
294305,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.12,0.0,0.0,0.006977,0.000433,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=294305 run=0 ts=0.000000 as=0.000000 ta=0.000000 aa=0.000000 se=0.000000 so=0.000000 ae=0.000000 ao=0.000000 pwm=0 pc=0 hd=0 y=0.006977 p=-0.104758 r=6.143615 yr=0.000433 ax=0 ay=0 az=0 gx=0 gy=0 gz=0 who=0x85 addr=0x4A icm_ok=1116 icm_fail=0 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 skp=0.600000 ski=0.012000 skd=0.000000 akp=1.500000 aki=0.000000 akd=0.120000 ok=1116 fail=0 rx=6 txdrop=0
300341,0,0.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=300341 exp_id=0 t_ms=0 run=0 ts=14.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.350000 ki=0.000000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lc=0 rc=0 cd=0 cde=0.000000 cdi=0.000000 cdo=0.000000 lp=0.000000 lpr=0.000000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=0.000000 yr=0.000000 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 pwm_max=72 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=119 txdrop=0
300540,0,0.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,"TRK tick=300540 exp_id=0 t_ms=0 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=CMD #EXP=RUN,96,5000!"
301133,96,306.0,1,14.0,1.4,1.129,0.779,0.35,0.0,0.0,0.5,0.5,0.029,1.027,0.114,0.0,0.114,2,0,0,0,0.114,0.0,1.015,0.779,28.0,24.0,13,0,13,0.0,0.0,0.0,28.0,24.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=301133 exp_id=96 t_ms=306 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=1.129 rt=0.779 la=0.114 ra=0.000 lse=1.015 rse=0.779 lso=28.000 rso=24.000 lc=13 rc=0 cd=13 cde=0.000 cdo=0.000 lp=0.500 lpr=0.500 y=0.029 yr=1.027 el=0.114 er=0.000 ed=0.114 dl=2 dr=0 cl=0 cr=0 L=28 R=24 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=150 txdrop=0
301436,96,609.0,1,14.0,1.4,1.575,1.225,0.35,0.0,0.0,0.5,0.5,-0.137,4.936,1.623,1.392,0.232,26,23,0,0,1.623,1.392,-0.048,-0.167,25.2,19.6,592,473,119,0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=301436 exp_id=96 t_ms=609 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=1.575 rt=1.225 la=1.623 ra=1.392 lse=-0.048 rse=-0.167 lso=25.200 rso=19.600 lc=592 rc=473 cd=119 cde=0.000 cdo=0.000 lp=0.500 lpr=0.500 y=-0.137 yr=4.936 el=1.623 er=1.392 ed=0.232 dl=26 dr=23 cl=0 cr=0 L=25 R=19 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=150 txdrop=0
301733,96,906.0,1,14.0,1.4,1.575,1.225,0.35,0.0,0.0,0.5,0.5,3.432,31.107,1.585,1.443,0.142,25,24,0,0,1.585,1.443,-0.01,-0.218,25.2,19.6,1200,1009,191,0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=301733 exp_id=96 t_ms=906 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=1.575 rt=1.225 la=1.585 ra=1.443 lse=-0.010 rse=-0.218 lso=25.200 rso=19.600 lc=1200 rc=1009 cd=191 cde=0.000 cdo=0.000 lp=0.500 lpr=0.500 y=3.432 yr=31.107 el=1.585 er=1.443 ed=0.142 dl=25 dr=24 cl=0 cr=0 L=25 R=19 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=150 txdrop=0
302036,96,1209.0,1,14.0,1.4,1.575,1.225,0.35,0.0,0.0,0.5,0.5,3.911,10.462,1.474,1.355,0.119,23,22,0,0,1.474,1.355,0.101,-0.13,25.2,19.6,1801,1540,261,0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=302036 exp_id=96 t_ms=1209 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=1.575 rt=1.225 la=1.474 ra=1.355 lse=0.101 rse=-0.130 lso=25.200 rso=19.600 lc=1801 rc=1540 cd=261 cde=0.000 cdo=0.000 lp=0.500 lpr=0.500 y=3.911 yr=10.462 el=1.474 er=1.355 ed=0.119 dl=23 dr=22 cl=0 cr=0 L=25 R=19 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=150 txdrop=0
302333,96,1506.0,1,14.0,1.4,1.575,1.225,0.35,0.0,0.0,0.5,0.5,6.765,41.282,1.965,1.672,0.293,33,27,0,0,1.965,1.672,-0.39,-0.447,25.2,19.6,2462,2135,327,0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=302333 exp_id=96 t_ms=1506 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=1.575 rt=1.225 la=1.965 ra=1.672 lse=-0.390 rse=-0.447 lso=25.200 rso=19.600 lc=2462 rc=2135 cd=327 cde=0.000 cdo=0.000 lp=0.500 lpr=0.500 y=6.765 yr=41.282 el=1.965 er=1.672 ed=0.293 dl=33 dr=27 cl=0 cr=0 L=25 R=19 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=150 txdrop=0
302636,96,1809.0,1,14.0,1.4,0.85,1.8,0.35,0.0,0.0,-2.5,-2.5,15.044,138.331,2.043,1.942,0.101,28,31,0,0,2.043,1.942,-1.193,-0.142,13.6,28.8,3356,2877,479,0.0,0.0,0.0,13.0,28.0,0.0,0.0,0.0,1,2.5,right_bias,0,1,0,0,0,0,0,0,TRK tick=302636 exp_id=96 t_ms=1809 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=0.850 rt=1.800 la=2.043 ra=1.942 lse=-1.193 rse=-0.142 lso=13.600 rso=28.800 lc=3356 rc=2877 cd=479 cde=0.000 cdo=0.000 lp=-2.500 lpr=-2.500 y=15.044 yr=138.331 el=2.043 er=1.942 ed=0.101 dl=28 dr=31 cl=0 cr=0 L=13 R=28 s1=0 s2=1 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
302933,96,2105.0,1,14.0,1.4,0.875,1.8,0.35,0.0,0.0,-1.5,-1.5,11.352,-78.36,1.176,2.704,-1.528,18,43,0,0,1.176,2.704,-0.301,-0.904,14.0,28.8,3929,3861,68,0.0,0.0,0.0,13.0,28.0,0.0,0.0,0.0,1,1.5,right_bias,0,0,1,0,0,0,0,0,TRK tick=302933 exp_id=96 t_ms=2105 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=0.875 rt=1.800 la=1.176 ra=2.704 lse=-0.301 rse=-0.904 lso=14.000 rso=28.800 lc=3929 rc=3861 cd=68 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=11.352 yr=-78.360 el=1.176 er=2.704 ed=-1.528 dl=18 dr=43 cl=0 cr=0 L=13 R=28 s1=0 s2=0 s3=1 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
